country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,789,617,993
France,,754,527,1049
Italy,,477,352,619
Spain,,460,370,599
Belgium,,298,241,378
Brazil,,230,185,292
Germany,,198,155,237
Turkey,,185,147,208
Netherlands,,125,95,154
Canada,,122,92,163
Sweden,,103,76,139
Iran,,96,66,129
Mexico,,54,42,66
Ireland,,43,32,64
Switzerland,,42,32,54
India,,41,30,63
Russia,,33,21,45
Portugal,,30,23,36
Indonesia,,23,14,33
Romania,,19,14,24
Poland,,18,12,24
Austria,,15,10,20
Hungary,,13,8,18
Philippines,,13,7,22
Denmark,,11,9,14
Czechia,,8,7,10
Norway,,7,5,9
Finland,,5,4,7
Greece,,3,2,5
Luxembourg,,3,2,4
Slovenia,,3,2,4
Bulgaria,,2,1,4
Croatia,,2,1,3
Lithuania,,2,1,3
Estonia,,2,1,2
Slovakia,,1,1,2
Cyprus,,1,0,1
Latvia,,0,0,0
Malta,,0,0,0
