country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
United Kingdom,,15498,52156,30347,98520,2020-04-10,981,1.0
France,,19345,51633,31482,98580,2020-04-15,1440,1.4
Italy,,23227,44609,31857,72366,2020-03-27,919,1.6
Spain,,20043,34811,28628,52390,2020-04-02,961,20.4
Brazil,,2354,28951,11961,69613,2020-05-07,330,1.5
Germany,,4459,19302,9381,36161,2020-04-15,510,2.0
Turkey,,1890,18034,7359,41183,2020-05-02,318,2.6
Belgium,,5453,16741,10867,27645,2020-04-10,496,1.1
Netherlands,,3613,11193,6257,20294,2020-04-07,234,1.1
Iran,,5031,9956,6836,15612,2020-04-04,158,2.0
Sweden,,1511,7669,3903,15732,2020-04-15,170,0.9
Canada,,1400,6730,3321,12431,2020-04-16,251,2.7
Portugal,,687,3727,1690,7134,2020-08-04,43,1.4
Switzerland,,1368,3179,2051,6555,2020-04-04,75,1.4
Mexico,,546,3155,1463,6466,2020-04-15,74,0.9
Ireland,,571,2547,1218,6025,2020-04-17,44,1.0
Russia,,313,2147,939,4346,2020-04-17,41,0.8
India,,521,2050,1018,5238,2020-04-09,48,1.2
Romania,,421,1695,919,3966,2020-04-09,28,2.1
Indonesia,,535,1626,820,3103,2020-04-14,60,1.7
Poland,,347,1402,610,3486,2020-04-08,30,1.3
Austria,,443,1256,705,2879,2020-04-08,30,1.7
Philippines,,397,1071,556,1938,2020-04-12,50,1.6
Denmark,,346,958,586,2025,2020-04-04,22,1.5
Hungary,,172,868,376,2152,2020-04-18,16,0.8
Czechia,,181,796,431,1375,2020-04-14,18,1.1
Norway,,164,585,313,1391,2020-04-07,13,2.3
Finland,,90,518,212,1136,2020-04-18,8,0.8
Greece,,110,326,196,744,2020-04-03,10,2.0
Slovenia,,70,226,112,503,2020-04-07,6,0.8
Luxembourg,,72,222,119,521,2020-04-11,8,
Croatia,,39,207,100,503,2020-04-14,6,1.0
Bulgaria,,41,196,97,498,2020-04-03,4,
Lithuania,,33,182,94,473,2020-04-10,6,
Estonia,,38,171,103,321,2020-04-02,6,
Slovakia,,11,93,32,212,2020-04-15,4,0.5
Cyprus,,12,61,36,120,2020-03-30,2,
Malta,,3,46,17,68,2020-07-26,1,
Latvia,,5,41,16,69,2020-04-12,2,
