country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,645,465,834
France,,582,373,857
Italy,,434,307,581
Spain,,359,260,501
Belgium,,209,146,290
Brazil,,204,154,263
Germany,,188,133,228
Turkey,,143,98,222
Canada,,132,84,182
Netherlands,,112,73,141
Sweden,,103,72,140
Iran,,88,58,122
Mexico,,71,48,99
Russia,,53,39,75
Ireland,,42,27,58
India,,36,22,52
Switzerland,,34,21,49
Portugal,,27,19,35
Romania,,22,16,28
Indonesia,,21,12,31
Poland,,17,11,23
Austria,,14,8,21
Hungary,,12,8,16
Philippines,,12,4,19
Denmark,,9,6,13
Finland,,7,5,12
Czechia,,7,5,9
Norway,,5,3,8
Greece,,3,1,4
Croatia,,2,1,4
Slovenia,,2,1,4
Luxembourg,,2,1,3
Estonia,,2,1,2
Bulgaria,,2,0,3
Lithuania,,1,0,3
Latvia,,1,0,2
Slovakia,,1,0,2
Cyprus,,0,0,1
Malta,,0,0,1
