country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
India,,,1100.35028376,657,1514
Brazil,,,702.846070935,410,1203
Mexico,,,407.580272273,287,600
Argentina,,,373.487434883,237,601
Iran,,,187.87674964,116,292
Colombia,,,180.577883903,113,300
Russia,,,145.582811397,104,326
Spain,,,114.666545397,24,354
Indonesia,,,113.668506241,77,186
Peru,,,96.2691479556,23,192
South Africa,,,79.7170856161,28,168
France,,,72.7131720438,1,359
Turkey,,,66.091645397,15,122
Ukraine,,,63.4194442777,38,87
Philippines,,,58.6477764722,30,95
Chile,,,50.9975865633,7,146
United Kingdom,,,48.993472118,2,175
Romania,,,40.3959468246,25,57
Ecuador,,,37.8339285981,3,86
Morocco,,,36.939898256,21,56
Bolivia,,,35.5326311985,17,63
Israel,,,29.7723092095,15,50
Bangladesh,,,29.2616600582,17,56
Saudi Arabia,,,27.3659154384,9,46
Poland,,,25.098503609,12,41
Italy,,,20.9151762752,0,94
Czechia,,,17.9252331796,12,25
Honduras,,,17.2483980258,6,33
Egypt,,,15.4356036843,2,43
Netherlands,,,14.3962018435,0,44
Canada,,,13.1026369079,1,36
Panama,,,11.9993310525,4,24
Moldova,,,11.0822552294,6,17
Germany,,,11.0314874353,0,41
Hungary,,,10.9222870499,6,16
Belgium,,,9.78909916809,0,40
Pakistan,,,8.25365275863,1,21
Bulgaria,,,7.07803997551,4,11
Japan,,,7.07556122038,2,13
Portugal,,,6.39216228907,1,12
Dominican Republic,,,5.51027803687,1,11
Belarus,,,5.41443793661,2,11
Algeria,,,5.15915444151,1,12
Greece,,,4.29680049908,2,7
Australia,,,3.44561549753,1,7
Croatia,,,3.17826774854,1,6
South Korea,,,2.92273484138,0,7
Austria,,,2.91721327721,0,6
Kuwait,,,2.72519715174,0,6
Nigeria,,,2.5556498643,0,8
Sweden,,,2.49720829415,0,9
Switzerland,,,2.43103892061,0,7
United Arab Emirates,,,2.20082789831,0,5
Slovakia,,,1.58128769305,1,3
Ireland,,,1.38922669812,0,6
Malta,,,1.18726690245,0,2
Slovenia,,,1.16369336484,0,2
Denmark,,,1.12255157615,0,3
Serbia,,,0.764351590599,0,3
Norway,,,0.754920229228,0,2
Cuba,,,0.652436877022,0,2
Lithuania,,,0.533250873214,0,1
Finland,,,0.525613674382,0,2
Malaysia,,,0.456931455978,0,1
China,,,0.356664666177,0,3
Estonia,,,0.291601151344,0,1
Latvia,,,0.272294411962,0,1
Luxembourg,,,0.24021238585,0,1
Cyprus,,,0.0583925822211,0,1
Iceland,,,0.0377078393614,0,1
