country,region,total_deaths
US,,78969
US,NY,10411
US,NJ,5607
US,MI,4505
US,MA,2008
US,IL,1187
US,LA,1127
US,GA,1081
US,CT,709
US,IN,590
US,TX,581
US,MD,522
US,OH,491
US,PA,472
US,CA,433
US,AL,393
US,CO,371
US,WA,360
US,FL,326
US,OK,240
US,TN,218
US,RI,191
US,NV,190
US,ME,188
US,WI,175
US,AZ,169
US,MN,166
US,VA,161
US,MO,145
US,SC,145
US,KY,137
US,OR,136
US,KS,131
US,UT,126
US,NC,121
US,WV,120
US,MS,116
US,PR,113
US,DE,106
US,IA,95
US,NE,94
US,AR,83
US,VT,83
US,DC,83
US,ID,82
US,NH,76
US,NM,75
US,HI,71
US,SD,68
US,MT,64
US,ND,43
US,GU,19
US,AK,3
US,MP,0
US,AS,0
US,WY,0
US,VI,0
