country,region,daily_deaths
US,,1074
US,NY,453
US,NJ,102
US,MI,96
US,LA,43
US,IL,40
US,MA,39
US,GA,29
US,CT,21
US,CA,17
US,IN,16
US,WA,16
US,TX,14
US,PA,13
US,OH,13
US,CO,12
US,FL,12
US,MD,11
US,AL,11
US,KS,6
US,OK,6
US,AZ,6
US,NV,6
US,WV,5
US,KY,5
US,VA,5
US,TN,5
US,OR,5
US,MO,5
US,WI,5
US,SC,5
US,UT,5
US,MN,4
US,NC,4
US,MS,3
US,ND,3
US,NE,3
US,VT,3
US,DC,3
US,PR,3
US,DE,3
US,ID,2
US,IA,2
US,RI,2
US,AR,2
US,ME,2
US,NH,2
US,SD,2
US,HI,1
US,GU,1
US,NM,1
US,MT,1
US,MP,0
US,AS,0
US,WY,0
US,VI,0
US,AK,0
