date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_total_deaths_mean
2020-01-31,0,0,,
2020-02-01,0,0,,
2020-02-02,0,0,,
2020-02-03,0,0,,
2020-02-04,0,0,,
2020-02-05,0,0,,
2020-02-06,0,0,,
2020-02-07,0,0,,
2020-02-08,0,0,,
2020-02-09,0,0,,
2020-02-10,0,0,,
2020-02-11,0,0,,
2020-02-12,0,0,,
2020-02-13,0,0,,
2020-02-14,0,0,,
2020-02-15,0,0,,
2020-02-16,0,0,,
2020-02-17,0,0,,
2020-02-18,0,0,,
2020-02-19,0,0,,
2020-02-20,0,0,,
2020-02-21,0,0,,
2020-02-22,0,0,,
2020-02-23,0,0,,
2020-02-24,0,0,,
2020-02-25,0,0,,
2020-02-26,0,0,,
2020-02-27,0,0,,
2020-02-28,0,0,,
2020-02-29,0,0,,
2020-03-01,0,0,,
2020-03-02,0,0,,
2020-03-03,0,0,,
2020-03-04,10,10,,
2020-03-05,1,11,,
2020-03-06,3,14,,
2020-03-07,2,16,,
2020-03-08,2,18,,
2020-03-09,4,22,,
2020-03-10,2,24,,
2020-03-11,3,27,,
2020-03-12,9,36,,
2020-03-13,3,39,,
2020-03-14,10,49,,
2020-03-15,11,60,,
2020-03-16,11,71,,
2020-03-17,19,90,,
2020-03-18,22,112,,
2020-03-19,48,160,,
2020-03-20,59,219,,
2020-03-21,53,272,,
2020-03-22,126,398,,
2020-03-23,73,471,,
2020-03-24,203,674,,
2020-03-25,225,899,,
2020-03-26,264,1163,,
2020-03-27,367,1530,,
2020-03-28,435,1965,,
2020-03-29,463,2428,,
2020-03-30,511,2939,,
2020-03-31,807,3746,,
2020-04-01,954,4700,,
2020-04-02,,,1074,5774
2020-04-03,,,1217,6991
2020-04-04,,,1344,8335
2020-04-05,,,1468,9803
2020-04-06,,,1565,11368
2020-04-07,,,1630,12998
2020-04-08,,,1659,14657
2020-04-09,,,1653,16310
2020-04-10,,,1616,17926
2020-04-11,,,1546,19472
2020-04-12,,,1450,20922
2020-04-13,,,1341,22263
2020-04-14,,,1215,23478
2020-04-15,,,1085,24563
2020-04-16,,,966,25529
2020-04-17,,,854,26383
2020-04-18,,,746,27129
2020-04-19,,,658,27787
2020-04-20,,,573,28360
2020-04-21,,,505,28865
2020-04-22,,,441,29306
2020-04-23,,,389,29695
2020-04-24,,,342,30037
2020-04-25,,,306,30343
2020-04-26,,,276,30619
2020-04-27,,,248,30867
2020-04-28,,,223,31090
2020-04-29,,,203,31293
2020-04-30,,,180,31473
2020-05-01,,,169,31642
2020-05-02,,,153,31795
2020-05-03,,,140,31935
2020-05-04,,,129,32064
2020-05-05,,,121,32185
2020-05-06,,,113,32298
2020-05-07,,,103,32401
2020-05-08,,,99,32500
2020-05-09,,,93,32593
2020-05-10,,,91,32684
2020-05-11,,,86,32770
2020-05-12,,,83,32853
2020-05-13,,,80,32933
2020-05-14,,,77,33010
2020-05-15,,,73,33083
2020-05-16,,,73,33156
2020-05-17,,,71,33227
2020-05-18,,,69,33296
2020-05-19,,,68,33364
2020-05-20,,,68,33432
2020-05-21,,,66,33498
2020-05-22,,,65,33563
2020-05-23,,,60,33623
2020-05-24,,,51,33674
2020-05-25,,,46,33720
2020-05-26,,,37,33757
2020-05-27,,,29,33786
2020-05-28,,,25,33811
2020-05-29,,,23,33834
2020-05-30,,,21,33855
2020-05-31,,,19,33874
2020-06-01,,,19,33893
2020-06-02,,,19,33912
2020-06-03,,,19,33931
2020-06-04,,,19,33950
2020-06-05,,,18,33968
2020-06-06,,,18,33986
2020-06-07,,,18,34004
2020-06-08,,,18,34022
2020-06-09,,,18,34040
2020-06-10,,,17,34057
2020-06-11,,,16,34073
2020-06-12,,,15,34088
2020-06-13,,,15,34103
2020-06-14,,,14,34117
2020-06-15,,,13,34130
2020-06-16,,,12,34142
2020-06-17,,,12,34154
2020-06-18,,,12,34166
2020-06-19,,,12,34178
2020-06-20,,,11,34189
2020-06-21,,,11,34200
2020-06-22,,,11,34211
2020-06-23,,,11,34222
2020-06-24,,,11,34233
2020-06-25,,,11,34244
2020-06-26,,,8,34252
2020-06-27,,,6,34258
2020-06-28,,,4,34262
2020-06-29,,,4,34266
2020-06-30,,,4,34270
