date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_total_deaths_mean
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,1,1,,
2020-03-21,0,1,,
2020-03-22,4,5,,
2020-03-23,4,9,,
2020-03-24,2,11,,
2020-03-25,4,15,,
2020-03-26,10,25,,
2020-03-27,10,35,,
2020-03-28,9,44,,
2020-03-29,4,48,,
2020-03-30,8,56,,
2020-03-31,33,89,,
2020-04-01,33,122,,
2020-04-02,,,39,161
2020-04-03,,,46,207
2020-04-04,,,55,262
2020-04-05,,,64,326
2020-04-06,,,74,400
2020-04-07,,,83,483
2020-04-08,,,90,573
2020-04-09,,,95,668
2020-04-10,,,97,765
2020-04-11,,,97,862
2020-04-12,,,94,956
2020-04-13,,,89,1045
2020-04-14,,,83,1128
2020-04-15,,,77,1205
2020-04-16,,,70,1275
2020-04-17,,,63,1338
2020-04-18,,,57,1395
2020-04-19,,,51,1446
2020-04-20,,,45,1491
2020-04-21,,,40,1531
2020-04-22,,,36,1567
2020-04-23,,,32,1599
2020-04-24,,,29,1628
2020-04-25,,,26,1654
2020-04-26,,,23,1677
2020-04-27,,,21,1698
2020-04-28,,,19,1717
2020-04-29,,,17,1734
2020-04-30,,,15,1749
2020-05-01,,,14,1763
2020-05-02,,,13,1776
2020-05-03,,,11,1787
2020-05-04,,,11,1798
2020-05-05,,,10,1808
2020-05-06,,,9,1817
2020-05-07,,,8,1825
2020-05-08,,,8,1833
2020-05-09,,,7,1840
2020-05-10,,,7,1847
2020-05-11,,,6,1853
2020-05-12,,,6,1859
2020-05-13,,,6,1865
2020-05-14,,,5,1870
2020-05-15,,,5,1875
2020-05-16,,,5,1880
2020-05-17,,,5,1885
2020-05-18,,,4,1889
2020-05-19,,,4,1893
2020-05-20,,,4,1897
2020-05-21,,,4,1901
2020-05-22,,,4,1905
2020-05-23,,,4,1909
2020-05-24,,,3,1912
2020-05-25,,,3,1915
2020-05-26,,,3,1918
2020-05-27,,,3,1921
2020-05-28,,,3,1924
2020-05-29,,,3,1927
2020-05-30,,,3,1930
2020-05-31,,,2,1932
2020-06-01,,,2,1934
2020-06-02,,,2,1936
2020-06-03,,,2,1938
2020-06-04,,,2,1940
2020-06-05,,,2,1942
2020-06-06,,,2,1944
2020-06-07,,,2,1946
2020-06-08,,,2,1948
2020-06-09,,,2,1950
2020-06-10,,,2,1952
2020-06-11,,,2,1954
2020-06-12,,,2,1956
2020-06-13,,,2,1958
2020-06-14,,,2,1960
2020-06-15,,,2,1962
2020-06-16,,,1,1963
2020-06-17,,,1,1964
2020-06-18,,,1,1965
2020-06-19,,,1,1966
2020-06-20,,,1,1967
2020-06-21,,,1,1968
2020-06-22,,,1,1969
2020-06-23,,,1,1970
2020-06-24,,,1,1971
2020-06-25,,,1,1972
2020-06-26,,,1,1973
2020-06-27,,,1,1974
2020-06-28,,,1,1975
2020-06-29,,,1,1976
2020-06-30,,,1,1977
