country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,497,374,665
United Kingdom,,480,290,700
France,,277,130,549
Italy,,275,154,411
Spain,,213,116,345
Canada,,141,94,190
Mexico,,131,108,173
Germany,,117,67,179
Belgium,,102,60,174
Russia,,95,55,141
India,,89,60,110
Sweden,,75,47,114
Netherlands,,75,42,116
Turkey,,68,42,105
Iran,,65,36,101
Ireland,,33,19,54
Romania,,24,18,30
Portugal,,21,13,29
Poland,,19,11,27
Switzerland,,19,10,32
Indonesia,,17,9,26
Philippines,,12,5,21
Hungary,,9,5,14
Austria,,7,4,12
Denmark,,7,4,11
Finland,,7,4,11
Czechia,,4,2,6
Norway,,3,1,5
Croatia,,3,1,4
Bulgaria,,2,1,4
Greece,,2,0,3
Slovenia,,1,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Latvia,,1,0,1
Slovakia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
