country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,571,386,801
Brazil,,501,390,629
France,,375,183,706
Italy,,322,202,467
Spain,,250,144,404
Germany,,156,97,222
Canada,,146,110,195
Belgium,,138,85,222
Mexico,,118,84,154
Russia,,116,88,143
Sweden,,88,57,128
Netherlands,,88,51,131
Turkey,,86,56,126
India,,75,53,86
Iran,,73,43,110
Ireland,,42,26,62
Romania,,24,18,31
Portugal,,24,16,32
Switzerland,,24,13,38
Poland,,21,13,30
Indonesia,,18,10,27
Philippines,,13,5,21
Hungary,,10,6,15
Austria,,9,5,15
Finland,,8,4,11
Denmark,,7,4,11
Czechia,,4,2,6
Norway,,3,1,6
Croatia,,3,1,4
Bulgaria,,2,1,3
Greece,,2,1,3
Slovenia,,1,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
