country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,6412,83150,22067,220150,2020-08-04,960,2.4
United Kingdom,,27583,58166,35421,114788,2020-04-29,4421,1.1
Italy,,28236,42087,33290,58859,2020-03-27,919,2.9
France,,24628,38763,27450,84320,2020-04-15,1440,3.8
Spain,,24543,32118,27196,44689,2020-04-02,961,
Germany,,6736,17894,9081,41893,2020-04-15,510,1.9
Canada,,3537,13134,6494,20168,2020-04-16,251,0.7
Russia,,1169,12575,4450,33225,2020-05-15,181,1.9
Belgium,,7703,11557,9039,19558,2020-04-10,496,2.8
Netherlands,,4909,9731,6146,18123,2020-04-07,234,1.5
Iran,,6091,9493,7301,14038,2020-04-04,158,2.3
Sweden,,2653,9240,4587,22466,2020-04-21,185,1.3
Mexico,,1972,8936,4259,16771,2020-04-23,212,1.1
India,,1223,6687,3102,13407,2020-05-10,86,1.2
Turkey,,3258,6034,4271,11736,2020-04-19,127,1.4
Ireland,,1265,3463,1733,8207,2020-04-24,220,1.5
Romania,,744,3213,1713,6244,2020-04-25,34,1.1
Poland,,651,2921,1056,6175,2020-04-24,40,4.1
Switzerland,,1754,2645,2046,4301,2020-04-04,75,3.4
Portugal,,1007,2631,1678,4472,2020-04-03,37,1.6
Indonesia,,800,1815,1009,3799,2020-04-14,60,3.0
Philippines,,579,1461,712,2762,2020-04-12,50,1.4
Austria,,589,1003,714,1649,2020-04-08,30,3.8
Finland,,218,967,329,2254,2020-04-21,43,1.3
Hungary,,323,929,445,2512,2020-04-24,23,1.2
Denmark,,460,770,582,1187,2020-04-04,22,1.9
Croatia,,75,421,173,992,2020-04-19,8,0.8
Czechia,,240,411,349,524,2020-04-14,18,2.2
Norway,,210,373,266,707,2020-04-20,16,
Bulgaria,,68,285,123,661,2020-04-29,6,1.5
Greece,,140,232,180,326,2020-04-03,10,
Slovenia,,92,148,112,216,2020-04-07,6,3.0
Luxembourg,,92,147,114,194,2020-04-11,8,1.5
Estonia,,52,109,88,127,2020-04-02,6,
Lithuania,,45,91,66,120,2020-04-10,6,
Latvia,,16,71,52,97,2020-04-21,4,1.0
Slovakia,,23,51,32,87,2020-04-15,4,
Cyprus,,15,27,20,32,2020-03-30,2,
Malta,,4,11,10,13,2020-04-25,1,
