country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,94104,173297,115095,265027,2020-07-29,1595,2.1,2020-11-01
India,,,38135,122313,67162,182931,2020-06-16,2003,1.4,2020-11-01
Mexico,,,47746,88126,70754,128445,2020-06-03,1092,2.3,2020-11-01
United Kingdom,,,46286,50597,46660,59803,2020-04-21,1173,123.1,2020-11-01
Italy,,,35154,35661,35178,37492,2020-03-27,919,111.0,2020-11-01
Colombia,,,10650,33778,19638,55308,2020-07-27,508,1.1,2020-11-01
Peru,,,19614,32083,24950,47147,2020-07-23,3887,0.4,2020-11-01
France,,,30268,31237,30290,36336,2020-04-15,1438,,2020-11-01
Spain,,,28445,30512,28520,39207,2020-06-19,1179,,2020-11-01
Iran,,,17190,29127,21710,41001,2020-07-28,235,1.0,2020-11-01
South Africa,,,8366,26619,14199,38630,2020-07-22,572,1.3,2020-11-01
Russia,,,14104,22118,15597,38749,2020-05-29,232,2.3,2020-11-01
Chile,,,9608,14027,10446,25059,2020-07-17,1057,2.2,2020-11-01
Indonesia,,,5236,13497,7426,26517,2020-07-22,139,2.2,2020-11-01
Argentina,,,3648,12766,6854,23164,2020-07-30,153,2.3,2020-11-01
Belgium,,,9845,10086,9876,10779,2020-04-10,496,,2020-11-01
Germany,,,9154,9988,9186,12607,2020-04-15,510,,2020-11-01
Canada,,,8990,9407,9026,10532,2020-04-16,251,47.9,2020-11-01
Bolivia,,,3153,8267,4849,14069,2020-08-02,89,0.9,2020-11-01
Ecuador,,,5736,7472,5951,10543,2020-05-10,410,,2020-11-01
Pakistan,,,5976,7180,6262,8784,2020-06-14,178,4.8,2020-11-01
Turkey,,,5728,7129,5785,10832,2020-04-19,127,6.4,2020-11-01
Egypt,,,4865,6766,5134,9295,2020-06-15,97,2.3,2020-11-01
Netherlands,,,6169,6373,6184,7129,2020-04-07,234,84.9,2020-11-01
Sweden,,,5743,6102,5818,6658,2020-04-21,185,,2020-11-01
Romania,,,2413,5718,3453,10326,2020-11-01,42,1.2,2020-11-01
Bangladesh,,,3154,5438,3571,9120,2020-06-30,64,1.9,2020-11-01
China,,,4669,5137,4669,7475,2020-04-17,1290,54.5,2020-11-01
Philippines,,,2059,5130,2308,13706,2020-07-12,162,1.9,2020-11-01
Saudi Arabia,,,2917,4798,3438,6998,2020-07-05,58,1.3,2020-11-01
Honduras,,,1377,4283,2288,8459,2020-07-30,53,4.0,2020-11-01
Panama,,,1471,3512,2157,6300,2020-07-24,41,1.4,2020-11-01
Ukraine,,,1749,3437,2245,5945,2020-06-17,31,1.5,2020-11-01
Poland,,,1731,2860,1903,5735,2020-04-24,40,2.1,2020-11-01
Dominican Republic,,,1178,2500,1543,4577,2020-04-12,38,2.0,2020-11-01
Algeria,,,1231,2347,1417,4839,2020-04-09,30,1.8,2020-11-01
Morocco,,,382,2314,679,6785,2020-11-01,28,1.9,2020-11-01
Portugal,,,1738,2129,1754,3038,2020-04-03,37,29.5,2020-11-01
Switzerland,,,1981,2062,1994,2347,2020-04-04,75,,2020-11-01
Ireland,,,1763,1833,1776,2031,2020-04-24,220,,2020-11-01
Japan,,,1013,1692,1032,5298,2020-05-01,29,21.7,2020-11-01
Israel,,,536,1554,785,3168,2020-08-01,14,1.3,2020-11-01
Moldova,,,791,1409,1002,2160,2020-06-20,14,2.7,2020-11-01
Nigeria,,,888,1341,957,2368,2020-06-16,31,2.0,2020-11-01
Serbia,,,590,1339,831,2700,2020-07-10,18,1.1,2020-11-01
Bulgaria,,,388,1109,593,2266,2020-07-29,13,3.4,2020-11-01
Australia,,,208,881,387,2152,2020-07-29,13,,2020-11-01
Kuwait,,,457,863,508,1779,2020-05-30,11,1.8,2020-11-01
Austria,,,718,847,739,1147,2020-04-08,30,,2020-11-01
Belarus,,,567,832,721,1032,2020-07-08,7,1.4,2020-11-01
Denmark,,,615,713,630,935,2020-04-04,22,,2020-11-01
Hungary,,,597,682,604,904,2020-04-24,23,,2020-11-01
Czechia,,,384,675,428,1345,2020-04-14,18,7.7,2020-11-01
United Arab Emirates,,,351,454,360,751,2020-05-10,13,,2020-11-01
Croatia,,,149,454,230,963,2020-04-19,8,1.3,2020-11-01
South Korea,,,301,377,301,626,2020-03-02,11,,2020-11-01
Finland,,,329,371,339,459,2020-04-21,43,,2020-11-01
Greece,,,208,325,234,546,2020-04-03,10,2.0,2020-11-01
Norway,,,255,293,262,388,2020-04-20,16,,2020-11-01
Luxembourg,,,117,214,137,429,2020-04-11,8,2.6,2020-11-01
Slovenia,,,120,167,129,267,2020-04-07,6,2.9,2020-11-01
Malaysia,,,125,153,135,172,2020-03-29,8,,2020-11-01
Cuba,,,87,115,93,165,2020-04-24,6,,2020-11-01
Lithuania,,,80,100,85,134,2020-04-10,6,,2020-11-01
Estonia,,,63,74,69,92,2020-04-02,6,-0.2,2020-11-01
Latvia,,,32,43,34,58,2020-04-21,4,,2020-11-01
Slovakia,,,29,41,30,71,2020-04-15,4,,2020-11-01
Cyprus,,,19,28,22,43,2020-03-30,2,,2020-11-01
Iceland,,,10,14,10,22,2020-03-15,5,,2020-11-01
Malta,,,9,13,10,20,2020-05-29,2,,2020-11-01
