country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,CA,Los Angeles,32.8686965323,19,50
US,TX,Harris,19.956057291,12,31
US,FL,Miami-Dade,18.0523794702,11,28
US,AZ,Maricopa,17.8743254905,10,27
US,NV,Clark,11.9873219248,8,17
US,TX,Bexar,11.9618365811,7,19
US,CA,Orange,10.5015260546,6,17
US,FL,Broward,10.0608405083,6,15
US,CA,Riverside,8.17657860858,5,13
US,TX,Dallas,8.01508021344,4,12
US,CA,San Bernardino,7.79530274483,5,12
US,IL,Cook,6.94521649599,0,19
US,FL,Palm Beach,6.79991584175,3,11
US,TX,Tarrant,6.23912980086,3,10
US,CA,Sacramento,5.35595980755,2,9
US,CA,San Diego,4.25832323511,2,7
US,FL,Hillsborough,4.20571531749,2,7
US,NY,New York City,3.81084591463,0,21
US,FL,Orange,3.49990627106,1,6
US,CA,Alameda,2.95358539588,1,5
US,MI,Wayne,2.35580500945,0,6
US,MA,Middlesex,2.29865415026,0,7
Canada,,Quebec,2.20068428721,0,8
US,CA,Santa Clara,1.8806194991,0,4
US,PA,Philadelphia,1.66103555378,0,6
US,WA,King,1.22288422665,0,4
Canada,,Alberta,1.1920084241,0,2
Canada,,Ontario,1.09044382751,0,4
US,MA,Suffolk,1.08492376472,0,4
US,NV,Washoe,0.904026462901,0,2
US,NJ,Essex,0.677165819421,0,3
Canada,,British Columbia,0.662869011754,0,2
US,NJ,Bergen,0.601199035195,0,2
US,NY,Suffolk,0.397550949941,0,2
US,NJ,Hudson,0.371410346706,0,1
US,LA,Orleans,0.368611742636,0,1
US,NY,Westchester,0.269927269017,0,2
US,NY,Nassau,0.258336359488,0,2
