country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,602,383,851
France,,473,261,817
Italy,,392,256,566
Spain,,317,212,467
Brazil,,316,236,403
Belgium,,188,119,277
Germany,,179,113,247
Canada,,129,81,183
Turkey,,125,77,215
Netherlands,,106,63,149
Mexico,,94,65,132
Sweden,,91,64,122
Iran,,81,49,120
Russia,,61,43,79
Ireland,,46,28,68
India,,40,21,61
Switzerland,,29,17,45
Portugal,,28,19,37
Romania,,23,16,30
Indonesia,,21,11,32
Poland,,20,12,28
Austria,,12,7,19
Hungary,,11,7,16
Philippines,,11,4,19
Finland,,9,5,13
Denmark,,8,5,13
Czechia,,6,3,8
Norway,,5,3,8
Greece,,3,1,4
Bulgaria,,2,1,5
Croatia,,2,1,4
Luxembourg,,2,0,3
Slovenia,,2,0,3
Estonia,,1,1,2
Lithuania,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
