country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
United Kingdom,,20794,46974,26834,107849,2020-04-10,981,2.0
Italy,,26644,43718,33036,67117,2020-03-27,919,3.0
France,,22890,38966,26779,87134,2020-04-15,1440,3.6
Brazil,,4286,35739,12573,86779,2020-04-23,425,1.6
Spain,,23190,32247,27266,44422,2020-04-02,961,2.9
Germany,,5976,20146,8455,43905,2020-04-15,510,2.2
Belgium,,7094,12700,8913,24218,2020-04-10,496,1.7
Netherlands,,4491,10984,5925,23146,2020-04-07,234,2.2
Canada,,2663,10121,4223,18906,2020-04-16,251,1.2
Iran,,5710,9747,7063,15191,2020-04-04,158,2.4
Sweden,,2194,7671,3959,16053,2020-04-21,185,47.5
Mexico,,1351,7298,2664,15135,2020-04-23,212,2.1
Turkey,,2805,6761,4075,14963,2020-04-22,134,1.4
Russia,,747,4356,1696,10372,2020-04-26,66,1.0
India,,881,3158,1322,6849,2020-04-24,59,0.8
Ireland,,1087,3148,1594,5905,2020-04-24,220,2.2
Portugal,,903,3042,1689,6076,2020-04-03,37,1.3
Romania,,619,2674,1365,5725,2020-04-25,34,1.3
Switzerland,,1610,2628,1954,4606,2020-04-04,75,5.2
Poland,,535,2494,850,6076,2020-04-24,40,3.0
Indonesia,,743,1786,977,3075,2020-04-14,60,1.1
Hungary,,272,1098,436,3029,2020-04-24,23,1.3
Austria,,542,1084,726,2140,2020-04-08,30,3.3
Finland,,190,1079,343,2566,2020-04-21,43,3.8
Philippines,,501,1023,615,1847,2020-04-12,50,2.3
Denmark,,422,786,564,1252,2020-04-04,22,3.8
Czechia,,220,465,348,622,2020-04-14,18,4.5
Norway,,201,425,287,870,2020-04-20,16,
Croatia,,55,274,121,1012,2020-04-19,8,3.0
Greece,,134,256,187,390,2020-04-03,10,1.0
Bulgaria,,56,241,116,804,2020-04-22,4,2.0
Luxembourg,,88,155,114,222,2020-04-11,8,1.0
Slovenia,,82,145,104,245,2020-04-07,6,3.0
Estonia,,49,117,92,141,2020-04-02,6,0.7
Lithuania,,41,100,75,154,2020-04-10,6,
Latvia,,12,63,48,82,2020-04-21,4,
Slovakia,,18,45,27,89,2020-04-15,4,1.0
Cyprus,,14,32,27,48,2020-03-30,2,
Malta,,4,12,10,13,2020-04-25,1,
