region,initial_r_0,post_mitigation_r,inflection_date
USA,2.23,0.90,2020-03-18
AK,1.83,0.44,2020-03-15
AL,1.93,0.96,2020-03-17
AR,0.94,0.78,2020-03-18
AZ,1.20,1.02,2020-03-17
CA,1.54,0.97,2020-03-26
CO,1.59,0.96,2020-03-17
CT,2.44,0.87,2020-03-22
DC,1.72,0.94,2020-03-26
DE,1.74,1.00,2020-03-24
FL,1.59,0.94,2020-03-23
GA,1.98,0.91,2020-03-18
GU,0.78,0.55,2020-03-20
HI,2.33,0.55,2020-03-17
IA,1.01,0.99,2020-03-18
ID,1.67,0.55,2020-03-21
IL,2.10,1.02,2020-03-18
IN,1.78,0.97,2020-03-21
KS,1.23,0.79,2020-03-27
KY,1.63,0.90,2020-03-17
LA,2.11,0.85,2020-03-15
MA,1.91,0.87,2020-03-29
MD,1.99,0.93,2020-03-26
ME,2.18,0.71,2020-03-15
MI,2.37,0.80,2020-03-18
MN,1.80,0.97,2020-04-01
MO,1.63,0.96,2020-03-19
MP,0.93,0.43,2020-03-20
MS,1.48,1.02,2020-03-19
MT,1.26,0.56,2020-03-27
NC,1.80,0.90,2020-03-27
ND,0.90,0.94,2020-03-28
NE,1.02,0.96,2020-03-20
NH,1.78,0.99,2020-03-20
NJ,2.51,0.92,2020-03-18
NM,1.57,0.99,2020-03-28
NV,1.39,0.89,2020-03-17
NY,3.70,0.84,2020-03-14
OH,1.63,0.98,2020-03-25
OK,1.78,0.76,2020-03-15
OR,1.56,0.82,2020-03-19
PA,2.40,0.95,2020-03-22
PR,2.12,0.77,2020-03-17
RI,1.76,0.91,2020-03-27
SC,1.63,0.96,2020-03-19
SD,0.81,0.94,2020-03-25
TN,1.92,0.82,2020-03-14
TX,1.68,0.98,2020-03-18
UT,1.03,0.94,2020-03-28
VA,1.47,0.93,2020-03-31
VI,1.34,0.42,2020-03-20
VT,1.37,0.55,2020-03-15
WA,1.42,0.84,2020-03-16
WI,2.02,0.84,2020-03-15
WV,1.39,0.76,2020-03-31
WY,1.30,0.68,2020-03-28
