region,initial_r_0,post_mitigation_r,inflection_date
USA,2.284329080825105,0.9208353304924253,2020-03-17
NY,3.5734580149928155,0.8717130479101184,2020-03-14
NJ,2.5467156862770577,0.9487355607482759,2020-03-18
PA,2.4701063547656554,0.9389230938276,2020-03-22
CT,2.322162425635356,0.886155097312612,2020-03-23
PR,2.264068325691647,0.8305909055880734,2020-03-17
MI,2.1981523683058413,0.890660402829667,2020-03-17
TN,2.184161371562313,0.7368812587579321,2020-03-14
IL,2.1034117428718293,0.9585542428505989,2020-03-19
LA,2.0968474166198776,0.9003176599077072,2020-03-14
MD,2.0414261456100724,0.9042214684164581,2020-03-27
WI,2.0262493201885086,0.8187889519501381,2020-03-16
AL,2.013088588147182,0.937787731319538,2020-03-18
MN,1.905453035188061,0.9131641948221472,2020-03-30
GA,1.8937127203542423,0.9432552314944389,2020-03-18
DE,1.8922663558360293,0.9407253273626932,2020-03-24
MA,1.8908924932607094,0.9055923724327166,2020-03-29
IN,1.889626084416909,0.9529681333948894,2020-03-21
MO,1.8673980503878347,0.9109490359307006,2020-03-19
NH,1.8106045545437985,0.9567848550887241,2020-03-20
TX,1.7896282482432866,0.9381907412734544,2020-03-19
NC,1.7709839326596102,0.8924573854747448,2020-03-27
DC,1.7667843289957224,0.9381451416998416,2020-03-26
MS,1.7598874124080723,0.9242637482610291,2020-03-19
RI,1.7225820508888476,0.8254935019654849,2020-03-27
HI,1.7220095693779902,0.6476076555023923,2020-03-17
CO,1.7140368101695294,0.9547807705625395,2020-03-17
OH,1.6815012473098339,0.9313235317285012,2020-03-25
KY,1.6640895985955217,0.8964619805781253,2020-03-17
NM,1.6333388808319258,0.9223199426528885,2020-03-28
OK,1.6325503999424937,0.8594181198182265,2020-03-15
SC,1.6257916705432445,0.9661298831609281,2020-03-19
FL,1.6013964469649433,0.90699162371248,2020-03-23
AZ,1.5793446554720172,0.9141569662320046,2020-03-17
OR,1.5346889952153107,0.8445574162679427,2020-03-19
VA,1.5055101025956457,0.905867810230613,2020-03-30
NV,1.4873860095208866,0.8889791187617595,2020-03-17
CA,1.4838169960636634,0.9171892933382026,2020-03-26
AK,1.4449760765550241,0.4534090909090909,2020-03-15
WA,1.4186128111431255,0.848392414755713,2020-03-16
ID,1.415071770334928,0.6574461722488036,2020-03-21
WV,1.3395933014354067,0.8863935406698564,2020-03-31
VI,1.2996411483253587,0.5290968899521531,2020-03-20
VT,1.283133971291866,0.7643241626794258,2020-03-15
ME,1.2265550239234448,0.704694976076555,2020-03-15
IA,1.1840129956976464,0.9720000835023029,2020-03-18
UT,1.136483253588517,0.8322069377990431,2020-03-28
NE,1.1269138755980859,0.87808014354067,2020-03-20
WY,1.0797846889952154,0.5325358851674642,2020-03-28
KS,1.0648744798350964,0.8505909638394638,2020-03-26
MT,1.0023923444976077,0.7078648325358852,2020-03-27
MP,0.924043062200957,0.5523026315789474,2020-03-20
ND,0.8860047846889951,0.7858552631578949,2020-03-28
AR,0.8373205741626794,0.8123803827751197,2020-03-18
SD,0.776913875598086,0.8720095693779906,2020-03-25
GU,0.7746411483253588,0.6845394736842105,2020-03-20
