region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.03,2020-06-11
AK,2.00,0.38,2020-03-15,0.53,2020-06-11
AL,1.97,0.97,2020-03-17,1.08,2020-06-11
AR,1.47,0.97,2020-03-18,1.09,2020-06-11
AZ,1.27,0.97,2020-04-13,1.08,2020-06-11
CA,1.63,1.00,2020-03-23,1.08,2020-06-11
CO,1.29,0.88,2020-04-02,1.02,2020-06-11
CT,2.35,0.89,2020-03-23,1.02,2020-06-11
DC,1.65,0.90,2020-03-30,0.99,2020-06-11
DE,1.37,0.89,2020-04-09,1.02,2020-06-11
FL,1.75,0.97,2020-03-20,1.07,2020-06-11
GA,2.03,0.97,2020-03-17,1.02,2020-06-11
GU,0.71,0.37,2020-03-20,0.53,2020-06-11
HI,2.19,0.35,2020-03-17,0.51,2020-06-11
IA,1.81,0.99,2020-03-21,1.01,2020-06-11
ID,2.02,0.63,2020-03-21,0.81,2020-06-11
IL,2.22,0.94,2020-03-21,1.06,2020-06-11
IN,1.85,0.92,2020-03-23,1.05,2020-06-11
KS,1.26,0.82,2020-03-27,0.96,2020-06-11
KY,1.79,0.95,2020-03-17,1.06,2020-06-11
LA,2.12,0.88,2020-03-15,1.02,2020-06-11
MA,1.96,0.89,2020-03-29,1.01,2020-06-11
MD,1.97,0.95,2020-03-27,1.06,2020-06-11
ME,1.37,0.81,2020-03-25,0.96,2020-06-11
MI,2.45,0.84,2020-03-18,0.99,2020-06-11
MN,1.77,1.02,2020-04-01,1.06,2020-06-11
MO,1.69,0.96,2020-03-19,1.06,2020-06-11
MP,1.00,0.34,2020-03-20,0.50,2020-06-11
MS,1.41,0.93,2020-04-10,1.04,2020-06-11
MT,1.39,0.51,2020-03-27,0.70,2020-06-11
NC,1.81,0.99,2020-03-26,1.08,2020-06-11
ND,1.16,0.93,2020-03-28,0.97,2020-06-11
NE,1.67,1.01,2020-03-20,1.04,2020-06-11
NH,1.39,0.95,2020-04-12,1.06,2020-06-11
NJ,2.58,0.92,2020-03-18,0.94,2020-06-11
NM,1.61,0.97,2020-03-28,1.07,2020-06-11
NV,1.83,0.92,2020-03-17,1.05,2020-06-11
NY,3.70,0.85,2020-03-14,1.01,2020-06-11
OH,1.69,0.97,2020-03-25,1.07,2020-06-11
OK,1.73,0.79,2020-03-15,0.91,2020-06-11
OR,1.54,0.86,2020-03-19,1.01,2020-06-11
PA,2.09,0.91,2020-03-28,1.02,2020-06-11
PR,2.13,0.81,2020-03-17,0.97,2020-06-11
RI,1.47,0.92,2020-04-05,1.05,2020-06-11
SC,1.64,1.00,2020-03-19,1.08,2020-06-11
SD,0.98,0.99,2020-03-25,1.01,2020-06-11
TN,2.01,0.90,2020-03-14,1.02,2020-06-11
TX,1.73,0.96,2020-03-18,1.00,2020-06-11
UT,1.17,0.97,2020-03-28,1.07,2020-06-11
VA,1.49,0.95,2020-03-31,1.06,2020-06-11
VI,1.59,0.33,2020-03-20,0.48,2020-06-11
VT,1.20,0.55,2020-03-20,0.76,2020-06-11
WA,1.55,0.87,2020-03-13,1.06,2020-06-11
WI,1.96,0.94,2020-03-14,1.06,2020-06-11
WV,1.46,0.75,2020-03-31,0.90,2020-06-11
WY,1.50,0.75,2020-03-28,0.85,2020-06-11
