combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.42,0.81,2020-03-22,0.99,2020-06-19
Canada-British Columbia,1.17,0.82,2020-03-23,1.01,2020-06-19
Canada-Ontario,1.73,0.86,2020-03-30,0.91,2020-06-19
Canada-Quebec,2.11,0.93,2020-03-28,0.93,2020-06-19
US-AZ-Maricopa,1.24,1.01,2020-03-21,1.05,2020-06-19
US-CA-Alameda,1.31,0.82,2020-03-23,0.94,2020-06-19
US-CA-Los Angeles,2.33,1.00,2020-03-12,1.08,2020-06-19
US-CA-Orange,1.25,1.05,2020-03-24,1.10,2020-06-19
US-CA-Riverside,1.40,0.97,2020-03-22,1.08,2020-06-19
US-CA-Sacramento,1.09,0.74,2020-03-24,0.95,2020-06-19
US-CA-San Bernardino,1.27,0.88,2020-03-23,1.03,2020-06-19
US-CA-San Diego,1.27,0.92,2020-03-22,1.05,2020-06-19
US-CA-Santa Clara,1.17,0.77,2020-03-09,0.86,2020-06-19
US-FL-Broward,1.29,0.86,2020-03-21,1.03,2020-06-19
US-FL-Hillsborough,1.38,1.00,2020-03-24,1.09,2020-06-19
US-FL-Miami-Dade,2.77,0.87,2020-03-14,1.03,2020-06-19
US-FL-Orange,1.48,0.80,2020-03-23,1.02,2020-06-19
US-FL-Palm Beach,1.82,0.94,2020-03-10,1.07,2020-06-19
US-IL-Cook,3.56,0.95,2020-03-12,0.93,2020-06-19
US-LA-Orleans,1.66,0.70,2020-03-11,0.87,2020-06-19
US-MA-Middlesex,2.33,0.85,2020-03-28,0.90,2020-06-19
US-MA-Suffolk,1.72,0.82,2020-03-30,0.86,2020-06-19
US-MI-Wayne,2.89,0.85,2020-03-10,0.86,2020-06-19
US-NJ-Bergen,2.90,0.87,2020-03-09,0.83,2020-06-19
US-NJ-Essex,3.79,0.85,2020-03-12,0.80,2020-06-19
US-NJ-Hudson,1.90,0.84,2020-03-24,0.90,2020-06-19
US-NV-Clark,1.50,0.87,2020-03-13,1.03,2020-06-19
US-NV-Washoe,2.77,0.86,2020-03-17,1.02,2020-06-19
US-NY-Nassau,3.97,0.76,2020-03-11,0.77,2020-06-19
US-NY-New York City,5.40,0.81,2020-03-08,0.79,2020-06-19
US-NY-Suffolk,3.34,0.84,2020-03-12,0.85,2020-06-19
US-NY-Westchester,4.42,0.72,2020-03-15,0.74,2020-06-19
US-PA-Philadelphia,3.77,0.91,2020-03-14,0.90,2020-06-19
US-TX-Bexar,1.29,0.87,2020-03-24,1.07,2020-06-19
US-TX-Dallas,1.23,0.98,2020-03-21,1.09,2020-06-19
US-TX-Harris,1.26,0.94,2020-03-22,1.10,2020-06-19
US-TX-Tarrant,1.17,0.97,2020-03-23,1.07,2020-06-19
US-WA-King,1.86,0.88,2020-03-05,0.93,2020-06-19
