region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.00,2020-05-29
AK,1.92,0.39,2020-03-15,0.54,2020-05-29
AL,1.97,0.97,2020-03-17,1.08,2020-05-29
AR,1.43,0.95,2020-03-18,1.07,2020-05-29
AZ,1.81,1.03,2020-03-18,1.12,2020-05-29
CA,1.61,0.98,2020-03-23,1.00,2020-05-29
CO,1.59,0.96,2020-03-17,1.07,2020-05-29
CT,2.34,0.89,2020-03-23,0.92,2020-05-29
DC,1.63,0.92,2020-03-30,0.92,2020-05-29
DE,1.85,0.96,2020-03-25,0.98,2020-05-29
FL,1.68,0.97,2020-03-20,1.08,2020-05-29
GA,2.04,0.95,2020-03-17,1.05,2020-05-29
GU,0.64,0.44,2020-03-20,0.48,2020-05-29
HI,2.18,0.44,2020-03-17,0.48,2020-05-29
IA,1.80,0.99,2020-03-21,1.10,2020-05-29
ID,1.86,0.61,2020-03-21,0.79,2020-05-29
IL,2.16,0.99,2020-03-19,1.01,2020-05-29
IN,1.84,0.96,2020-03-21,1.07,2020-05-29
KS,1.27,0.81,2020-03-27,0.97,2020-05-29
KY,1.79,0.92,2020-03-17,1.04,2020-05-29
LA,2.15,0.86,2020-03-15,1.01,2020-05-29
MA,1.95,0.88,2020-03-29,1.02,2020-05-29
MD,1.97,0.94,2020-03-27,1.06,2020-05-29
ME,2.18,0.79,2020-03-17,0.82,2020-05-29
MI,2.47,0.83,2020-03-18,0.87,2020-05-29
MN,1.78,1.01,2020-04-01,1.10,2020-05-29
MO,1.70,0.96,2020-03-19,1.06,2020-05-29
MP,0.92,0.33,2020-03-20,0.37,2020-05-29
MS,1.77,1.03,2020-03-19,1.12,2020-05-29
MT,1.40,0.51,2020-03-27,0.68,2020-05-29
NC,1.77,1.00,2020-03-26,1.09,2020-05-29
ND,1.18,0.94,2020-03-28,1.06,2020-05-29
NE,1.59,1.00,2020-03-20,1.09,2020-05-29
NH,1.73,1.03,2020-03-22,1.12,2020-05-29
NJ,2.56,0.91,2020-03-18,0.92,2020-05-29
NM,1.62,0.99,2020-03-28,1.01,2020-05-29
NV,1.72,0.91,2020-03-17,1.04,2020-05-29
NY,3.68,0.85,2020-03-14,0.88,2020-05-29
OH,1.66,0.99,2020-03-25,1.09,2020-05-29
OK,1.76,0.80,2020-03-15,0.96,2020-05-29
OR,1.60,0.83,2020-03-19,0.87,2020-05-29
PA,2.10,0.91,2020-03-28,0.91,2020-05-29
PR,2.15,0.80,2020-03-17,0.84,2020-05-29
RI,1.74,0.98,2020-03-27,1.06,2020-05-29
SC,1.63,1.00,2020-03-19,1.10,2020-05-29
SD,0.98,0.99,2020-03-25,1.09,2020-05-29
TN,2.05,0.91,2020-03-14,1.04,2020-05-29
TX,1.74,0.96,2020-03-18,1.05,2020-05-29
UT,1.17,0.96,2020-03-28,1.06,2020-05-29
VA,1.44,0.99,2020-03-31,1.02,2020-05-29
VI,1.46,0.32,2020-03-20,0.36,2020-05-29
VT,1.17,0.54,2020-03-20,0.58,2020-05-29
WA,1.53,0.88,2020-03-13,0.92,2020-05-29
WI,1.96,0.91,2020-03-15,1.05,2020-05-29
WV,1.46,0.75,2020-03-31,0.91,2020-05-29
WY,1.09,0.81,2020-03-28,1.02,2020-05-29
