country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.26,0.81,2020-03-13,1.03,2020-06-09
Argentina,1.16,1.09,2020-03-17,1.09,2020-06-09
Australia,1.11,0.70,2020-03-23,0.87,2020-06-09
Austria,1.82,0.70,2020-03-15,0.88,2020-06-09
Bangladesh,1.34,1.13,2020-03-28,1.14,2020-06-09
Belarus,1.20,0.98,2020-04-06,0.98,2020-06-09
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-09
Bolivia,1.18,1.12,2020-04-05,1.13,2020-06-09
Brazil,1.41,1.05,2020-04-19,1.05,2020-06-09
Bulgaria,1.47,1.02,2020-03-11,1.09,2020-06-09
Canada,1.91,0.90,2020-03-28,1.03,2020-06-09
Chile,1.77,1.19,2020-03-21,1.17,2020-06-09
China,2.89,0.63,2020-01-20,0.71,2020-06-09
Colombia,1.87,1.14,2020-03-18,1.14,2020-06-09
Croatia,1.48,0.76,2020-03-20,0.93,2020-06-09
Cuba,1.08,0.64,2020-04-08,0.81,2020-06-09
Cyprus,1.31,0.36,2020-03-12,0.51,2020-06-09
Czechia,2.15,0.58,2020-03-14,0.76,2020-06-09
Denmark,2.11,0.75,2020-03-11,0.93,2020-06-09
Dominican Republic,2.26,0.87,2020-03-14,1.01,2020-06-09
Ecuador,1.48,0.87,2020-04-13,1.00,2020-06-09
Egypt,1.43,1.08,2020-03-20,1.08,2020-06-09
Estonia,2.28,0.37,2020-03-11,0.52,2020-06-09
Finland,1.77,0.73,2020-03-27,0.91,2020-06-09
France,1.71,0.81,2020-03-18,0.97,2020-06-09
Germany,2.18,0.81,2020-03-17,0.98,2020-06-09
Greece,1.47,0.70,2020-03-08,0.88,2020-06-09
Honduras,0.97,1.02,2020-04-06,1.09,2020-06-09
Hungary,1.82,0.86,2020-03-25,1.01,2020-06-09
Iceland,1.50,0.33,2020-03-21,0.47,2020-06-09
India,1.27,1.15,2020-04-20,1.16,2020-06-09
Indonesia,1.42,1.02,2020-03-15,1.03,2020-06-09
Iran,2.38,0.87,2020-02-25,1.03,2020-06-09
Ireland,1.60,0.72,2020-03-31,0.90,2020-06-09
Israel,2.36,0.69,2020-03-16,0.87,2020-06-09
Italy,2.58,0.89,2020-03-02,0.99,2020-06-09
Japan,1.26,0.84,2020-03-31,0.94,2020-06-09
Kuwait,1.44,1.04,2020-04-04,1.10,2020-06-09
Latvia,1.50,0.37,2020-03-12,0.53,2020-06-09
Lithuania,1.69,0.80,2020-03-12,0.96,2020-06-09
Luxembourg,1.77,0.67,2020-03-18,0.85,2020-06-09
Malaysia,1.90,0.49,2020-03-06,0.66,2020-06-09
Malta,1.56,0.65,2020-03-07,0.78,2020-06-09
Mexico,1.95,1.13,2020-04-01,1.14,2020-06-09
Moldova,1.34,1.04,2020-03-19,1.11,2020-06-09
Morocco,1.73,0.65,2020-03-14,0.82,2020-06-09
Netherlands,2.42,0.85,2020-03-11,1.01,2020-06-09
Nigeria,1.24,1.00,2020-04-13,1.09,2020-06-09
Norway,1.73,0.62,2020-03-17,0.80,2020-06-09
Pakistan,1.45,1.16,2020-04-09,1.16,2020-06-09
Panama,1.27,0.96,2020-03-19,1.07,2020-06-09
Peru,1.74,1.06,2020-04-05,1.09,2020-06-09
Philippines,1.58,0.90,2020-03-15,1.03,2020-06-09
Poland,1.61,0.94,2020-03-20,1.06,2020-06-09
Portugal,2.11,0.84,2020-03-11,0.99,2020-06-09
Romania,1.71,0.83,2020-03-15,0.98,2020-06-09
Russia,1.47,1.00,2020-04-20,1.05,2020-06-09
Saudi Arabia,1.69,1.10,2020-03-19,1.13,2020-06-09
Serbia,1.37,0.72,2020-03-24,0.90,2020-06-09
Slovakia,2.32,0.48,2020-03-28,0.65,2020-06-09
Slovenia,1.68,0.68,2020-03-20,0.86,2020-06-09
South Africa,1.76,1.19,2020-03-26,1.19,2020-06-09
South Korea,1.83,0.84,2020-02-22,0.94,2020-06-09
Spain,3.16,0.81,2020-03-06,0.97,2020-06-09
Sweden,1.89,0.91,2020-03-20,1.00,2020-06-09
Switzerland,2.06,0.75,2020-03-13,0.92,2020-06-09
Turkey,1.83,0.78,2020-03-22,0.93,2020-06-09
Ukraine,1.54,1.01,2020-03-24,1.08,2020-06-09
United Arab Emirates,1.21,0.86,2020-04-06,0.99,2020-06-09
United Kingdom,2.47,0.93,2020-03-15,0.94,2020-06-09
United States,2.27,0.91,2020-03-18,1.02,2020-06-09
