combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.63,2020-03-22,0.91,2020-05-25,1.31,2020-07-29,1.00
Canada-British Columbia,1.20,2020-03-23,0.81,2020-05-19,1.06,2020-07-29,0.98
Canada-Ontario,1.84,2020-03-28,0.82,2020-06-01,1.03,2020-07-29,1.02
Canada-Quebec,2.11,2020-03-28,0.86,2020-06-01,0.96,2020-07-29,0.94
US-AZ-Maricopa,1.42,2020-03-21,0.99,2020-05-11,1.43,2020-07-29,0.92
US-CA-Alameda,1.32,2020-03-23,0.76,2020-06-01,1.21,2020-07-29,1.00
US-CA-Los Angeles,2.44,2020-03-13,1.01,2020-06-05,1.17,2020-07-29,0.96
US-CA-Orange,1.50,2020-03-24,1.03,2020-05-26,1.26,2020-07-29,0.99
US-CA-Riverside,1.67,2020-03-22,0.95,2020-05-23,1.24,2020-07-29,0.98
US-CA-Sacramento,1.24,2020-03-24,0.82,2020-05-23,1.45,2020-07-29,1.01
US-CA-San Bernardino,1.48,2020-03-23,0.91,2020-05-23,1.28,2020-07-29,1.00
US-CA-San Diego,1.50,2020-03-22,0.93,2020-05-23,1.26,2020-07-29,0.99
US-CA-Santa Clara,1.56,2020-03-09,0.77,2020-06-05,1.20,2020-07-29,1.02
US-FL-Broward,1.52,2020-03-21,0.83,2020-05-20,1.53,2020-07-29,0.96
US-FL-Hillsborough,1.45,2020-03-24,1.03,2020-05-15,1.40,2020-07-29,0.96
US-FL-Miami-Dade,2.82,2020-03-15,0.90,2020-05-20,1.31,2020-07-29,0.95
US-FL-Orange,1.41,2020-03-23,0.90,2020-05-15,1.56,2020-07-29,0.97
US-FL-Palm Beach,1.80,2020-03-10,0.92,2020-05-20,1.31,2020-07-29,0.96
US-IL-Cook,2.69,2020-03-19,0.94,2020-06-15,1.13,2020-07-29,1.02
US-LA-Orleans,1.92,2020-03-12,0.61,2020-05-15,1.09,2020-07-29,0.91
US-MA-Middlesex,2.36,2020-03-27,0.82,2020-06-06,1.13,2020-07-29,1.03
US-MA-Suffolk,1.89,2020-03-29,0.77,2020-06-06,1.14,2020-07-29,1.02
US-MI-Wayne,2.75,2020-03-11,0.77,2020-06-08,1.16,2020-07-29,1.07
US-NJ-Bergen,2.77,2020-03-09,0.82,2020-06-15,0.96,2020-07-29,0.90
US-NJ-Essex,3.82,2020-03-13,0.78,2020-06-15,0.97,2020-07-29,0.89
US-NJ-Hudson,1.91,2020-03-23,0.77,2020-06-15,0.97,2020-07-29,0.88
US-NV-Clark,1.67,2020-03-13,0.84,2020-05-15,1.42,2020-07-29,0.99
US-NV-Washoe,2.78,2020-03-17,0.85,2020-05-15,1.24,2020-07-29,0.99
US-NY-Nassau,4.04,2020-03-13,0.75,2020-06-01,0.96,2020-07-29,0.82
US-NY-New York City,5.44,2020-03-09,0.71,2020-06-08,1.12,2020-07-29,0.97
US-NY-Suffolk,3.43,2020-03-15,0.81,2020-06-01,0.95,2020-07-29,0.85
US-NY-Westchester,4.41,2020-03-18,0.73,2020-06-01,0.96,2020-07-29,0.83
US-PA-Philadelphia,3.80,2020-03-17,0.88,2020-06-15,1.07,2020-07-29,1.01
US-TX-Bexar,1.40,2020-03-24,0.94,2020-05-01,1.47,2020-07-29,0.97
US-TX-Dallas,1.71,2020-03-21,0.99,2020-05-01,1.29,2020-07-29,0.97
US-TX-Harris,1.66,2020-03-22,0.96,2020-05-01,1.31,2020-07-29,0.99
US-TX-Tarrant,1.65,2020-03-23,0.94,2020-05-01,1.23,2020-07-29,0.98
US-WA-King,1.97,2020-03-05,0.86,2020-06-08,1.19,2020-07-29,1.01
