region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.25,2020-03-15,0.91,2020-05-11,1.27,2020-08-21,0.95
AK,1.95,2020-03-15,0.50,2020-04-24,1.38,2020-08-21,1.00
AL,1.49,2020-04-03,0.97,2020-05-11,1.28,2020-08-21,0.92
AR,1.53,2020-04-04,0.99,2020-05-11,1.29,2020-08-21,0.95
AZ,1.21,2020-04-13,1.00,2020-05-11,1.41,2020-08-21,0.89
CA,1.72,2020-03-22,0.98,2020-06-01,1.28,2020-08-21,0.95
CO,1.19,2020-04-02,0.83,2020-05-15,1.12,2020-08-21,0.96
CT,2.30,2020-03-18,0.82,2020-06-01,0.96,2020-08-21,0.86
DC,1.85,2020-03-27,0.89,2020-06-08,1.13,2020-08-21,0.90
DE,1.52,2020-04-06,0.86,2020-06-01,1.11,2020-08-21,0.93
FL,1.70,2020-03-20,0.94,2020-05-04,1.44,2020-08-21,0.90
GA,2.20,2020-03-16,0.96,2020-04-27,1.36,2020-08-21,0.91
GU,1.24,2020-03-20,0.43,2020-06-01,1.39,2020-08-21,1.01
HI,2.15,2020-03-17,0.49,2020-06-01,1.55,2020-08-21,1.00
IA,1.32,2020-04-24,0.80,2020-05-15,1.24,2020-08-21,0.96
ID,2.16,2020-03-21,0.72,2020-05-16,1.63,2020-08-21,0.96
IL,2.17,2020-03-22,0.93,2020-06-01,1.17,2020-08-21,0.95
IN,1.56,2020-03-30,0.88,2020-05-11,1.21,2020-08-21,0.96
KS,1.45,2020-03-25,0.82,2020-05-04,1.28,2020-08-21,0.98
KY,1.98,2020-03-17,0.92,2020-05-22,1.22,2020-08-21,0.98
LA,2.40,2020-03-12,0.80,2020-05-15,1.42,2020-08-21,0.89
MA,2.26,2020-03-22,0.87,2020-06-06,1.15,2020-08-21,0.92
MD,1.96,2020-03-25,0.91,2020-06-01,1.14,2020-08-21,0.94
ME,1.55,2020-03-25,0.82,2020-06-01,1.01,2020-08-21,0.95
MI,2.03,2020-03-14,0.79,2020-06-08,1.19,2020-08-21,0.96
MN,2.06,2020-04-01,0.92,2020-06-01,1.14,2020-08-21,0.95
MO,1.96,2020-03-19,0.86,2020-05-15,1.26,2020-08-21,0.98
MP,1.34,2020-03-20,0.49,2020-06-01,1.11,2020-08-21,1.00
MS,1.44,2020-04-10,0.93,2020-05-07,1.38,2020-08-21,0.89
MT,1.30,2020-03-27,0.53,2020-05-04,1.54,2020-08-21,0.98
NC,2.19,2020-03-25,0.95,2020-05-08,1.24,2020-08-21,0.96
ND,1.35,2020-03-28,0.84,2020-05-01,1.26,2020-08-21,0.98
NE,2.25,2020-03-23,0.99,2020-05-04,1.08,2020-08-21,0.96
NH,1.43,2020-04-14,0.86,2020-05-18,0.97,2020-08-21,0.92
NJ,2.63,2020-03-13,0.88,2020-06-15,1.02,2020-08-21,0.86
NM,1.39,2020-04-08,0.89,2020-06-01,1.19,2020-08-21,0.96
NV,1.96,2020-03-17,0.90,2020-05-15,1.42,2020-08-21,0.92
NY,3.84,2020-03-11,0.75,2020-06-01,1.15,2020-08-21,0.89
OH,1.57,2020-03-31,0.89,2020-05-21,1.21,2020-08-21,0.97
OK,1.99,2020-03-15,0.75,2020-05-01,1.41,2020-08-21,0.98
OR,1.62,2020-03-19,0.89,2020-05-25,1.36,2020-08-21,0.99
PA,1.85,2020-03-31,0.87,2020-06-05,1.11,2020-08-21,0.95
PR,2.37,2020-03-17,0.82,2020-06-01,1.52,2020-08-21,0.98
RI,1.64,2020-04-03,0.88,2020-05-25,1.06,2020-08-21,0.89
SC,1.95,2020-03-19,0.95,2020-05-11,1.51,2020-08-21,0.91
SD,1.23,2020-03-25,0.97,2020-05-01,1.15,2020-08-21,0.95
TN,2.01,2020-03-13,0.99,2020-05-01,1.27,2020-08-21,0.96
TX,1.98,2020-03-18,0.93,2020-05-01,1.52,2020-08-21,0.91
UT,1.54,2020-03-28,0.99,2020-05-16,1.25,2020-08-21,0.97
VA,1.56,2020-04-03,0.92,2020-06-01,1.19,2020-08-21,0.96
VI,2.04,2020-03-20,0.44,2020-06-01,1.25,2020-08-21,0.99
VT,1.37,2020-03-20,0.44,2020-06-01,0.98,2020-08-21,0.92
WA,1.69,2020-03-10,0.88,2020-06-01,1.28,2020-08-21,0.98
WI,2.17,2020-03-13,0.91,2020-05-14,1.19,2020-08-21,0.98
WV,1.53,2020-03-31,0.78,2020-05-04,1.43,2020-08-21,0.99
WY,1.59,2020-03-28,0.72,2020-05-01,1.14,2020-08-21,1.00
