country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.58,2020-03-14,0.84,2020-06-14,1.12,2020-07-29,0.99
Argentina,1.44,2020-03-17,1.13,2020-06-28,1.19,2020-07-29,1.10
Australia,1.23,2020-03-23,0.69,2020-06-01,1.53,2020-07-29,1.04
Austria,2.04,2020-03-13,0.68,2020-05-25,1.08,2020-07-29,0.98
Bangladesh,1.85,2020-03-27,1.09,2020-05-15,0.99,2020-07-29,0.96
Belarus,1.64,2020-04-06,0.98,2021-01-01,1.00,2020-07-29,0.97
Belgium,2.89,2020-03-16,0.73,2020-05-25,1.16,2020-07-29,1.06
Bolivia,1.62,2020-04-06,1.09,2020-06-01,1.16,2020-07-29,0.97
Brazil,1.57,2020-04-19,1.04,2020-06-15,1.13,2020-07-29,1.01
Bulgaria,1.74,2020-03-11,1.03,2020-05-25,1.18,2020-07-29,1.00
Canada,1.98,2020-03-28,0.84,2020-05-25,1.00,2020-07-29,0.98
Chile,1.40,2020-05-20,0.91,2020-07-15,1.12,2020-07-29,0.96
China,3.40,2020-01-22,0.67,2020-04-08,1.01,2020-07-29,0.97
Colombia,2.42,2020-03-19,1.18,2020-06-01,1.18,2020-07-29,0.96
Croatia,1.52,2020-03-20,0.75,2020-05-25,1.32,2020-07-29,0.99
Cuba,1.28,2020-04-08,0.68,2020-06-01,0.94,2020-07-29,0.92
Cyprus,1.61,2020-03-12,0.45,2020-05-25,0.98,2020-07-29,0.94
Czechia,2.32,2020-03-14,0.54,2020-05-25,1.29,2020-07-29,1.02
Denmark,2.37,2020-03-11,0.69,2020-05-25,1.08,2020-07-29,0.98
Dominican Republic,2.56,2020-03-15,0.90,2020-06-01,1.14,2020-07-29,0.98
Ecuador,1.83,2020-04-11,0.87,2020-06-01,1.05,2020-07-29,0.92
Egypt,1.92,2020-03-20,1.08,2020-06-15,0.90,2020-07-29,0.89
Estonia,2.32,2020-03-11,0.42,2020-05-25,0.89,2020-07-29,0.87
Finland,1.84,2020-03-27,0.66,2020-05-25,1.06,2020-07-29,0.97
France,1.73,2020-03-16,0.78,2020-05-25,1.06,2020-07-29,0.92
Germany,2.45,2020-03-16,0.77,2020-05-15,0.97,2020-07-29,0.91
Greece,1.75,2020-03-08,0.67,2020-05-25,1.01,2020-07-29,0.97
Honduras,1.48,2020-04-06,0.99,2020-06-01,1.25,2020-07-29,0.98
Hungary,2.00,2020-03-24,0.80,2020-05-25,1.07,2020-07-29,0.98
Iceland,1.44,2020-03-21,0.45,2020-05-15,1.02,2020-07-29,0.94
India,1.58,2020-04-19,1.10,2020-05-15,1.12,2020-07-29,1.09
Indonesia,1.73,2020-03-15,1.04,2020-06-15,1.13,2020-07-29,1.00
Iran,2.64,2020-02-26,0.89,2020-04-20,1.22,2020-07-29,0.91
Ireland,1.71,2020-03-29,0.71,2020-05-25,1.07,2020-07-29,0.94
Israel,2.85,2020-03-17,0.75,2020-05-15,1.49,2020-07-29,0.98
Italy,2.72,2020-02-29,0.86,2020-05-25,1.01,2020-07-29,0.91
Japan,1.32,2020-04-01,0.78,2020-06-01,1.14,2020-07-29,1.04
Kuwait,1.92,2020-04-16,0.90,2020-06-30,1.13,2020-07-29,1.09
Latvia,1.49,2020-03-30,0.48,2020-05-25,0.91,2020-07-29,0.89
Lithuania,1.98,2020-03-12,0.80,2020-05-25,1.01,2020-07-29,0.97
Luxembourg,1.85,2020-03-18,0.61,2020-05-25,1.34,2020-07-29,1.01
Malaysia,2.20,2020-03-08,0.65,2020-05-15,0.86,2020-07-29,0.86
Malta,1.63,2020-03-20,0.64,2020-05-25,1.03,2020-07-29,1.00
Mexico,2.43,2020-04-01,1.05,2020-06-01,1.09,2020-07-29,0.99
Moldova,1.94,2020-03-18,1.03,2020-05-15,1.12,2020-07-29,0.95
Morocco,2.31,2020-03-13,0.72,2020-06-01,1.43,2020-07-29,1.00
Netherlands,2.70,2020-03-10,0.78,2020-05-25,0.95,2020-07-29,0.92
Nigeria,1.64,2020-04-13,0.96,2020-05-15,0.96,2020-07-29,0.95
Norway,1.89,2020-03-16,0.58,2020-05-15,0.92,2020-07-29,0.90
Pakistan,1.59,2020-05-11,0.86,2020-05-20,0.85,2020-07-29,0.87
Panama,1.39,2020-03-19,1.01,2020-05-15,1.26,2020-07-29,0.95
Peru,2.25,2020-04-03,1.04,2020-06-01,1.11,2020-07-29,0.92
Philippines,1.18,2020-03-15,0.94,2020-06-01,1.18,2020-07-29,1.01
Poland,1.64,2020-03-19,0.95,2020-05-25,1.00,2020-07-29,0.96
Portugal,2.29,2020-03-11,0.81,2020-05-25,1.11,2020-07-29,0.98
Romania,1.87,2020-03-15,0.84,2020-05-25,1.26,2020-07-29,0.97
Russia,1.67,2020-04-19,0.94,2020-05-15,1.00,2020-07-29,0.94
Saudi Arabia,2.55,2020-03-24,1.08,2020-06-21,1.09,2020-07-29,0.96
Serbia,1.74,2020-03-24,0.79,2020-05-15,1.42,2020-07-29,0.96
Slovakia,1.59,2020-03-28,0.50,2020-05-25,1.05,2020-07-29,0.97
Slovenia,1.81,2020-03-20,0.66,2020-05-25,1.09,2020-07-29,0.99
South Africa,2.64,2020-03-29,1.14,2020-06-01,1.12,2020-07-29,1.04
South Korea,2.25,2020-02-22,0.82,2020-05-06,1.11,2020-07-29,1.00
Spain,3.36,2020-03-06,0.80,2020-05-25,1.06,2020-07-29,0.91
Sweden,2.14,2020-03-17,0.94,2021-01-01,1.00,2020-07-29,0.88
Switzerland,2.38,2020-03-10,0.69,2020-05-25,1.07,2020-07-29,0.96
Turkey,2.62,2020-03-21,0.77,2020-06-01,0.98,2020-07-29,0.94
Ukraine,1.96,2020-03-24,0.97,2020-05-15,1.13,2020-07-29,0.99
United Arab Emirates,1.71,2020-04-04,0.82,2020-06-01,1.05,2020-07-29,0.98
United Kingdom,2.80,2020-03-13,0.90,2020-06-01,1.04,2020-07-29,0.93
United States,2.30,2020-03-17,0.91,2020-05-10,1.26,2020-07-29,0.96
