region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.25,0.93,2020-03-18,1.03,2020-07-17
AK,1.93,0.50,2020-03-15,0.92,2020-07-17
AL,1.50,0.98,2020-04-03,1.07,2020-07-17
AR,1.53,1.00,2020-04-04,0.99,2020-07-17
AZ,1.23,0.99,2020-04-13,0.95,2020-07-17
CA,1.75,0.98,2020-03-23,0.98,2020-07-17
CO,1.29,0.88,2020-04-02,1.04,2020-07-17
CT,2.15,0.83,2020-03-25,0.92,2020-07-17
DC,1.68,0.91,2020-03-30,1.03,2020-07-17
DE,1.46,0.87,2020-04-09,0.99,2020-07-17
FL,1.83,0.93,2020-03-20,1.02,2020-07-17
GA,2.21,0.97,2020-03-17,1.01,2020-07-17
GU,1.26,0.48,2020-03-20,0.87,2020-07-17
HI,2.10,0.52,2020-03-17,1.14,2020-07-17
IA,1.31,0.87,2020-04-24,1.00,2020-07-17
ID,2.27,0.69,2020-03-21,1.09,2020-07-17
IL,2.08,0.94,2020-03-24,1.02,2020-07-17
IN,1.57,0.90,2020-04-02,1.03,2020-07-17
KS,1.28,0.82,2020-03-27,1.01,2020-07-17
KY,1.85,0.95,2020-03-17,1.11,2020-07-17
LA,2.10,0.87,2020-03-15,1.08,2020-07-17
MA,1.97,0.90,2020-03-28,0.97,2020-07-17
MD,1.96,0.93,2020-03-28,1.01,2020-07-17
ME,1.66,0.85,2020-03-25,1.07,2020-07-17
MI,1.94,0.84,2020-03-18,1.05,2020-07-17
MN,1.88,0.93,2020-04-02,1.09,2020-07-17
MO,1.89,0.90,2020-03-20,1.02,2020-07-17
MP,1.43,0.43,2020-03-20,0.85,2020-07-17
MS,1.45,0.94,2020-04-10,1.01,2020-07-17
MT,1.36,0.73,2020-03-27,1.09,2020-07-17
NC,2.09,0.97,2020-03-26,0.99,2020-07-17
ND,1.39,0.91,2020-03-28,0.98,2020-07-17
NE,2.25,1.03,2020-03-22,0.94,2020-07-17
NH,1.50,0.87,2020-04-15,0.88,2020-07-17
NJ,2.56,0.88,2020-03-19,1.02,2020-07-17
NM,1.42,0.94,2020-04-08,1.04,2020-07-17
NV,2.05,0.91,2020-03-17,1.08,2020-07-17
NY,3.64,0.83,2020-03-13,0.99,2020-07-17
OH,1.54,0.92,2020-04-03,1.04,2020-07-17
OK,1.81,0.79,2020-03-15,0.99,2020-07-17
OR,1.65,0.93,2020-03-19,1.09,2020-07-17
PA,1.80,0.88,2020-04-03,0.99,2020-07-17
PR,2.28,0.88,2020-03-17,1.10,2020-07-17
RI,1.68,0.88,2020-04-05,0.93,2020-07-17
SC,1.83,1.00,2020-03-19,1.02,2020-07-17
SD,1.20,1.01,2020-03-25,0.95,2020-07-17
TN,2.11,0.96,2020-03-13,1.03,2020-07-17
TX,1.98,0.93,2020-03-18,0.99,2020-07-17
UT,1.55,0.99,2020-03-28,1.04,2020-07-17
VA,1.56,0.93,2020-04-03,1.10,2020-07-17
VI,1.90,0.57,2020-03-20,1.13,2020-07-17
VT,1.39,0.59,2020-03-20,0.98,2020-07-17
WA,1.58,0.89,2020-03-12,1.04,2020-07-17
WI,2.10,0.94,2020-03-14,1.04,2020-07-17
WV,1.52,0.76,2020-03-31,0.96,2020-07-17
WY,1.55,0.73,2020-03-28,0.94,2020-07-17
