region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-09-09,0.95
AK,1.98,2020-03-15,0.51,2020-04-24,1.39,2020-09-09,1.01
AL,1.50,2020-04-02,0.97,2020-05-11,1.27,2020-09-09,0.92
AR,1.55,2020-04-04,0.99,2020-05-11,1.28,2020-09-09,0.93
AZ,1.28,2020-04-13,0.99,2020-05-11,1.42,2020-09-09,0.86
CA,1.74,2020-03-22,0.97,2020-06-01,1.25,2020-09-09,0.93
CO,1.20,2020-04-01,0.85,2020-05-15,1.01,2020-09-09,0.93
CT,2.33,2020-03-18,0.79,2020-06-01,1.00,2020-09-09,0.89
DC,1.88,2020-03-27,0.89,2020-06-08,1.10,2020-09-09,0.88
DE,1.55,2020-04-06,0.85,2020-06-01,1.05,2020-09-09,0.92
FL,1.73,2020-03-20,0.93,2020-05-04,1.45,2020-09-09,0.86
GA,2.21,2020-03-16,0.95,2020-04-27,1.32,2020-09-09,0.89
GU,1.31,2020-03-20,0.51,2020-06-01,1.96,2020-09-09,0.91
HI,2.13,2020-03-17,0.57,2020-06-01,1.79,2020-09-09,0.94
IA,1.32,2020-04-24,0.81,2020-05-15,1.24,2020-09-09,0.95
ID,2.14,2020-03-21,0.73,2020-05-16,1.57,2020-09-09,0.94
IL,2.20,2020-03-22,0.93,2020-06-01,1.17,2020-09-09,0.95
IN,1.60,2020-03-30,0.90,2020-05-11,1.09,2020-09-09,0.95
KS,1.46,2020-03-25,0.82,2020-05-04,1.30,2020-09-09,0.99
KY,2.00,2020-03-17,0.92,2020-05-22,1.23,2020-09-09,0.98
LA,2.41,2020-03-12,0.81,2020-05-15,1.39,2020-09-09,0.87
MA,2.27,2020-03-22,0.88,2020-06-06,1.06,2020-09-09,0.90
MD,1.97,2020-03-25,0.91,2020-06-01,1.08,2020-09-09,0.94
ME,1.57,2020-03-25,0.83,2020-06-01,0.98,2020-09-09,0.94
MI,2.03,2020-03-14,0.79,2020-06-08,1.22,2020-09-09,0.96
MN,2.09,2020-04-01,0.91,2020-06-01,1.15,2020-09-09,0.96
MO,1.98,2020-03-19,0.85,2020-05-15,1.27,2020-09-09,0.99
MP,1.37,2020-03-20,0.50,2020-06-01,1.11,2020-09-09,1.01
MS,1.45,2020-04-10,0.93,2020-05-07,1.30,2020-09-09,0.87
MT,1.28,2020-03-27,0.54,2020-05-04,1.57,2020-09-09,1.00
NC,2.19,2020-03-25,0.96,2020-05-08,1.21,2020-09-09,0.96
ND,1.33,2020-03-28,0.86,2020-05-01,1.24,2020-09-09,0.97
NE,2.27,2020-03-23,0.98,2020-05-04,1.12,2020-09-09,0.97
NH,1.45,2020-04-14,0.85,2020-05-18,0.94,2020-09-09,0.91
NJ,2.62,2020-03-14,0.87,2020-06-15,1.01,2020-09-09,0.87
NM,1.42,2020-04-07,0.89,2020-06-01,1.21,2020-09-09,0.93
NV,1.97,2020-03-17,0.91,2020-05-15,1.40,2020-09-09,0.91
NY,3.86,2020-03-11,0.72,2020-06-01,1.16,2020-09-09,0.89
OH,1.61,2020-03-31,0.90,2020-05-21,1.16,2020-09-09,0.94
OK,1.98,2020-03-15,0.76,2020-05-01,1.33,2020-09-09,0.97
OR,1.60,2020-03-19,0.90,2020-05-25,1.37,2020-09-09,0.96
PA,1.87,2020-03-31,0.87,2020-06-05,1.06,2020-09-09,0.94
PR,2.35,2020-03-17,0.82,2020-06-01,1.56,2020-09-09,0.98
RI,1.66,2020-04-03,0.87,2020-05-25,1.07,2020-09-09,0.90
SC,1.96,2020-03-19,0.95,2020-05-11,1.51,2020-09-09,0.90
SD,1.19,2020-03-25,1.02,2020-05-01,1.08,2020-09-09,0.96
TN,2.02,2020-03-13,1.00,2020-05-01,1.27,2020-09-09,0.94
TX,2.01,2020-03-18,0.93,2020-05-01,1.53,2020-09-09,0.89
UT,1.56,2020-03-28,0.99,2020-05-16,1.23,2020-09-09,0.97
VA,1.60,2020-04-02,0.92,2020-06-01,1.17,2020-09-09,0.96
VI,2.00,2020-03-20,0.53,2020-06-01,1.52,2020-09-09,0.96
VT,1.39,2020-03-20,0.44,2020-06-01,0.92,2020-09-09,0.88
WA,1.68,2020-03-10,0.90,2020-06-01,1.21,2020-09-09,0.93
WI,2.20,2020-03-13,0.91,2020-05-14,1.19,2020-09-09,0.99
WV,1.52,2020-03-31,0.80,2020-05-04,1.44,2020-09-09,0.99
WY,1.59,2020-03-28,0.72,2020-05-01,1.14,2020-09-09,1.00
