region,initial_r_0,post_mitigation_r,inflection_date
USA,2.24,0.91,2020-03-18
AK,1.84,0.44,2020-03-15
AL,1.94,0.96,2020-03-17
AR,0.91,0.82,2020-03-18
AZ,1.22,1.01,2020-03-17
CA,1.55,0.98,2020-03-26
CO,1.61,0.96,2020-03-17
CT,2.43,0.89,2020-03-22
DC,1.74,0.93,2020-03-27
DE,1.79,0.99,2020-03-24
FL,1.59,0.95,2020-03-23
GA,1.98,0.95,2020-03-17
GU,0.78,0.56,2020-03-20
HI,2.31,0.55,2020-03-17
IA,1.06,0.99,2020-03-18
ID,1.66,0.55,2020-03-21
IL,2.11,1.02,2020-03-18
IN,1.79,0.98,2020-03-21
KS,1.24,0.79,2020-03-27
KY,1.62,0.91,2020-03-17
LA,2.12,0.86,2020-03-15
MA,1.92,0.88,2020-03-29
MD,1.99,0.94,2020-03-26
ME,2.18,0.72,2020-03-15
MI,2.38,0.81,2020-03-18
MN,1.80,1.00,2020-03-31
MO,1.63,0.97,2020-03-19
MP,0.93,0.43,2020-03-20
MS,1.50,1.02,2020-03-19
MT,1.28,0.56,2020-03-27
NC,1.77,0.94,2020-03-26
ND,0.90,0.94,2020-03-28
NE,1.03,0.96,2020-03-20
NH,1.81,0.99,2020-03-20
NJ,2.53,0.92,2020-03-18
NM,1.56,1.01,2020-03-28
NV,1.38,0.89,2020-03-17
NY,3.70,0.84,2020-03-14
OH,1.63,0.99,2020-03-25
OK,1.77,0.77,2020-03-15
OR,1.55,0.82,2020-03-19
PA,2.41,0.96,2020-03-22
PR,2.14,0.77,2020-03-17
RI,1.72,0.95,2020-03-27
SC,1.66,0.96,2020-03-19
SD,0.81,0.95,2020-03-25
TN,1.92,0.83,2020-03-14
TX,1.70,0.98,2020-03-18
UT,1.06,0.94,2020-03-28
VA,1.46,0.96,2020-03-30
VI,1.35,0.42,2020-03-20
VT,1.39,0.55,2020-03-15
WA,1.43,0.85,2020-03-16
WI,2.01,0.85,2020-03-15
WV,1.37,0.76,2020-03-31
WY,1.18,0.75,2020-03-28
