region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.03,2020-06-16
AK,1.97,0.41,2020-03-15,0.56,2020-06-16
AL,1.36,0.94,2020-04-03,1.02,2020-06-16
AR,1.22,0.99,2020-04-04,1.07,2020-06-16
AZ,1.28,0.96,2020-04-13,1.04,2020-06-16
CA,1.62,0.99,2020-03-23,1.07,2020-06-16
CO,1.27,0.88,2020-04-02,1.01,2020-06-16
CT,2.27,0.89,2020-03-24,0.95,2020-06-16
DC,1.65,0.90,2020-03-30,0.97,2020-06-16
DE,1.41,0.88,2020-04-09,0.99,2020-06-16
FL,1.74,0.97,2020-03-20,1.06,2020-06-16
GA,2.04,0.97,2020-03-17,1.00,2020-06-16
GU,0.72,0.37,2020-03-20,0.53,2020-06-16
HI,2.06,0.44,2020-03-17,0.62,2020-06-16
IA,1.22,0.86,2020-04-24,0.94,2020-06-16
ID,2.04,0.66,2020-03-21,0.84,2020-06-16
IL,2.16,0.94,2020-03-22,1.02,2020-06-16
IN,1.56,0.89,2020-04-02,0.96,2020-06-16
KS,1.27,0.81,2020-03-27,0.93,2020-06-16
KY,1.85,0.94,2020-03-17,1.04,2020-06-16
LA,2.17,0.88,2020-03-15,0.97,2020-06-16
MA,1.98,0.89,2020-03-29,0.96,2020-06-16
MD,1.98,0.93,2020-03-27,1.02,2020-06-16
ME,1.44,0.80,2020-03-25,0.96,2020-06-16
MI,2.03,0.85,2020-03-18,0.96,2020-06-16
MN,1.80,0.98,2020-04-02,1.02,2020-06-16
MO,1.87,0.89,2020-03-20,1.00,2020-06-16
MP,1.02,0.34,2020-03-20,0.50,2020-06-16
MS,1.43,0.92,2020-04-10,0.99,2020-06-16
MT,1.42,0.50,2020-03-27,0.67,2020-06-16
NC,1.86,0.98,2020-03-25,1.06,2020-06-16
ND,1.36,0.91,2020-03-28,0.94,2020-06-16
NE,1.84,1.01,2020-03-20,1.01,2020-06-16
NH,1.40,0.94,2020-04-12,1.04,2020-06-16
NJ,2.49,0.92,2020-03-18,0.92,2020-06-16
NM,1.38,0.94,2020-04-08,1.04,2020-06-16
NV,1.86,0.91,2020-03-17,1.03,2020-06-16
NY,3.72,0.84,2020-03-12,0.90,2020-06-16
OH,1.50,0.92,2020-04-03,1.01,2020-06-16
OK,1.77,0.77,2020-03-15,0.88,2020-06-16
OR,1.57,0.87,2020-03-19,1.02,2020-06-16
PA,1.83,0.88,2020-04-03,0.99,2020-06-16
PR,2.15,0.81,2020-03-17,0.97,2020-06-16
RI,1.51,0.92,2020-04-05,0.99,2020-06-16
SC,1.69,0.98,2020-03-19,1.04,2020-06-16
SD,1.11,0.96,2020-03-25,0.98,2020-06-16
TN,2.02,0.91,2020-03-13,1.01,2020-06-16
TX,1.76,0.96,2020-03-18,0.98,2020-06-16
UT,1.16,0.98,2020-03-28,1.08,2020-06-16
VA,1.49,0.93,2020-04-01,1.04,2020-06-16
VI,1.65,0.33,2020-03-20,0.49,2020-06-16
VT,1.25,0.59,2020-03-20,0.80,2020-06-16
WA,1.56,0.87,2020-03-13,1.06,2020-06-16
WI,1.90,0.94,2020-03-13,1.05,2020-06-16
WV,1.49,0.75,2020-03-31,0.87,2020-06-16
WY,1.49,0.73,2020-03-28,0.81,2020-06-16
