region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.08,2020-07-09
AK,1.91,0.58,2020-03-15,1.00,2020-07-09
AL,1.50,0.98,2020-04-03,1.10,2020-07-09
AR,1.37,1.02,2020-04-04,1.06,2020-07-09
AZ,1.29,1.00,2020-04-13,1.02,2020-07-09
CA,1.71,1.01,2020-03-23,1.08,2020-07-09
CO,1.29,0.88,2020-04-02,1.05,2020-07-09
CT,2.27,0.86,2020-03-24,0.94,2020-07-09
DC,1.67,0.91,2020-03-30,1.03,2020-07-09
DE,1.46,0.87,2020-04-09,1.04,2020-07-09
FL,1.82,0.97,2020-03-20,1.08,2020-07-09
GA,2.09,0.98,2020-03-17,1.11,2020-07-09
GU,0.79,0.45,2020-03-20,0.83,2020-07-09
HI,2.13,0.49,2020-03-17,1.03,2020-07-09
IA,1.33,0.87,2020-04-23,1.00,2020-07-09
ID,2.21,0.69,2020-03-21,1.10,2020-07-09
IL,2.21,0.94,2020-03-22,1.05,2020-07-09
IN,1.57,0.90,2020-04-02,1.07,2020-07-09
KS,1.25,0.86,2020-03-27,0.98,2020-07-09
KY,1.86,0.96,2020-03-17,1.09,2020-07-09
LA,2.10,0.88,2020-03-15,1.11,2020-07-09
MA,1.93,0.90,2020-03-28,0.97,2020-07-09
MD,2.01,0.93,2020-03-28,1.02,2020-07-09
ME,1.68,0.85,2020-03-25,1.07,2020-07-09
MI,1.99,0.84,2020-03-18,1.06,2020-07-09
MN,1.88,0.93,2020-04-02,1.05,2020-07-09
MO,1.89,0.91,2020-03-20,1.04,2020-07-09
MP,1.43,0.43,2020-03-20,0.85,2020-07-09
MS,1.45,0.95,2020-04-10,1.05,2020-07-09
MT,1.42,0.59,2020-03-27,1.10,2020-07-09
NC,2.01,0.98,2020-03-26,0.99,2020-07-09
ND,1.53,0.93,2020-03-28,0.91,2020-07-09
NE,1.98,1.02,2020-03-20,0.95,2020-07-09
NH,1.46,0.92,2020-04-13,1.01,2020-07-09
NJ,2.56,0.90,2020-03-19,1.03,2020-07-09
NM,1.42,0.94,2020-04-08,1.09,2020-07-09
NV,1.88,0.93,2020-03-17,1.17,2020-07-09
NY,3.63,0.82,2020-03-12,0.97,2020-07-09
OH,1.53,0.93,2020-04-02,1.09,2020-07-09
OK,1.80,0.79,2020-03-15,0.99,2020-07-09
OR,1.68,0.92,2020-03-19,1.12,2020-07-09
PA,1.80,0.88,2020-04-03,1.04,2020-07-09
PR,2.30,0.85,2020-03-17,1.07,2020-07-09
RI,1.59,0.93,2020-04-05,1.00,2020-07-09
SC,1.79,1.01,2020-03-19,1.08,2020-07-09
SD,1.20,1.00,2020-03-25,0.95,2020-07-09
TN,2.05,0.99,2020-03-13,1.07,2020-07-09
TX,1.89,0.98,2020-03-18,1.07,2020-07-09
UT,1.48,1.01,2020-03-28,1.05,2020-07-09
VA,1.56,0.92,2020-04-03,1.10,2020-07-09
VI,1.71,0.58,2020-03-20,1.12,2020-07-09
VT,1.36,0.59,2020-03-20,0.98,2020-07-09
WA,1.61,0.82,2020-03-13,1.10,2020-07-09
WI,2.08,0.95,2020-03-14,1.05,2020-07-09
WV,1.50,0.77,2020-03-31,0.93,2020-07-09
WY,1.59,0.74,2020-03-28,0.97,2020-07-09
