region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.27,2020-03-15,0.91,2020-05-10,1.25,2020-08-15,0.96
AK,1.95,2020-03-15,0.49,2020-04-24,1.39,2020-08-15,1.00
AL,1.48,2020-04-03,0.97,2020-05-11,1.29,2020-08-15,0.92
AR,1.55,2020-04-04,1.00,2020-05-11,1.27,2020-08-15,0.96
AZ,1.21,2020-04-13,1.00,2020-05-11,1.41,2020-08-15,0.90
CA,1.72,2020-03-22,0.98,2020-06-01,1.28,2020-08-15,0.95
CO,1.19,2020-04-02,0.83,2020-05-15,1.13,2020-08-15,0.96
CT,2.33,2020-03-18,0.82,2020-06-01,1.01,2020-08-15,0.89
DC,1.85,2020-03-27,0.89,2020-06-08,1.13,2020-08-15,0.91
DE,1.52,2020-04-06,0.85,2020-06-01,1.09,2020-08-15,0.93
FL,1.71,2020-03-19,0.93,2020-05-04,1.44,2020-08-15,0.91
GA,2.21,2020-03-16,0.95,2020-04-27,1.35,2020-08-15,0.92
GU,1.25,2020-03-20,0.44,2020-06-01,1.14,2020-08-15,0.98
HI,2.15,2020-03-17,0.49,2020-06-01,1.57,2020-08-15,1.01
IA,1.32,2020-04-24,0.80,2020-05-15,1.23,2020-08-15,0.96
ID,2.15,2020-03-21,0.74,2020-05-16,1.57,2020-08-15,0.96
IL,2.15,2020-03-22,0.93,2020-06-01,1.18,2020-08-15,0.96
IN,1.56,2020-03-30,0.88,2020-05-11,1.21,2020-08-15,0.96
KS,1.46,2020-03-25,0.82,2020-05-04,1.29,2020-08-15,0.98
KY,1.99,2020-03-17,0.93,2020-05-22,1.20,2020-08-15,0.98
LA,2.43,2020-03-13,0.81,2020-05-15,1.41,2020-08-15,0.90
MA,2.23,2020-03-23,0.87,2020-06-06,1.16,2020-08-15,0.92
MD,1.96,2020-03-25,0.90,2020-06-01,1.18,2020-08-15,0.95
ME,1.54,2020-03-25,0.82,2020-06-01,1.00,2020-08-15,0.95
MI,2.05,2020-03-14,0.80,2020-06-08,1.20,2020-08-15,0.96
MN,2.06,2020-04-01,0.92,2020-06-01,1.12,2020-08-15,0.95
MO,1.95,2020-03-19,0.86,2020-05-15,1.25,2020-08-15,0.98
MP,1.34,2020-03-20,0.49,2020-06-01,1.11,2020-08-15,1.00
MS,1.44,2020-04-10,0.93,2020-05-07,1.38,2020-08-15,0.90
MT,1.30,2020-03-27,0.52,2020-05-04,1.54,2020-08-15,0.99
NC,2.19,2020-03-25,0.95,2020-05-08,1.24,2020-08-15,0.96
ND,1.34,2020-03-28,0.84,2020-05-01,1.24,2020-08-15,0.98
NE,2.26,2020-03-23,0.99,2020-05-04,1.07,2020-08-15,0.96
NH,1.42,2020-04-14,0.85,2020-05-18,0.95,2020-08-15,0.92
NJ,2.68,2020-03-14,0.88,2020-06-15,1.02,2020-08-15,0.86
NM,1.39,2020-04-08,0.89,2020-06-01,1.19,2020-08-15,0.97
NV,1.98,2020-03-17,0.90,2020-05-15,1.42,2020-08-15,0.93
NY,3.87,2020-03-11,0.77,2020-06-01,1.01,2020-08-15,0.84
OH,1.57,2020-03-31,0.89,2020-05-21,1.21,2020-08-15,0.98
OK,1.99,2020-03-15,0.75,2020-05-01,1.40,2020-08-15,0.98
OR,1.60,2020-03-19,0.90,2020-05-25,1.33,2020-08-15,0.99
PA,1.83,2020-03-31,0.88,2020-06-05,1.10,2020-08-15,0.95
PR,2.38,2020-03-17,0.81,2020-06-01,1.53,2020-08-15,0.98
RI,1.63,2020-04-03,0.88,2020-05-25,1.09,2020-08-15,0.92
SC,1.95,2020-03-19,0.95,2020-05-11,1.51,2020-08-15,0.92
SD,1.22,2020-03-25,0.97,2020-05-01,1.14,2020-08-15,0.96
TN,2.02,2020-03-13,1.00,2020-05-01,1.25,2020-08-15,0.95
TX,1.99,2020-03-18,0.93,2020-05-01,1.52,2020-08-15,0.92
UT,1.55,2020-03-28,0.99,2020-05-16,1.24,2020-08-15,0.97
VA,1.56,2020-04-03,0.92,2020-06-01,1.19,2020-08-15,0.96
VI,2.04,2020-03-20,0.44,2020-06-01,1.18,2020-08-15,0.99
VT,1.37,2020-03-20,0.44,2020-06-01,0.98,2020-08-15,0.92
WA,1.69,2020-03-10,0.88,2020-06-01,1.28,2020-08-15,0.98
WI,2.17,2020-03-13,0.91,2020-05-14,1.20,2020-08-15,0.98
WV,1.54,2020-03-31,0.77,2020-05-04,1.43,2020-08-15,0.99
WY,1.58,2020-03-28,0.72,2020-05-01,1.03,2020-08-15,0.97
