region,initial_r_0,post_mitigation_r,inflection_date
USA,2.26,0.91,2020-03-18
AK,1.92,0.40,2020-03-15
AL,1.96,0.96,2020-03-17
AR,0.93,0.82,2020-03-18
AZ,1.02,1.01,2020-03-17
CA,1.61,0.98,2020-03-23
CO,1.59,0.97,2020-03-17
CT,2.34,0.89,2020-03-23
DC,1.62,0.92,2020-03-30
DE,1.83,0.97,2020-03-25
FL,1.68,0.97,2020-03-20
GA,2.04,0.95,2020-03-17
GU,0.63,0.49,2020-03-20
HI,2.24,0.49,2020-03-17
IA,1.15,0.99,2020-03-19
ID,1.65,0.52,2020-03-21
IL,2.12,1.02,2020-03-19
IN,1.81,0.98,2020-03-21
KS,1.26,0.80,2020-03-27
KY,1.53,0.91,2020-03-17
LA,2.14,0.87,2020-03-15
MA,1.94,0.88,2020-03-29
MD,1.97,0.94,2020-03-27
ME,2.25,0.71,2020-03-17
MI,2.46,0.82,2020-03-18
MN,1.79,0.99,2020-04-01
MO,1.66,0.98,2020-03-19
MP,0.92,0.38,2020-03-20
MS,1.37,1.02,2020-03-19
MT,1.37,0.53,2020-03-27
NC,1.85,0.93,2020-03-26
ND,0.92,0.94,2020-03-28
NE,1.09,0.96,2020-03-20
NH,1.71,1.03,2020-03-22
NJ,2.55,0.93,2020-03-18
NM,1.57,1.01,2020-03-28
NV,1.43,0.87,2020-03-17
NY,3.68,0.85,2020-03-14
OH,1.64,1.00,2020-03-25
OK,1.78,0.78,2020-03-15
OR,1.56,0.83,2020-03-19
PA,2.07,0.93,2020-03-28
PR,2.13,0.77,2020-03-17
RI,1.73,0.97,2020-03-27
SC,1.68,0.97,2020-03-19
SD,0.59,0.98,2020-03-25
TN,1.74,0.84,2020-03-13
TX,1.70,0.98,2020-03-18
UT,1.11,0.97,2020-03-28
VA,1.48,0.95,2020-04-01
VI,1.40,0.37,2020-03-20
VT,1.17,0.54,2020-03-20
WA,1.53,0.87,2020-03-13
WI,2.02,0.87,2020-03-15
WV,1.41,0.74,2020-03-31
WY,1.23,0.73,2020-03-28
