region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.07,2020-07-12
AK,1.91,0.54,2020-03-15,0.94,2020-07-12
AL,1.49,0.98,2020-04-03,1.10,2020-07-12
AR,1.34,1.02,2020-04-04,1.05,2020-07-12
AZ,1.29,1.00,2020-04-13,1.02,2020-07-12
CA,1.71,1.01,2020-03-23,1.06,2020-07-12
CO,1.29,0.89,2020-04-02,1.03,2020-07-12
CT,2.28,0.83,2020-03-24,0.92,2020-07-12
DC,1.67,0.91,2020-03-30,1.03,2020-07-12
DE,1.46,0.87,2020-04-09,1.02,2020-07-12
FL,1.82,0.97,2020-03-20,1.07,2020-07-12
GA,2.09,0.98,2020-03-17,1.10,2020-07-12
GU,0.79,0.45,2020-03-20,0.83,2020-07-12
HI,2.15,0.49,2020-03-17,1.07,2020-07-12
IA,1.32,0.86,2020-04-24,1.02,2020-07-12
ID,2.24,0.67,2020-03-21,1.11,2020-07-12
IL,2.12,0.94,2020-03-24,1.02,2020-07-12
IN,1.57,0.90,2020-04-02,1.06,2020-07-12
KS,1.27,0.84,2020-03-27,1.02,2020-07-12
KY,1.87,0.95,2020-03-17,1.14,2020-07-12
LA,2.10,0.88,2020-03-15,1.10,2020-07-12
MA,1.92,0.90,2020-03-28,0.97,2020-07-12
MD,2.00,0.93,2020-03-28,1.02,2020-07-12
ME,1.67,0.85,2020-03-25,1.07,2020-07-12
MI,1.98,0.84,2020-03-18,1.09,2020-07-12
MN,1.88,0.93,2020-04-02,1.04,2020-07-12
MO,1.89,0.90,2020-03-20,1.06,2020-07-12
MP,1.43,0.43,2020-03-20,0.85,2020-07-12
MS,1.45,0.95,2020-04-10,1.04,2020-07-12
MT,1.27,0.70,2020-03-27,1.14,2020-07-12
NC,2.01,0.98,2020-03-26,1.00,2020-07-12
ND,1.56,0.92,2020-03-28,0.99,2020-07-12
NE,1.98,1.02,2020-03-20,0.94,2020-07-12
NH,1.52,0.87,2020-04-14,0.92,2020-07-12
NJ,2.58,0.89,2020-03-19,1.02,2020-07-12
NM,1.42,0.94,2020-04-08,1.07,2020-07-12
NV,1.88,0.93,2020-03-17,1.17,2020-07-12
NY,3.64,0.82,2020-03-12,0.98,2020-07-12
OH,1.54,0.93,2020-04-03,1.09,2020-07-12
OK,1.82,0.78,2020-03-15,1.02,2020-07-12
OR,1.68,0.92,2020-03-19,1.11,2020-07-12
PA,1.80,0.88,2020-04-03,1.03,2020-07-12
PR,2.28,0.86,2020-03-17,1.08,2020-07-12
RI,1.67,0.88,2020-04-05,0.96,2020-07-12
SC,1.78,1.01,2020-03-19,1.08,2020-07-12
SD,1.20,1.00,2020-03-25,0.95,2020-07-12
TN,2.04,0.98,2020-03-13,1.07,2020-07-12
TX,1.90,0.97,2020-03-18,1.06,2020-07-12
UT,1.49,0.99,2020-03-28,1.06,2020-07-12
VA,1.56,0.93,2020-04-03,1.14,2020-07-12
VI,1.71,0.58,2020-03-20,1.13,2020-07-12
VT,1.36,0.59,2020-03-20,0.99,2020-07-12
WA,1.58,0.87,2020-03-13,1.12,2020-07-12
WI,2.08,0.95,2020-03-14,1.04,2020-07-12
WV,1.52,0.76,2020-03-31,0.98,2020-07-12
WY,1.61,0.74,2020-03-28,0.96,2020-07-12
