region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.02,2020-06-12
AK,2.00,0.40,2020-03-15,0.56,2020-06-12
AL,1.96,0.97,2020-03-17,1.06,2020-06-12
AR,1.47,0.97,2020-03-18,1.09,2020-06-12
AZ,1.27,0.97,2020-04-13,1.06,2020-06-12
CA,1.64,0.99,2020-03-23,1.07,2020-06-12
CO,1.29,0.88,2020-04-02,1.00,2020-06-12
CT,2.36,0.88,2020-03-23,0.95,2020-06-12
DC,1.64,0.90,2020-03-30,0.96,2020-06-12
DE,1.38,0.88,2020-04-09,0.99,2020-06-12
FL,1.75,0.97,2020-03-20,1.06,2020-06-12
GA,2.02,0.97,2020-03-17,1.00,2020-06-12
GU,0.71,0.37,2020-03-20,0.53,2020-06-12
HI,2.19,0.35,2020-03-17,0.51,2020-06-12
IA,1.81,0.99,2020-03-21,0.99,2020-06-12
ID,2.01,0.64,2020-03-21,0.82,2020-06-12
IL,2.22,0.94,2020-03-21,1.02,2020-06-12
IN,1.55,0.89,2020-04-02,0.99,2020-06-12
KS,1.26,0.82,2020-03-27,0.95,2020-06-12
KY,1.80,0.95,2020-03-17,1.05,2020-06-12
LA,2.12,0.88,2020-03-15,0.98,2020-06-12
MA,1.96,0.89,2020-03-29,0.94,2020-06-12
MD,1.99,0.93,2020-03-27,1.02,2020-06-12
ME,1.38,0.81,2020-03-25,0.96,2020-06-12
MI,2.45,0.83,2020-03-18,0.96,2020-06-12
MN,1.79,0.99,2020-04-02,1.03,2020-06-12
MO,1.68,0.97,2020-03-19,1.06,2020-06-12
MP,1.00,0.34,2020-03-20,0.50,2020-06-12
MS,1.41,0.93,2020-04-10,1.01,2020-06-12
MT,1.40,0.51,2020-03-27,0.69,2020-06-12
NC,1.81,0.99,2020-03-26,1.07,2020-06-12
ND,1.15,0.92,2020-03-28,0.96,2020-06-12
NE,1.67,1.00,2020-03-20,1.02,2020-06-12
NH,1.38,0.95,2020-04-12,1.05,2020-06-12
NJ,2.58,0.92,2020-03-18,0.86,2020-06-12
NM,1.38,0.93,2020-04-08,1.03,2020-06-12
NV,1.83,0.92,2020-03-17,1.04,2020-06-12
NY,3.69,0.87,2020-03-14,0.94,2020-06-12
OH,1.49,0.92,2020-04-03,1.03,2020-06-12
OK,1.73,0.79,2020-03-15,0.90,2020-06-12
OR,1.54,0.86,2020-03-19,1.01,2020-06-12
PA,1.85,0.89,2020-04-03,0.98,2020-06-12
PR,2.11,0.81,2020-03-17,0.97,2020-06-12
RI,1.47,0.93,2020-04-05,1.00,2020-06-12
SC,1.65,0.99,2020-03-19,1.07,2020-06-12
SD,0.98,0.99,2020-03-25,1.00,2020-06-12
TN,2.00,0.90,2020-03-14,1.01,2020-06-12
TX,1.73,0.96,2020-03-18,0.99,2020-06-12
UT,1.14,0.99,2020-03-28,1.09,2020-06-12
VA,1.49,0.94,2020-04-01,1.04,2020-06-12
VI,1.59,0.33,2020-03-20,0.48,2020-06-12
VT,1.20,0.55,2020-03-20,0.76,2020-06-12
WA,1.55,0.87,2020-03-13,1.05,2020-06-12
WI,1.96,0.94,2020-03-14,1.05,2020-06-12
WV,1.44,0.76,2020-03-31,0.90,2020-06-12
WY,1.52,0.74,2020-03-28,0.84,2020-06-12
