region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-09-18,0.96
AK,1.97,2020-03-15,0.51,2020-04-24,1.39,2020-09-18,1.01
AL,1.51,2020-04-03,0.97,2020-05-11,1.27,2020-09-18,0.92
AR,1.49,2020-04-04,0.98,2020-05-11,1.31,2020-09-18,0.94
AZ,1.29,2020-04-13,1.00,2020-05-11,1.41,2020-09-18,0.91
CA,1.75,2020-03-22,0.97,2020-06-01,1.29,2020-09-18,0.96
CO,1.21,2020-04-01,0.84,2020-05-15,1.06,2020-09-18,0.98
CT,2.33,2020-03-18,0.79,2020-06-01,1.05,2020-09-18,0.94
DC,1.88,2020-03-27,0.89,2020-06-08,1.09,2020-09-18,0.91
DE,1.55,2020-04-06,0.86,2020-06-01,1.05,2020-09-18,0.95
FL,1.68,2020-03-20,0.93,2020-05-04,1.46,2020-09-18,0.92
GA,2.21,2020-03-16,0.95,2020-04-27,1.36,2020-09-18,0.93
GU,1.38,2020-03-20,0.53,2020-06-01,1.93,2020-09-18,0.91
HI,2.14,2020-03-17,0.58,2020-06-01,1.76,2020-09-18,0.99
IA,1.33,2020-04-23,0.81,2020-05-15,1.24,2020-09-18,0.95
ID,2.14,2020-03-21,0.74,2020-05-16,1.56,2020-09-18,0.94
IL,2.20,2020-03-22,0.93,2020-06-01,1.19,2020-09-18,0.96
IN,1.60,2020-03-30,0.89,2020-05-11,1.14,2020-09-18,0.97
KS,1.42,2020-03-26,0.82,2020-05-04,1.34,2020-09-18,1.00
KY,2.00,2020-03-17,0.91,2020-05-22,1.24,2020-09-18,0.99
LA,2.38,2020-03-12,0.79,2020-05-15,1.36,2020-09-18,0.90
MA,2.27,2020-03-22,0.87,2020-06-06,1.11,2020-09-18,0.93
MD,2.06,2020-03-25,0.91,2020-06-01,1.09,2020-09-18,0.95
ME,1.57,2020-03-25,0.84,2020-06-01,0.99,2020-09-18,1.01
MI,2.05,2020-03-14,0.78,2020-06-08,1.24,2020-09-18,0.98
MN,2.09,2020-04-01,0.91,2020-06-01,1.16,2020-09-18,0.98
MO,1.98,2020-03-19,0.85,2020-05-15,1.27,2020-09-18,1.00
MP,1.38,2020-03-20,0.50,2020-06-01,1.08,2020-09-18,1.03
MS,1.41,2020-04-10,0.92,2020-05-07,1.30,2020-09-18,0.92
MT,1.30,2020-03-27,0.54,2020-05-04,1.55,2020-09-18,1.02
NC,2.20,2020-03-25,0.96,2020-05-08,1.22,2020-09-18,0.97
ND,1.45,2020-03-28,0.88,2020-05-01,1.23,2020-09-18,0.96
NE,2.27,2020-03-23,0.98,2020-05-04,1.12,2020-09-18,0.98
NH,1.45,2020-04-14,0.85,2020-05-18,0.94,2020-09-18,0.97
NJ,2.63,2020-03-14,0.87,2020-06-15,1.06,2020-09-18,0.91
NM,1.42,2020-04-07,0.90,2020-06-01,1.19,2020-09-18,0.99
NV,1.96,2020-03-16,0.91,2020-05-15,1.40,2020-09-18,0.94
NY,3.86,2020-03-11,0.72,2020-06-01,1.21,2020-09-18,0.92
OH,1.60,2020-03-31,0.90,2020-05-21,1.16,2020-09-18,0.99
OK,1.98,2020-03-15,0.77,2020-05-01,1.33,2020-09-18,0.97
OR,1.60,2020-03-19,0.90,2020-05-25,1.37,2020-09-18,1.02
PA,1.88,2020-03-31,0.88,2020-06-05,1.06,2020-09-18,0.97
PR,2.35,2020-03-17,0.83,2020-06-01,1.55,2020-09-18,1.00
RI,1.68,2020-04-03,0.87,2020-05-25,1.07,2020-09-18,0.92
SC,1.97,2020-03-19,0.95,2020-05-11,1.51,2020-09-18,0.96
SD,1.19,2020-03-25,1.01,2020-05-01,1.13,2020-09-18,0.98
TN,2.01,2020-03-13,0.99,2020-05-01,1.27,2020-09-18,0.95
TX,1.96,2020-03-18,0.94,2020-05-01,1.53,2020-09-18,0.94
UT,1.64,2020-03-28,0.99,2020-05-16,1.21,2020-09-18,0.97
VA,1.59,2020-04-03,0.90,2020-06-01,1.27,2020-09-18,0.97
VI,2.01,2020-03-20,0.52,2020-06-01,1.56,2020-09-18,0.95
VT,1.39,2020-03-20,0.44,2020-06-01,0.91,2020-09-18,0.94
WA,1.69,2020-03-10,0.91,2020-06-01,1.17,2020-09-18,1.00
WI,2.19,2020-03-13,0.90,2020-05-14,1.21,2020-09-18,1.06
WV,1.53,2020-03-31,0.81,2020-05-04,1.44,2020-09-18,1.00
WY,1.59,2020-03-28,0.72,2020-05-01,1.13,2020-09-18,1.02
