region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.01,2020-05-26
AK,1.93,0.40,2020-03-15,0.55,2020-05-26
AL,1.96,0.97,2020-03-17,1.08,2020-05-26
AR,1.48,0.91,2020-03-18,1.04,2020-05-26
AZ,1.83,1.03,2020-03-18,1.12,2020-05-26
CA,1.61,0.98,2020-03-23,0.99,2020-05-26
CO,1.60,0.97,2020-03-17,1.08,2020-05-26
CT,2.34,0.89,2020-03-23,0.90,2020-05-26
DC,1.63,0.92,2020-03-30,0.92,2020-05-26
DE,1.82,0.98,2020-03-25,0.99,2020-05-26
FL,1.69,0.97,2020-03-20,1.07,2020-05-26
GA,2.04,0.95,2020-03-17,1.07,2020-05-26
GU,0.63,0.45,2020-03-20,0.46,2020-05-26
HI,2.16,0.43,2020-03-17,0.45,2020-05-26
IA,1.80,0.99,2020-03-21,1.10,2020-05-26
ID,1.87,0.60,2020-03-21,0.77,2020-05-26
IL,2.12,1.02,2020-03-19,1.03,2020-05-26
IN,1.81,0.98,2020-03-21,1.09,2020-05-26
KS,1.28,0.82,2020-03-27,0.98,2020-05-26
KY,1.78,0.93,2020-03-17,1.03,2020-05-26
LA,2.14,0.87,2020-03-15,1.01,2020-05-26
MA,1.94,0.88,2020-03-29,1.01,2020-05-26
MD,1.97,0.94,2020-03-27,1.06,2020-05-26
ME,2.20,0.78,2020-03-17,0.79,2020-05-26
MI,2.47,0.83,2020-03-18,0.84,2020-05-26
MN,1.80,0.99,2020-04-01,1.08,2020-05-26
MO,1.67,0.98,2020-03-19,1.08,2020-05-26
MP,0.92,0.34,2020-03-20,0.35,2020-05-26
MS,1.77,1.02,2020-03-19,1.12,2020-05-26
MT,1.40,0.51,2020-03-27,0.68,2020-05-26
NC,1.85,0.94,2020-03-26,1.03,2020-05-26
ND,1.17,0.94,2020-03-28,1.07,2020-05-26
NE,1.56,1.02,2020-03-20,1.11,2020-05-26
NH,1.73,1.03,2020-03-22,1.12,2020-05-26
NJ,2.55,0.93,2020-03-18,0.93,2020-05-26
NM,1.58,1.01,2020-03-28,1.02,2020-05-26
NV,1.72,0.91,2020-03-17,1.04,2020-05-26
NY,3.69,0.85,2020-03-14,0.86,2020-05-26
OH,1.65,1.00,2020-03-25,1.10,2020-05-26
OK,1.77,0.80,2020-03-15,0.96,2020-05-26
OR,1.57,0.84,2020-03-19,0.85,2020-05-26
PA,2.08,0.93,2020-03-28,0.94,2020-05-26
PR,2.14,0.80,2020-03-17,0.81,2020-05-26
RI,1.74,0.97,2020-03-27,1.04,2020-05-26
SC,1.67,0.98,2020-03-19,1.09,2020-05-26
SD,0.98,0.99,2020-03-25,1.09,2020-05-26
TN,1.74,0.84,2020-03-13,0.99,2020-05-26
TX,1.71,0.99,2020-03-18,1.08,2020-05-26
UT,1.11,0.98,2020-03-28,1.09,2020-05-26
VA,1.48,0.96,2020-04-01,0.97,2020-05-26
VI,1.46,0.33,2020-03-20,0.35,2020-05-26
VT,1.16,0.54,2020-03-20,0.55,2020-05-26
WA,1.53,0.88,2020-03-13,0.89,2020-05-26
WI,2.02,0.87,2020-03-15,1.02,2020-05-26
WV,1.40,0.76,2020-03-31,0.93,2020-05-26
WY,1.21,0.74,2020-03-28,0.95,2020-05-26
