region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.02,2020-06-13
AK,2.00,0.40,2020-03-15,0.56,2020-06-13
AL,1.97,0.97,2020-03-17,1.05,2020-06-13
AR,1.47,0.97,2020-03-18,1.08,2020-06-13
AZ,1.27,0.97,2020-04-13,1.06,2020-06-13
CA,1.63,1.00,2020-03-23,1.07,2020-06-13
CO,1.29,0.88,2020-04-02,1.01,2020-06-13
CT,2.36,0.89,2020-03-23,0.95,2020-06-13
DC,1.64,0.90,2020-03-30,0.96,2020-06-13
DE,1.38,0.89,2020-04-09,1.00,2020-06-13
FL,1.75,0.97,2020-03-20,1.06,2020-06-13
GA,2.03,0.97,2020-03-17,1.02,2020-06-13
GU,0.71,0.37,2020-03-20,0.53,2020-06-13
HI,2.19,0.35,2020-03-17,0.51,2020-06-13
IA,1.81,0.99,2020-03-21,0.98,2020-06-13
ID,2.01,0.64,2020-03-21,0.82,2020-06-13
IL,2.21,0.94,2020-03-21,1.02,2020-06-13
IN,1.55,0.89,2020-04-02,0.99,2020-06-13
KS,1.26,0.82,2020-03-27,0.94,2020-06-13
KY,1.81,0.94,2020-03-17,1.05,2020-06-13
LA,2.12,0.87,2020-03-15,0.98,2020-06-13
MA,1.96,0.89,2020-03-29,0.95,2020-06-13
MD,1.99,0.93,2020-03-27,1.02,2020-06-13
ME,1.39,0.81,2020-03-25,0.96,2020-06-13
MI,2.45,0.83,2020-03-18,0.96,2020-06-13
MN,1.80,0.99,2020-04-02,1.02,2020-06-13
MO,1.69,0.96,2020-03-19,1.05,2020-06-13
MP,1.00,0.34,2020-03-20,0.50,2020-06-13
MS,1.41,0.93,2020-04-10,1.01,2020-06-13
MT,1.40,0.50,2020-03-27,0.68,2020-06-13
NC,1.83,0.98,2020-03-26,1.07,2020-06-13
ND,1.15,0.91,2020-03-28,0.94,2020-06-13
NE,1.70,0.99,2020-03-20,1.01,2020-06-13
NH,1.38,0.95,2020-04-12,1.04,2020-06-13
NJ,2.59,0.93,2020-03-18,0.88,2020-06-13
NM,1.37,0.94,2020-04-08,1.04,2020-06-13
NV,1.83,0.92,2020-03-17,1.03,2020-06-13
NY,3.71,0.85,2020-03-14,0.93,2020-06-13
OH,1.49,0.93,2020-04-03,1.04,2020-06-13
OK,1.73,0.78,2020-03-15,0.89,2020-06-13
OR,1.54,0.86,2020-03-19,1.01,2020-06-13
PA,1.84,0.89,2020-04-03,0.99,2020-06-13
PR,2.12,0.81,2020-03-17,0.97,2020-06-13
RI,1.47,0.92,2020-04-05,1.00,2020-06-13
SC,1.65,0.99,2020-03-19,1.06,2020-06-13
SD,0.98,0.99,2020-03-25,1.00,2020-06-13
TN,2.01,0.90,2020-03-14,1.00,2020-06-13
TX,1.74,0.96,2020-03-18,0.98,2020-06-13
UT,1.15,0.98,2020-03-28,1.08,2020-06-13
VA,1.49,0.94,2020-04-01,1.04,2020-06-13
VI,1.59,0.33,2020-03-20,0.48,2020-06-13
VT,1.20,0.55,2020-03-20,0.76,2020-06-13
WA,1.55,0.87,2020-03-13,1.06,2020-06-13
WI,1.96,0.93,2020-03-14,1.04,2020-06-13
WV,1.44,0.76,2020-03-31,0.89,2020-06-13
WY,1.55,0.73,2020-03-28,0.82,2020-06-13
