region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.28,2020-03-15,0.91,2020-05-10,1.25,2020-08-06,0.96
AK,1.95,2020-03-15,0.48,2020-04-24,1.41,2020-08-06,1.00
AL,1.49,2020-04-03,0.97,2020-05-11,1.30,2020-08-06,0.93
AR,1.54,2020-04-04,0.99,2020-05-11,1.27,2020-08-06,0.97
AZ,1.22,2020-04-13,1.00,2020-05-11,1.39,2020-08-06,0.90
CA,1.72,2020-03-22,0.97,2020-06-01,1.28,2020-08-06,0.96
CO,1.19,2020-04-02,0.82,2020-05-15,1.19,2020-08-06,0.98
CT,2.33,2020-03-18,0.82,2020-06-01,1.01,2020-08-06,0.90
DC,1.86,2020-03-27,0.89,2020-06-08,1.13,2020-08-06,0.93
DE,1.53,2020-04-06,0.83,2020-06-01,1.09,2020-08-06,0.94
FL,1.74,2020-03-20,0.94,2020-05-04,1.46,2020-08-06,0.91
GA,2.22,2020-03-16,0.96,2020-04-27,1.32,2020-08-06,0.94
GU,1.24,2020-03-20,0.43,2020-06-01,1.15,2020-08-06,1.01
HI,2.17,2020-03-17,0.45,2020-06-01,1.46,2020-08-06,1.03
IA,1.32,2020-04-24,0.79,2020-05-15,1.23,2020-08-06,0.97
ID,2.15,2020-03-21,0.73,2020-05-16,1.58,2020-08-06,0.96
IL,2.15,2020-03-22,0.94,2020-06-01,1.19,2020-08-06,0.99
IN,1.56,2020-03-30,0.88,2020-05-11,1.20,2020-08-06,0.97
KS,1.47,2020-03-25,0.81,2020-05-04,1.32,2020-08-06,0.98
KY,1.99,2020-03-17,0.93,2020-05-22,1.21,2020-08-06,0.98
LA,2.44,2020-03-13,0.80,2020-05-15,1.41,2020-08-06,0.91
MA,2.23,2020-03-23,0.87,2020-06-06,1.15,2020-08-06,0.96
MD,1.95,2020-03-25,0.90,2020-06-01,1.21,2020-08-06,0.98
ME,1.57,2020-03-25,0.76,2020-06-01,1.19,2020-08-06,1.02
MI,2.04,2020-03-14,0.80,2020-06-08,1.20,2020-08-06,0.97
MN,2.06,2020-04-01,0.92,2020-06-01,1.12,2020-08-06,0.96
MO,1.97,2020-03-19,0.85,2020-05-15,1.30,2020-08-06,0.99
MP,1.33,2020-03-20,0.49,2020-06-01,1.12,2020-08-06,1.02
MS,1.43,2020-04-10,0.94,2020-05-07,1.39,2020-08-06,0.90
MT,1.29,2020-03-27,0.51,2020-05-04,1.54,2020-08-06,1.00
NC,2.21,2020-03-25,0.95,2020-05-08,1.22,2020-08-06,0.97
ND,1.34,2020-03-28,0.84,2020-05-01,1.22,2020-08-06,0.98
NE,2.26,2020-03-23,0.99,2020-05-04,1.07,2020-08-06,0.96
NH,1.40,2020-04-14,0.85,2020-05-18,1.03,2020-08-06,0.95
NJ,2.67,2020-03-14,0.88,2020-06-15,1.12,2020-08-06,0.92
NM,1.39,2020-04-08,0.89,2020-06-01,1.19,2020-08-06,0.97
NV,2.00,2020-03-16,0.89,2020-05-15,1.43,2020-08-06,0.95
NY,3.85,2020-03-11,0.77,2020-06-01,1.06,2020-08-06,0.88
OH,1.57,2020-03-31,0.89,2020-05-21,1.20,2020-08-06,0.98
OK,1.99,2020-03-15,0.75,2020-05-01,1.41,2020-08-06,0.99
OR,1.62,2020-03-19,0.90,2020-05-25,1.33,2020-08-06,1.00
PA,1.84,2020-03-31,0.87,2020-06-05,1.09,2020-08-06,0.96
PR,2.38,2020-03-17,0.80,2020-06-01,1.50,2020-08-06,0.99
RI,1.62,2020-04-04,0.88,2020-05-25,1.09,2020-08-06,0.95
SC,1.96,2020-03-19,0.94,2020-05-11,1.48,2020-08-06,0.93
SD,1.21,2020-03-25,0.98,2020-05-01,1.14,2020-08-06,0.96
TN,2.03,2020-03-13,0.99,2020-05-01,1.28,2020-08-06,0.97
TX,1.99,2020-03-18,0.95,2020-05-01,1.50,2020-08-06,0.93
UT,1.54,2020-03-28,0.99,2020-05-16,1.24,2020-08-06,0.98
VA,1.54,2020-04-03,0.92,2020-06-01,1.27,2020-08-06,1.00
VI,2.03,2020-03-20,0.45,2020-06-01,1.32,2020-08-06,1.00
VT,1.38,2020-03-20,0.44,2020-06-01,1.03,2020-08-06,0.96
WA,1.70,2020-03-10,0.88,2020-06-01,1.28,2020-08-06,0.99
WI,2.17,2020-03-13,0.91,2020-05-14,1.22,2020-08-06,0.99
WV,1.59,2020-03-31,0.74,2020-05-04,1.36,2020-08-06,1.01
WY,1.57,2020-03-28,0.71,2020-05-01,0.98,2020-08-06,0.95
