region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.03,2020-06-10
AK,2.08,0.37,2020-03-15,0.50,2020-06-10
AL,1.97,0.97,2020-03-17,1.08,2020-06-10
AR,1.48,0.97,2020-03-18,1.08,2020-06-10
AZ,1.27,0.96,2020-04-13,1.07,2020-06-10
CA,1.63,0.99,2020-03-23,1.08,2020-06-10
CO,1.29,0.88,2020-04-02,1.02,2020-06-10
CT,2.36,0.88,2020-03-23,1.02,2020-06-10
DC,1.65,0.90,2020-03-30,0.99,2020-06-10
DE,1.36,0.90,2020-04-09,1.03,2020-06-10
FL,1.75,0.97,2020-03-20,1.07,2020-06-10
GA,2.03,0.97,2020-03-17,1.02,2020-06-10
GU,0.63,0.40,2020-03-20,0.54,2020-06-10
HI,2.16,0.34,2020-03-17,0.47,2020-06-10
IA,1.81,0.99,2020-03-21,1.02,2020-06-10
ID,2.02,0.63,2020-03-21,0.81,2020-06-10
IL,2.21,0.94,2020-03-21,1.05,2020-06-10
IN,1.86,0.92,2020-03-23,1.05,2020-06-10
KS,1.26,0.82,2020-03-27,0.96,2020-06-10
KY,1.80,0.95,2020-03-17,1.06,2020-06-10
LA,2.12,0.88,2020-03-15,1.02,2020-06-10
MA,1.96,0.89,2020-03-29,1.00,2020-06-10
MD,1.97,0.95,2020-03-27,1.06,2020-06-10
ME,1.36,0.81,2020-03-25,0.96,2020-06-10
MI,2.44,0.83,2020-03-18,0.99,2020-06-10
MN,1.78,1.02,2020-04-01,1.06,2020-06-10
MO,1.69,0.96,2020-03-19,1.06,2020-06-10
MP,0.93,0.33,2020-03-20,0.46,2020-06-10
MS,1.41,0.94,2020-04-10,1.05,2020-06-10
MT,1.41,0.52,2020-03-27,0.69,2020-06-10
NC,1.80,0.99,2020-03-26,1.08,2020-06-10
ND,1.15,0.93,2020-03-28,0.98,2020-06-10
NE,1.75,0.96,2020-03-20,1.00,2020-06-10
NH,1.39,0.95,2020-04-12,1.06,2020-06-10
NJ,2.58,0.92,2020-03-18,0.94,2020-06-10
NM,1.61,0.97,2020-03-28,1.07,2020-06-10
NV,1.83,0.91,2020-03-17,1.04,2020-06-10
NY,3.70,0.85,2020-03-14,1.01,2020-06-10
OH,1.69,0.97,2020-03-25,1.07,2020-06-10
OK,1.74,0.79,2020-03-15,0.91,2020-06-10
OR,1.55,0.86,2020-03-19,1.00,2020-06-10
PA,2.10,0.90,2020-03-28,1.01,2020-06-10
PR,2.13,0.81,2020-03-17,0.96,2020-06-10
RI,1.47,0.92,2020-04-05,1.05,2020-06-10
SC,1.65,0.99,2020-03-19,1.08,2020-06-10
SD,0.98,0.98,2020-03-25,1.02,2020-06-10
TN,2.00,0.91,2020-03-14,1.03,2020-06-10
TX,1.72,0.96,2020-03-18,1.01,2020-06-10
UT,1.17,0.97,2020-03-28,1.07,2020-06-10
VA,1.48,0.95,2020-03-31,1.06,2020-06-10
VI,1.58,0.32,2020-03-20,0.45,2020-06-10
VT,1.15,0.53,2020-03-20,0.70,2020-06-10
WA,1.55,0.86,2020-03-13,1.06,2020-06-10
WI,1.96,0.94,2020-03-14,1.06,2020-06-10
WV,1.46,0.75,2020-03-31,0.90,2020-06-10
WY,1.49,0.76,2020-03-28,0.86,2020-06-10
