country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.83,2020-06-14,1.12,2020-07-22,0.99
Argentina,1.41,2020-03-17,1.13,2020-06-28,1.11,2020-07-22,1.08
Australia,1.42,2020-03-23,0.64,2020-06-01,1.41,2020-07-22,1.09
Austria,1.96,2020-03-13,0.67,2020-05-25,1.07,2020-07-22,1.00
Bangladesh,1.83,2020-03-27,1.10,2020-05-15,0.98,2020-07-22,0.96
Belarus,1.35,2020-04-06,1.01,2021-01-01,1.00,2020-07-22,1.01
Belgium,2.84,2020-03-16,0.74,2020-05-25,1.05,2020-07-22,0.99
Bolivia,1.61,2020-04-05,1.09,2020-06-01,1.14,2020-07-22,0.97
Brazil,1.55,2020-04-18,1.04,2020-06-15,1.10,2020-07-22,1.00
Bulgaria,1.61,2020-03-11,1.03,2020-05-25,1.18,2020-07-22,0.99
Canada,1.98,2020-03-28,0.85,2020-05-25,0.96,2020-07-22,0.95
Chile,1.43,2020-05-20,0.91,2020-07-15,1.13,2020-07-22,0.89
China,3.22,2020-01-20,0.63,2020-04-08,1.00,2020-07-22,0.96
Colombia,2.42,2020-03-19,1.18,2020-06-01,1.13,2020-07-22,0.98
Croatia,1.43,2020-03-20,0.78,2020-05-25,1.29,2020-07-22,1.08
Cuba,1.29,2020-04-08,0.67,2020-06-01,0.93,2020-07-22,0.93
Cyprus,1.54,2020-03-12,0.45,2020-05-25,0.98,2020-07-22,0.95
Czechia,2.26,2020-03-14,0.52,2020-05-25,1.27,2020-07-22,1.08
Denmark,2.30,2020-03-10,0.69,2020-05-25,1.08,2020-07-22,1.00
Dominican Republic,2.58,2020-03-15,0.90,2020-06-01,1.11,2020-07-22,0.98
Ecuador,1.69,2020-04-11,0.86,2020-06-01,1.04,2020-07-22,0.94
Egypt,1.85,2020-03-20,1.08,2020-06-15,0.97,2020-07-22,0.95
Estonia,2.28,2020-03-11,0.42,2020-05-25,0.89,2020-07-22,0.88
Finland,1.74,2020-03-27,0.67,2020-05-25,1.06,2020-07-22,0.99
France,1.73,2020-03-16,0.78,2020-05-25,1.06,2020-07-22,0.94
Germany,2.38,2020-03-16,0.78,2020-05-15,0.97,2020-07-22,0.92
Greece,1.64,2020-03-08,0.65,2020-05-25,1.01,2020-07-22,0.98
Honduras,1.47,2020-04-06,1.00,2020-06-01,1.21,2020-07-22,0.98
Hungary,1.94,2020-03-24,0.81,2020-05-25,1.07,2020-07-22,1.00
Iceland,1.38,2020-03-21,0.45,2020-05-15,1.01,2020-07-22,0.94
India,1.48,2020-04-20,1.11,2020-05-15,1.11,2020-07-22,1.10
Indonesia,1.74,2020-03-15,1.02,2020-06-15,1.19,2020-07-22,1.04
Iran,2.54,2020-02-25,0.89,2020-04-20,1.25,2020-07-22,0.94
Ireland,1.71,2020-03-29,0.70,2020-05-25,1.06,2020-07-22,0.96
Israel,2.93,2020-03-18,0.73,2020-05-15,1.50,2020-07-22,0.99
Italy,2.72,2020-02-29,0.87,2020-05-25,1.00,2020-07-22,0.93
Japan,1.32,2020-04-01,0.79,2020-06-01,1.13,2020-07-22,1.03
Kuwait,2.17,2020-04-16,0.85,2020-06-30,1.13,2020-07-22,1.09
Latvia,1.41,2020-03-30,0.50,2020-05-25,0.92,2020-07-22,0.91
Lithuania,1.95,2020-03-12,0.79,2020-05-25,1.00,2020-07-22,0.97
Luxembourg,1.80,2020-03-18,0.59,2020-05-25,1.33,2020-07-22,1.08
Malaysia,2.20,2020-03-08,0.61,2020-05-15,0.86,2020-07-22,0.87
Malta,1.69,2020-03-20,0.64,2020-05-25,1.02,2020-07-22,0.99
Mexico,2.38,2020-04-01,1.06,2020-06-01,1.07,2020-07-22,0.99
Moldova,1.79,2020-03-17,1.04,2020-05-15,1.16,2020-07-22,0.97
Morocco,2.36,2020-03-13,0.70,2020-06-01,1.38,2020-07-22,1.00
Netherlands,2.66,2020-03-10,0.80,2020-05-25,0.96,2020-07-22,0.93
Nigeria,1.63,2020-04-13,0.96,2020-05-15,0.97,2020-07-22,0.96
Norway,1.74,2020-03-17,0.58,2020-05-15,0.93,2020-07-22,0.91
Pakistan,1.40,2020-05-14,0.89,2020-05-20,0.90,2020-07-22,0.91
Panama,1.60,2020-03-19,0.99,2020-05-15,1.27,2020-07-22,0.95
Peru,2.21,2020-04-02,1.04,2020-06-01,1.07,2020-07-22,0.97
Philippines,1.17,2020-03-15,0.95,2020-06-01,1.19,2020-07-22,1.07
Poland,1.62,2020-03-19,0.96,2020-05-25,0.98,2020-07-22,0.97
Portugal,2.24,2020-03-11,0.81,2020-05-25,1.12,2020-07-22,0.98
Romania,1.83,2020-03-15,0.85,2020-05-25,1.25,2020-07-22,0.98
Russia,1.65,2020-04-19,0.94,2020-05-15,1.00,2020-07-22,0.96
Saudi Arabia,2.64,2020-03-25,1.09,2020-06-21,1.06,2020-07-22,0.95
Serbia,1.55,2020-03-24,0.80,2020-05-15,1.45,2020-07-22,0.98
Slovakia,1.57,2020-03-28,0.52,2020-05-25,1.05,2020-07-22,0.99
Slovenia,1.72,2020-03-20,0.66,2020-05-25,1.08,2020-07-22,1.01
South Africa,2.51,2020-03-28,1.12,2020-06-01,1.13,2020-07-22,1.09
South Korea,2.22,2020-02-22,0.83,2020-05-06,1.10,2020-07-22,0.99
Spain,3.39,2020-03-05,0.79,2020-05-25,1.05,2020-07-22,0.93
Sweden,2.13,2020-03-17,0.94,2021-01-01,1.00,2020-07-22,0.88
Switzerland,2.31,2020-03-10,0.70,2020-05-25,1.06,2020-07-22,0.97
Turkey,2.62,2020-03-21,0.76,2020-06-01,0.98,2020-07-22,0.95
Ukraine,1.78,2020-03-23,0.99,2020-05-15,1.17,2020-07-22,0.98
United Arab Emirates,1.91,2020-04-04,0.80,2020-06-01,1.05,2020-07-22,1.02
United Kingdom,2.82,2020-03-13,0.90,2020-06-01,1.02,2020-07-22,0.95
United States,2.30,2020-03-17,0.92,2020-05-10,1.23,2020-07-22,0.98
