country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.30,0.75,2020-03-14,0.92,2020-05-25
Argentina,1.22,1.06,2020-03-18,1.06,2020-05-25
Austria,1.89,0.70,2020-03-14,0.87,2020-05-25
Bangladesh,1.28,1.12,2020-03-28,1.17,2020-05-25
Belgium,2.58,0.82,2020-03-18,0.98,2020-05-25
Brazil,1.41,1.06,2020-04-19,1.06,2020-05-25
Bulgaria,0.92,1.00,2020-03-11,1.10,2020-05-25
Canada,1.88,0.90,2020-03-28,0.91,2020-05-25
Chile,1.68,1.13,2020-03-21,1.18,2020-05-25
China,2.67,0.64,2020-01-21,0.75,2020-05-25
Colombia,2.03,1.08,2020-03-19,1.15,2020-05-25
Croatia,1.42,0.81,2020-03-20,0.97,2020-05-25
Cyprus,1.08,0.37,2020-03-12,0.51,2020-05-25
Czechia,2.11,0.59,2020-03-14,0.76,2020-05-25
Denmark,2.10,0.76,2020-03-11,0.92,2020-05-25
Dominican Republic,2.29,0.85,2020-03-14,1.00,2020-05-25
Ecuador,1.48,0.91,2020-04-13,0.91,2020-05-25
Egypt,1.44,1.04,2020-03-20,1.04,2020-05-25
Estonia,2.28,0.42,2020-03-11,0.57,2020-05-25
Finland,1.97,0.79,2020-03-25,0.95,2020-05-25
France,1.69,0.81,2020-03-18,0.96,2020-05-25
Germany,2.18,0.82,2020-03-17,0.98,2020-05-25
Greece,1.67,0.70,2020-03-08,0.87,2020-05-25
Hungary,1.85,0.85,2020-03-25,1.00,2020-05-25
Iceland,1.50,0.34,2020-03-21,0.48,2020-05-25
India,1.29,1.06,2020-04-20,1.13,2020-05-25
Indonesia,1.42,0.98,2020-03-15,0.98,2020-05-25
Iran,2.38,0.89,2020-02-25,1.01,2020-05-25
Ireland,1.61,0.74,2020-03-31,0.91,2020-05-25
Israel,2.34,0.67,2020-03-17,0.84,2020-05-25
Italy,2.53,0.91,2020-03-01,1.04,2020-05-25
Japan,1.26,0.83,2020-03-29,0.84,2020-05-25
Latvia,1.51,0.38,2020-03-12,0.53,2020-05-25
Lithuania,1.34,0.66,2020-03-12,0.83,2020-05-25
Luxembourg,1.35,0.63,2020-03-18,0.80,2020-05-25
Malaysia,0.95,0.43,2020-03-19,0.58,2020-05-25
Malta,1.59,0.35,2020-03-07,0.49,2020-05-25
Mexico,1.92,1.14,2020-04-01,1.15,2020-05-25
Moldova,1.29,1.02,2020-03-19,1.11,2020-05-25
Morocco,1.66,0.65,2020-03-15,0.66,2020-05-25
Netherlands,2.46,0.87,2020-03-10,1.01,2020-05-25
Nigeria,1.26,0.94,2020-04-15,1.06,2020-05-25
Norway,1.75,0.65,2020-03-17,0.82,2020-05-25
Pakistan,1.50,1.03,2020-04-09,1.11,2020-05-25
Panama,1.33,0.92,2020-03-19,1.04,2020-05-25
Peru,1.69,1.08,2020-04-06,1.08,2020-05-25
Philippines,1.60,0.90,2020-03-15,0.90,2020-05-25
Poland,1.70,0.92,2020-03-20,1.05,2020-05-25
Portugal,2.30,0.82,2020-03-12,0.97,2020-05-25
Romania,1.79,0.88,2020-03-15,1.02,2020-05-25
Russia,1.45,0.99,2020-04-17,1.09,2020-05-25
Saudi Arabia,1.58,1.05,2020-03-19,1.13,2020-05-25
Serbia,1.23,0.77,2020-03-24,0.93,2020-05-25
Slovakia,2.08,0.53,2020-03-28,0.70,2020-05-25
Slovenia,1.47,0.66,2020-03-20,0.83,2020-05-25
South Africa,1.51,1.18,2020-03-26,1.18,2020-05-25
South Korea,1.84,0.83,2020-02-22,0.94,2020-05-25
Spain,3.26,0.85,2020-03-05,1.00,2020-05-25
Sweden,1.88,0.92,2020-03-20,0.92,2020-05-25
Switzerland,2.12,0.78,2020-03-12,0.94,2020-05-25
Turkey,1.79,0.77,2020-03-23,0.78,2020-05-25
Ukraine,1.49,1.03,2020-03-24,1.11,2020-05-25
United Kingdom,2.46,0.91,2020-03-15,1.04,2020-05-25
