region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-10-04,1.05
AK,1.99,2020-03-15,0.53,2020-04-24,1.37,2020-10-04,1.13
AL,1.53,2020-04-02,0.97,2020-05-11,1.27,2020-10-04,0.99
AR,1.43,2020-04-04,0.97,2020-05-11,1.30,2020-10-04,1.04
AZ,1.29,2020-04-13,0.99,2020-05-11,1.41,2020-10-04,0.95
CA,1.69,2020-03-21,0.97,2020-06-01,1.28,2020-10-04,0.92
CO,1.21,2020-04-02,0.83,2020-05-15,1.10,2020-10-04,1.04
CT,2.21,2020-03-18,0.79,2020-06-01,1.01,2020-10-04,1.05
DC,1.78,2020-03-27,0.86,2020-06-08,1.10,2020-10-04,1.01
DE,1.48,2020-04-07,0.87,2020-06-01,1.14,2020-10-04,1.00
FL,1.65,2020-03-19,0.93,2020-05-04,1.43,2020-10-04,1.01
GA,2.20,2020-03-16,0.91,2020-04-27,1.44,2020-10-04,0.91
GU,1.36,2020-03-20,0.53,2020-06-01,1.94,2020-10-04,0.94
HI,2.16,2020-03-17,0.57,2020-06-01,1.83,2020-10-04,0.97
IA,1.37,2020-04-23,0.80,2020-05-15,1.28,2020-10-04,1.02
ID,2.17,2020-03-21,0.74,2020-05-16,1.57,2020-10-04,1.01
IL,2.20,2020-03-23,0.92,2020-06-01,1.24,2020-10-04,1.01
IN,1.59,2020-03-31,0.88,2020-05-11,1.21,2020-10-04,1.06
KS,1.42,2020-03-26,0.82,2020-05-04,1.30,2020-10-04,1.03
KY,2.00,2020-03-17,0.92,2020-05-22,1.24,2020-10-04,1.02
LA,2.40,2020-03-11,0.79,2020-05-15,1.41,2020-10-04,0.95
MA,2.28,2020-03-22,0.86,2020-06-06,1.18,2020-10-04,1.03
MD,2.06,2020-03-25,0.91,2020-06-01,1.15,2020-10-04,1.00
ME,1.58,2020-03-25,0.87,2020-06-01,0.93,2020-10-04,1.08
MI,2.07,2020-03-15,0.78,2020-06-08,1.29,2020-10-04,1.01
MN,2.09,2020-04-01,0.91,2020-06-01,1.19,2020-10-04,1.06
MO,2.04,2020-03-19,0.86,2020-05-15,1.34,2020-10-04,1.09
MP,1.38,2020-03-20,0.50,2020-06-01,1.05,2020-10-04,1.09
MS,1.39,2020-04-10,0.92,2020-05-07,1.28,2020-10-04,0.93
MT,1.32,2020-03-27,0.55,2020-05-04,1.54,2020-10-04,1.11
NC,2.20,2020-03-25,0.95,2020-05-08,1.22,2020-10-04,1.00
ND,1.46,2020-03-28,0.84,2020-05-01,1.30,2020-10-04,1.00
NE,2.27,2020-03-23,0.98,2020-05-04,1.14,2020-10-04,1.08
NH,1.47,2020-04-14,0.85,2020-05-18,0.91,2020-10-04,1.03
NJ,2.62,2020-03-14,0.87,2020-06-15,1.07,2020-10-04,1.04
NM,1.40,2020-04-07,0.88,2020-06-01,1.22,2020-10-04,0.99
NV,1.97,2020-03-16,0.91,2020-05-15,1.39,2020-10-04,0.96
NY,3.86,2020-03-11,0.71,2020-06-01,1.21,2020-10-04,1.09
OH,1.56,2020-03-31,0.89,2020-05-21,1.16,2020-10-04,1.03
OK,1.99,2020-03-15,0.78,2020-05-01,1.38,2020-10-04,1.06
OR,1.60,2020-03-19,0.90,2020-05-25,1.38,2020-10-04,1.02
PA,1.90,2020-03-31,0.85,2020-06-05,1.19,2020-10-04,1.07
PR,2.38,2020-03-17,0.83,2020-06-01,1.55,2020-10-04,1.00
RI,1.64,2020-04-03,0.86,2020-05-25,1.16,2020-10-04,0.97
SC,1.99,2020-03-19,0.96,2020-05-11,1.50,2020-10-04,0.98
SD,1.22,2020-03-25,0.99,2020-05-01,1.25,2020-10-04,1.03
TN,2.01,2020-03-13,0.99,2020-05-01,1.28,2020-10-04,0.98
TX,1.97,2020-03-18,0.94,2020-05-01,1.53,2020-10-04,0.98
UT,1.66,2020-03-28,0.99,2020-05-16,1.14,2020-10-04,1.04
VA,1.57,2020-04-03,0.91,2020-06-01,1.24,2020-10-04,0.99
VI,2.00,2020-03-20,0.55,2020-06-01,1.61,2020-10-04,0.82
VT,1.73,2020-03-20,0.63,2020-06-01,0.77,2020-10-04,0.80
WA,1.70,2020-03-10,0.91,2020-06-01,1.17,2020-10-04,1.00
WI,2.19,2020-03-13,0.90,2020-05-14,1.05,2020-10-04,1.08
WV,1.46,2020-03-31,0.77,2020-05-04,1.47,2020-10-04,1.02
WY,1.60,2020-03-28,0.74,2020-05-01,1.07,2020-10-04,1.12
