country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.45,0.77,2020-03-14,0.98,2020-06-20
Argentina,1.23,1.11,2020-03-16,1.10,2020-06-20
Australia,1.21,0.72,2020-03-23,0.90,2020-06-20
Austria,1.83,0.71,2020-03-15,0.90,2020-06-20
Bangladesh,1.45,1.12,2020-03-28,1.12,2020-06-20
Belarus,1.21,0.99,2020-04-06,0.99,2020-06-20
Belgium,2.69,0.82,2020-03-18,0.88,2020-06-20
Bolivia,1.27,1.12,2020-04-05,1.11,2020-06-20
Brazil,1.46,1.04,2020-04-20,0.99,2020-06-20
Bulgaria,1.48,1.03,2020-03-11,1.10,2020-06-20
Canada,1.93,0.90,2020-03-28,0.99,2020-06-20
Chile,1.99,1.19,2020-03-23,1.08,2020-06-20
China,2.94,0.66,2020-01-20,0.78,2020-06-20
Colombia,2.05,1.14,2020-03-18,1.13,2020-06-20
Croatia,1.51,0.72,2020-03-20,0.92,2020-06-20
Cuba,1.16,0.66,2020-04-08,0.82,2020-06-20
Cyprus,1.26,0.36,2020-03-12,0.51,2020-06-20
Czechia,2.20,0.57,2020-03-14,0.76,2020-06-20
Denmark,2.16,0.74,2020-03-11,0.94,2020-06-20
Dominican Republic,2.47,0.87,2020-03-14,1.02,2020-06-20
Ecuador,1.56,0.88,2020-04-12,0.94,2020-06-20
Egypt,1.56,1.09,2020-03-20,1.08,2020-06-20
Estonia,2.36,0.34,2020-03-11,0.48,2020-06-20
Finland,1.78,0.71,2020-03-28,0.91,2020-06-20
France,1.72,0.82,2020-03-18,0.90,2020-06-20
Germany,2.18,0.81,2020-03-18,1.00,2020-06-20
Greece,1.53,0.71,2020-03-08,0.91,2020-06-20
Honduras,1.12,1.02,2020-04-06,1.06,2020-06-20
Hungary,1.86,0.85,2020-03-25,1.02,2020-06-20
Iceland,1.22,0.36,2020-03-21,0.52,2020-06-20
India,1.29,1.16,2020-04-20,1.16,2020-06-20
Indonesia,1.53,1.03,2020-03-15,1.04,2020-06-20
Iran,2.41,0.88,2020-02-25,1.01,2020-06-20
Ireland,1.63,0.72,2020-03-31,0.89,2020-06-20
Israel,2.52,0.74,2020-03-17,0.96,2020-06-20
Italy,2.68,0.93,2020-03-01,0.95,2020-06-20
Japan,1.27,0.83,2020-04-01,0.97,2020-06-20
Kuwait,1.62,0.89,2020-04-17,0.89,2020-06-20
Latvia,1.11,0.44,2020-03-30,0.62,2020-06-20
Lithuania,1.78,0.80,2020-03-12,0.99,2020-06-20
Luxembourg,1.84,0.66,2020-03-18,0.85,2020-06-20
Malaysia,2.12,0.51,2020-03-07,0.72,2020-06-20
Malta,1.54,0.57,2020-03-20,0.78,2020-06-20
Mexico,2.11,1.09,2020-04-01,1.07,2020-06-20
Moldova,1.45,1.05,2020-03-17,1.08,2020-06-20
Morocco,2.08,0.66,2020-03-13,0.81,2020-06-20
Netherlands,2.46,0.82,2020-03-12,0.95,2020-06-20
Nigeria,1.28,1.02,2020-04-13,1.09,2020-06-20
Norway,1.72,0.62,2020-03-17,0.83,2020-06-20
Pakistan,1.47,1.16,2020-04-08,1.14,2020-06-20
Panama,1.41,0.97,2020-03-19,1.06,2020-06-20
Peru,1.87,1.07,2020-04-03,1.04,2020-06-20
Philippines,1.11,0.96,2020-03-15,1.05,2020-06-20
Poland,1.54,0.98,2020-03-20,1.08,2020-06-20
Portugal,2.17,0.81,2020-03-11,0.98,2020-06-20
Romania,1.77,0.88,2020-03-15,1.03,2020-06-20
Russia,1.47,0.99,2020-04-20,1.03,2020-06-20
Saudi Arabia,2.14,1.10,2020-03-20,1.11,2020-06-20
Serbia,1.46,0.72,2020-03-24,0.95,2020-06-20
Slovakia,1.72,0.52,2020-03-28,0.70,2020-06-20
Slovenia,1.75,0.67,2020-03-20,0.86,2020-06-20
South Africa,2.12,1.14,2020-03-26,1.13,2020-06-20
South Korea,1.89,0.85,2020-02-22,1.01,2020-06-20
Spain,3.24,0.84,2020-03-06,0.93,2020-06-20
Sweden,1.92,0.93,2020-03-20,0.91,2020-06-20
Switzerland,2.11,0.75,2020-03-13,0.92,2020-06-20
Turkey,2.16,0.76,2020-03-21,0.91,2020-06-20
Ukraine,1.53,1.03,2020-03-23,1.08,2020-06-20
United Arab Emirates,1.47,0.80,2020-04-06,0.94,2020-06-20
United Kingdom,2.62,0.93,2020-03-15,0.86,2020-06-20
United States,2.27,0.92,2020-03-18,1.04,2020-06-20
