combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.79,0.87,2020-03-22,0.99,2020-07-19
Canada-British Columbia,1.18,0.84,2020-03-23,0.94,2020-07-19
Canada-Ontario,1.71,0.86,2020-03-30,0.97,2020-07-19
Canada-Quebec,1.97,0.88,2020-03-30,0.97,2020-07-19
US-AZ-Maricopa,1.36,0.98,2020-03-21,0.94,2020-07-19
US-CA-Alameda,1.33,0.85,2020-03-23,1.15,2020-07-19
US-CA-Los Angeles,2.38,1.03,2020-03-13,1.02,2020-07-19
US-CA-Orange,1.45,1.04,2020-03-24,1.05,2020-07-19
US-CA-Riverside,1.56,0.99,2020-03-22,1.05,2020-07-19
US-CA-Sacramento,1.21,0.82,2020-03-24,1.12,2020-07-19
US-CA-San Bernardino,1.46,0.93,2020-03-23,1.06,2020-07-19
US-CA-San Diego,1.41,0.97,2020-03-22,1.12,2020-07-19
US-CA-Santa Clara,1.42,0.79,2020-03-09,1.11,2020-07-19
US-FL-Broward,1.43,0.89,2020-03-21,1.10,2020-07-19
US-FL-Hillsborough,1.41,1.05,2020-03-24,1.00,2020-07-19
US-FL-Miami-Dade,2.80,0.91,2020-03-14,1.08,2020-07-19
US-FL-Orange,1.38,0.93,2020-03-23,1.11,2020-07-19
US-FL-Palm Beach,1.79,0.95,2020-03-10,1.08,2020-07-19
US-IL-Cook,2.61,0.94,2020-03-20,1.00,2020-07-19
US-LA-Orleans,1.69,0.71,2020-03-12,0.94,2020-07-19
US-MA-Middlesex,2.14,0.85,2020-03-30,1.07,2020-07-19
US-MA-Suffolk,1.74,0.81,2020-03-31,1.02,2020-07-19
US-MI-Wayne,2.70,0.85,2020-03-10,1.05,2020-07-19
US-NJ-Bergen,2.69,0.87,2020-03-09,1.05,2020-07-19
US-NJ-Essex,3.75,0.84,2020-03-12,1.02,2020-07-19
US-NJ-Hudson,1.82,0.82,2020-03-24,1.00,2020-07-19
US-NV-Clark,1.55,0.89,2020-03-13,1.12,2020-07-19
US-NV-Washoe,2.79,0.92,2020-03-17,1.03,2020-07-19
US-NY-Nassau,3.98,0.78,2020-03-12,0.95,2020-07-19
US-NY-New York City,5.26,0.78,2020-03-08,0.99,2020-07-19
US-NY-Suffolk,3.34,0.84,2020-03-13,1.01,2020-07-19
US-NY-Westchester,4.42,0.73,2020-03-16,0.92,2020-07-19
US-PA-Philadelphia,3.78,0.91,2020-03-15,1.05,2020-07-19
US-TX-Bexar,1.38,0.94,2020-03-24,0.98,2020-07-19
US-TX-Dallas,1.69,0.99,2020-03-21,0.98,2020-07-19
US-TX-Harris,1.63,0.95,2020-03-22,0.99,2020-07-19
US-TX-Tarrant,1.58,0.96,2020-03-23,0.98,2020-07-19
US-WA-King,1.86,0.89,2020-03-06,1.03,2020-07-19
