country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.45,0.81,2020-03-13,1.08,2020-06-19
Argentina,1.23,1.11,2020-03-16,1.10,2020-06-19
Australia,1.21,0.72,2020-03-23,0.86,2020-06-19
Austria,1.80,0.72,2020-03-15,0.91,2020-06-19
Bangladesh,1.45,1.13,2020-03-28,1.12,2020-06-19
Belarus,1.20,0.99,2020-04-06,0.99,2020-06-19
Belgium,2.67,0.83,2020-03-18,0.85,2020-06-19
Bolivia,1.27,1.12,2020-04-05,1.11,2020-06-19
Brazil,1.45,1.04,2020-04-20,0.99,2020-06-19
Bulgaria,1.48,1.03,2020-03-11,1.10,2020-06-19
Canada,1.92,0.90,2020-03-28,0.99,2020-06-19
Chile,1.99,1.19,2020-03-23,1.09,2020-06-19
China,2.95,0.67,2020-01-19,0.79,2020-06-19
Colombia,2.04,1.14,2020-03-18,1.13,2020-06-19
Croatia,1.47,0.74,2020-03-20,0.94,2020-06-19
Cuba,1.16,0.66,2020-04-08,0.81,2020-06-19
Cyprus,1.21,0.37,2020-03-12,0.52,2020-06-19
Czechia,2.18,0.58,2020-03-14,0.77,2020-06-19
Denmark,2.15,0.75,2020-03-11,0.94,2020-06-19
Dominican Republic,2.48,0.87,2020-03-15,1.01,2020-06-19
Ecuador,1.55,0.88,2020-04-12,0.94,2020-06-19
Egypt,1.56,1.09,2020-03-20,1.08,2020-06-19
Estonia,2.33,0.34,2020-03-11,0.48,2020-06-19
Finland,1.76,0.72,2020-03-28,0.91,2020-06-19
France,1.71,0.83,2020-03-18,0.86,2020-06-19
Germany,2.16,0.82,2020-03-18,1.01,2020-06-19
Greece,1.51,0.71,2020-03-08,0.91,2020-06-19
Honduras,1.13,1.01,2020-04-06,1.06,2020-06-19
Hungary,1.84,0.85,2020-03-25,1.02,2020-06-19
Iceland,1.20,0.36,2020-03-21,0.53,2020-06-19
India,1.27,1.18,2020-04-20,1.17,2020-06-19
Indonesia,1.56,1.03,2020-03-15,1.03,2020-06-19
Iran,2.41,0.90,2020-02-25,1.00,2020-06-19
Ireland,1.60,0.73,2020-04-01,0.89,2020-06-19
Israel,2.51,0.74,2020-03-16,0.96,2020-06-19
Italy,2.61,0.88,2020-03-03,0.91,2020-06-19
Japan,1.28,0.83,2020-04-01,0.94,2020-06-19
Kuwait,1.61,0.89,2020-04-17,0.90,2020-06-19
Latvia,1.11,0.45,2020-03-30,0.61,2020-06-19
Lithuania,1.76,0.80,2020-03-12,0.99,2020-06-19
Luxembourg,1.84,0.67,2020-03-18,0.85,2020-06-19
Malaysia,2.12,0.51,2020-03-07,0.72,2020-06-19
Malta,1.40,0.58,2020-03-20,0.78,2020-06-19
Mexico,2.13,1.09,2020-04-01,1.06,2020-06-19
Moldova,1.41,1.05,2020-03-17,1.08,2020-06-19
Morocco,2.07,0.66,2020-03-13,0.80,2020-06-19
Netherlands,2.46,0.85,2020-03-11,0.92,2020-06-19
Nigeria,1.28,1.01,2020-04-13,1.09,2020-06-19
Norway,1.69,0.64,2020-03-17,0.85,2020-06-19
Pakistan,1.47,1.16,2020-04-08,1.15,2020-06-19
Panama,1.41,0.97,2020-03-19,1.06,2020-06-19
Peru,1.90,1.06,2020-04-03,1.03,2020-06-19
Philippines,1.11,0.96,2020-03-15,1.04,2020-06-19
Poland,1.53,0.98,2020-03-20,1.07,2020-06-19
Portugal,2.16,0.81,2020-03-11,0.98,2020-06-19
Romania,1.76,0.88,2020-03-15,1.02,2020-06-19
Russia,1.47,1.00,2020-04-20,1.03,2020-06-19
Saudi Arabia,2.13,1.10,2020-03-20,1.11,2020-06-19
Serbia,1.43,0.73,2020-03-24,0.96,2020-06-19
Slovakia,1.72,0.52,2020-03-28,0.70,2020-06-19
Slovenia,1.72,0.68,2020-03-20,0.87,2020-06-19
South Africa,2.13,1.14,2020-03-26,1.13,2020-06-19
South Korea,1.88,0.86,2020-02-22,0.96,2020-06-19
Spain,3.23,0.84,2020-03-05,0.90,2020-06-19
Sweden,1.91,0.94,2020-03-20,0.91,2020-06-19
Switzerland,2.08,0.77,2020-03-13,0.93,2020-06-19
Turkey,2.14,0.77,2020-03-21,0.90,2020-06-19
Ukraine,1.54,1.04,2020-03-24,1.09,2020-06-19
United Arab Emirates,1.46,0.80,2020-04-06,0.93,2020-06-19
United Kingdom,2.63,0.94,2020-03-15,0.86,2020-06-19
United States,2.26,0.92,2020-03-18,1.05,2020-06-19
