region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.92,2020-03-18,1.04,2020-06-21
AK,1.94,0.47,2020-03-15,0.87,2020-06-21
AL,1.34,0.95,2020-04-03,1.09,2020-06-21
AR,1.20,1.02,2020-04-04,1.10,2020-06-21
AZ,1.27,0.96,2020-04-13,1.08,2020-06-21
CA,1.62,1.00,2020-03-23,1.08,2020-06-21
CO,1.27,0.89,2020-04-02,1.04,2020-06-21
CT,2.30,0.88,2020-03-24,0.93,2020-06-21
DC,1.66,0.90,2020-03-30,0.91,2020-06-21
DE,1.41,0.88,2020-04-09,0.98,2020-06-21
FL,1.75,0.96,2020-03-20,1.07,2020-06-21
GA,2.05,0.98,2020-03-17,1.04,2020-06-21
GU,0.71,0.46,2020-03-20,0.73,2020-06-21
HI,2.14,0.50,2020-03-17,0.78,2020-06-21
IA,1.22,0.85,2020-04-24,0.98,2020-06-21
ID,2.07,0.63,2020-03-21,1.05,2020-06-21
IL,2.15,0.95,2020-03-22,1.01,2020-06-21
IN,1.56,0.89,2020-04-02,1.04,2020-06-21
KS,1.25,0.83,2020-03-27,1.02,2020-06-21
KY,1.86,0.94,2020-03-17,1.06,2020-06-21
LA,2.20,0.88,2020-03-15,1.03,2020-06-21
MA,2.00,0.90,2020-03-28,0.91,2020-06-21
MD,1.98,0.93,2020-03-27,1.00,2020-06-21
ME,1.50,0.80,2020-03-25,0.96,2020-06-21
MI,2.06,0.85,2020-03-18,0.89,2020-06-21
MN,1.81,0.98,2020-04-02,1.04,2020-06-21
MO,1.87,0.90,2020-03-20,1.05,2020-06-21
MP,1.03,0.43,2020-03-20,0.69,2020-06-21
MS,1.44,0.93,2020-04-10,1.04,2020-06-21
MT,1.42,0.53,2020-03-27,0.98,2020-06-21
NC,1.87,0.97,2020-03-26,1.07,2020-06-21
ND,1.37,0.90,2020-03-28,0.98,2020-06-21
NE,1.86,1.00,2020-03-20,1.04,2020-06-21
NH,1.44,0.91,2020-04-13,1.05,2020-06-21
NJ,2.55,0.88,2020-03-19,0.83,2020-06-21
NM,1.39,0.94,2020-04-08,1.03,2020-06-21
NV,1.87,0.91,2020-03-17,1.06,2020-06-21
NY,3.74,0.83,2020-03-13,0.82,2020-06-21
OH,1.51,0.93,2020-04-02,1.06,2020-06-21
OK,1.79,0.77,2020-03-15,1.02,2020-06-21
OR,1.57,0.87,2020-03-19,1.11,2020-06-21
PA,1.83,0.88,2020-04-03,0.95,2020-06-21
PR,2.17,0.81,2020-03-17,0.97,2020-06-21
RI,1.53,0.92,2020-04-05,1.01,2020-06-21
SC,1.70,0.98,2020-03-19,1.10,2020-06-21
SD,1.11,0.96,2020-03-25,1.03,2020-06-21
TN,1.96,0.94,2020-03-13,1.07,2020-06-21
TX,1.76,0.97,2020-03-18,1.09,2020-06-21
UT,1.16,1.00,2020-03-28,1.10,2020-06-21
VA,1.48,0.90,2020-04-03,1.01,2020-06-21
VI,1.60,0.43,2020-03-20,0.69,2020-06-21
VT,1.31,0.56,2020-03-20,0.87,2020-06-21
WA,1.60,0.81,2020-03-13,1.06,2020-06-21
WI,1.90,0.95,2020-03-13,1.07,2020-06-21
WV,1.50,0.75,2020-03-31,0.94,2020-06-21
WY,1.47,0.79,2020-03-28,1.03,2020-06-21
