country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.52,0.77,2020-03-14,1.00,2020-06-24
Argentina,1.32,1.10,2020-03-17,1.09,2020-06-24
Australia,1.28,0.72,2020-03-23,0.93,2020-06-24
Austria,1.83,0.71,2020-03-15,0.96,2020-06-24
Bangladesh,1.60,1.09,2020-03-28,1.10,2020-06-24
Belarus,1.22,0.99,2020-04-06,0.99,2020-06-24
Belgium,2.70,0.82,2020-03-18,0.90,2020-06-24
Bolivia,1.45,1.11,2020-04-04,1.09,2020-06-24
Brazil,1.49,1.05,2020-04-20,0.99,2020-06-24
Bulgaria,1.48,1.03,2020-03-11,1.11,2020-06-24
Canada,1.93,0.89,2020-03-28,1.00,2020-06-24
Chile,1.40,0.97,2020-05-17,0.91,2020-06-24
China,2.94,0.66,2020-01-20,0.78,2020-06-24
Colombia,2.11,1.14,2020-03-19,1.12,2020-06-24
Croatia,1.51,0.73,2020-03-20,0.94,2020-06-24
Cuba,1.25,0.66,2020-04-08,0.85,2020-06-24
Cyprus,1.33,0.47,2020-03-12,0.90,2020-06-24
Czechia,2.20,0.57,2020-03-14,0.99,2020-06-24
Denmark,2.16,0.75,2020-03-11,0.95,2020-06-24
Dominican Republic,2.51,0.89,2020-03-15,1.05,2020-06-24
Ecuador,1.62,0.86,2020-04-12,0.95,2020-06-24
Egypt,1.65,1.08,2020-03-20,1.08,2020-06-24
Estonia,2.32,0.44,2020-03-11,0.79,2020-06-24
Finland,1.78,0.71,2020-03-28,0.92,2020-06-24
France,1.72,0.82,2020-03-18,0.91,2020-06-24
Germany,2.18,0.80,2020-03-18,1.03,2020-06-24
Greece,1.55,0.70,2020-03-08,0.91,2020-06-24
Honduras,1.24,1.03,2020-04-06,1.08,2020-06-24
Hungary,1.86,0.85,2020-03-25,1.03,2020-06-24
Iceland,1.18,0.45,2020-03-21,0.80,2020-06-24
India,1.35,1.13,2020-04-20,1.13,2020-06-24
Indonesia,1.67,1.00,2020-03-15,1.02,2020-06-24
Iran,2.42,0.88,2020-02-25,1.02,2020-06-24
Ireland,1.62,0.73,2020-03-31,0.90,2020-06-24
Israel,2.52,0.74,2020-03-17,0.97,2020-06-24
Italy,2.67,0.93,2020-03-01,0.96,2020-06-24
Japan,1.27,0.83,2020-04-01,1.00,2020-06-24
Kuwait,1.70,0.88,2020-04-17,0.87,2020-06-24
Latvia,1.25,0.57,2020-03-30,0.93,2020-06-24
Lithuania,1.77,0.80,2020-03-12,1.01,2020-06-24
Luxembourg,1.84,0.67,2020-03-18,0.86,2020-06-24
Malaysia,2.10,0.52,2020-03-07,0.98,2020-06-24
Malta,1.58,0.57,2020-03-20,0.79,2020-06-24
Mexico,2.11,1.12,2020-04-01,1.07,2020-06-24
Moldova,1.42,1.05,2020-03-17,1.07,2020-06-24
Morocco,2.17,0.67,2020-03-14,0.86,2020-06-24
Netherlands,2.46,0.85,2020-03-11,0.98,2020-06-24
Nigeria,1.39,0.98,2020-04-13,1.07,2020-06-24
Norway,1.71,0.63,2020-03-17,0.85,2020-06-24
Pakistan,1.58,1.11,2020-04-09,1.11,2020-06-24
Panama,1.48,0.98,2020-03-19,1.07,2020-06-24
Peru,2.00,1.05,2020-04-03,1.02,2020-06-24
Philippines,1.13,0.95,2020-03-15,1.07,2020-06-24
Poland,1.55,0.98,2020-03-20,1.09,2020-06-24
Portugal,2.18,0.81,2020-03-11,1.00,2020-06-24
Romania,1.79,0.89,2020-03-15,1.05,2020-06-24
Russia,1.53,0.96,2020-04-20,1.01,2020-06-24
Saudi Arabia,2.25,1.07,2020-03-22,1.06,2020-06-24
Serbia,1.46,0.73,2020-03-24,0.96,2020-06-24
Slovakia,1.72,0.57,2020-03-28,0.92,2020-06-24
Slovenia,1.75,0.67,2020-03-20,0.88,2020-06-24
South Africa,2.18,1.14,2020-03-27,1.12,2020-06-24
South Korea,1.89,0.85,2020-02-22,1.00,2020-06-24
Spain,3.24,0.84,2020-03-06,0.94,2020-06-24
Sweden,1.92,0.94,2020-03-20,0.91,2020-06-24
Switzerland,2.12,0.76,2020-03-13,0.93,2020-06-24
Turkey,2.46,0.73,2020-03-21,1.05,2020-06-24
Ukraine,1.52,1.03,2020-03-24,1.07,2020-06-24
United Arab Emirates,1.55,0.79,2020-04-06,0.96,2020-06-24
United Kingdom,2.63,0.93,2020-03-15,0.88,2020-06-24
United States,2.27,0.92,2020-03-18,1.04,2020-06-24
