country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.87,2020-06-14,1.05,2020-09-26,0.98
Argentina,1.45,2020-03-17,1.08,2020-06-28,1.25,2020-09-26,0.94
Australia,1.29,2020-03-23,0.71,2020-06-01,1.77,2020-09-26,0.80
Austria,1.87,2020-03-12,0.64,2020-05-25,1.27,2020-09-26,1.10
Bangladesh,1.95,2020-03-28,1.06,2020-05-15,1.07,2020-09-26,0.99
Belarus,1.62,2020-04-06,0.99,2020-05-25,1.07,2020-09-26,1.04
Belgium,2.89,2020-03-14,0.68,2020-05-25,1.38,2020-09-26,1.04
Bolivia,1.67,2020-04-05,1.04,2020-06-01,1.22,2020-09-26,0.92
Brazil,1.87,2020-04-08,1.02,2020-06-15,1.14,2020-09-26,0.92
Bulgaria,1.65,2020-03-12,0.98,2020-05-25,1.30,2020-09-26,0.97
Canada,2.01,2020-03-25,0.84,2020-05-25,1.10,2020-09-26,1.06
Chile,1.40,2020-05-18,0.94,2020-07-20,1.08,2020-09-26,0.94
China,3.44,2020-01-21,0.62,2020-04-08,1.03,2020-09-26,0.98
Colombia,2.45,2020-03-19,1.15,2020-06-01,1.24,2020-09-26,0.91
Croatia,1.36,2020-03-20,0.74,2020-05-25,1.35,2020-09-26,1.03
Cuba,1.18,2020-04-08,0.66,2020-06-01,1.19,2020-09-26,1.00
Cyprus,1.57,2020-03-12,0.50,2020-05-25,1.01,2020-09-26,0.94
Czechia,2.18,2020-03-14,0.51,2020-05-25,1.79,2020-09-26,1.02
Denmark,2.44,2020-03-09,0.63,2020-05-25,1.42,2020-09-26,1.07
Dominican Republic,2.61,2020-03-15,0.90,2020-06-01,1.17,2020-09-26,0.98
Ecuador,1.86,2020-04-10,0.87,2020-06-01,1.11,2020-09-26,0.96
Egypt,1.91,2020-03-20,1.07,2020-06-15,0.84,2020-09-26,1.04
Estonia,2.40,2020-03-11,0.46,2020-05-25,0.81,2020-09-26,1.09
Finland,1.74,2020-03-26,0.64,2020-05-25,0.92,2020-09-26,1.10
France,1.78,2020-03-14,0.76,2020-05-25,1.42,2020-09-26,0.98
Germany,2.50,2020-03-14,0.75,2020-05-25,1.25,2020-09-26,1.02
Greece,1.55,2020-03-08,0.64,2020-05-25,1.36,2020-09-26,1.06
Honduras,1.51,2020-04-06,0.98,2020-06-01,1.17,2020-09-26,0.96
Hungary,1.85,2020-03-24,0.75,2020-05-25,1.31,2020-09-26,1.11
