country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.28,0.81,2020-03-13,1.03,2020-06-07
Argentina,1.18,1.08,2020-03-17,1.08,2020-06-07
Australia,1.11,0.70,2020-03-23,0.86,2020-06-07
Austria,1.82,0.70,2020-03-14,0.88,2020-06-07
Bangladesh,1.32,1.13,2020-03-28,1.14,2020-06-07
Belarus,1.20,0.97,2020-04-06,0.97,2020-06-07
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-07
Bolivia,1.15,1.13,2020-04-05,1.14,2020-06-07
Brazil,1.42,1.06,2020-04-19,1.06,2020-06-07
Bulgaria,1.46,1.02,2020-03-11,1.09,2020-06-07
Canada,1.91,0.90,2020-03-28,1.03,2020-06-07
Chile,1.79,1.19,2020-03-21,1.18,2020-06-07
China,2.89,0.63,2020-01-20,0.72,2020-06-07
Colombia,1.87,1.14,2020-03-18,1.14,2020-06-07
Croatia,1.53,0.75,2020-03-20,0.92,2020-06-07
Cuba,1.08,0.64,2020-04-08,0.79,2020-06-07
Cyprus,1.32,0.37,2020-03-12,0.51,2020-06-07
Czechia,2.14,0.58,2020-03-14,0.76,2020-06-07
Denmark,2.11,0.75,2020-03-11,0.93,2020-06-07
Dominican Republic,2.26,0.87,2020-03-14,1.00,2020-06-07
Ecuador,1.48,0.87,2020-04-13,0.99,2020-06-07
Egypt,1.42,1.08,2020-03-20,1.08,2020-06-07
Estonia,2.27,0.38,2020-03-11,0.52,2020-06-07
Finland,1.77,0.73,2020-03-27,0.91,2020-06-07
France,1.71,0.81,2020-03-18,0.97,2020-06-07
Germany,2.17,0.82,2020-03-17,0.98,2020-06-07
Greece,1.47,0.69,2020-03-08,0.86,2020-06-07
Honduras,0.97,1.01,2020-04-06,1.08,2020-06-07
Hungary,1.82,0.87,2020-03-25,1.01,2020-06-07
Iceland,1.50,0.33,2020-03-21,0.47,2020-06-07
India,1.26,1.16,2020-04-20,1.16,2020-06-07
Indonesia,1.42,1.02,2020-03-15,1.02,2020-06-07
Iran,2.38,0.87,2020-02-25,1.04,2020-06-07
Ireland,1.60,0.72,2020-03-31,0.89,2020-06-07
Israel,2.35,0.68,2020-03-16,0.87,2020-06-07
Italy,2.59,0.89,2020-03-02,0.99,2020-06-07
Japan,1.26,0.84,2020-03-31,0.93,2020-06-07
Kuwait,1.44,1.04,2020-04-04,1.09,2020-06-07
Latvia,1.50,0.33,2020-03-12,0.47,2020-06-07
Lithuania,1.69,0.80,2020-03-12,0.96,2020-06-07
Luxembourg,1.77,0.67,2020-03-18,0.85,2020-06-07
Malaysia,1.90,0.49,2020-03-06,0.66,2020-06-07
Malta,1.54,0.70,2020-03-07,0.83,2020-06-07
Mexico,1.99,1.12,2020-04-01,1.13,2020-06-07
Moldova,1.35,1.03,2020-03-19,1.10,2020-06-07
Morocco,1.74,0.65,2020-03-14,0.81,2020-06-07
Netherlands,2.42,0.85,2020-03-11,1.01,2020-06-07
Nigeria,1.24,1.00,2020-04-13,1.09,2020-06-07
Norway,1.73,0.62,2020-03-17,0.80,2020-06-07
Pakistan,1.44,1.14,2020-04-09,1.15,2020-06-07
Panama,1.27,0.96,2020-03-19,1.07,2020-06-07
Peru,1.72,1.08,2020-04-05,1.08,2020-06-07
Philippines,1.59,0.90,2020-03-15,1.02,2020-06-07
Poland,1.62,0.93,2020-03-20,1.05,2020-06-07
Portugal,2.10,0.84,2020-03-11,0.99,2020-06-07
Romania,1.72,0.83,2020-03-15,0.98,2020-06-07
Russia,1.47,1.00,2020-04-20,1.05,2020-06-07
Saudi Arabia,1.63,1.10,2020-03-19,1.13,2020-06-07
Serbia,1.37,0.72,2020-03-24,0.90,2020-06-07
Slovakia,2.32,0.48,2020-03-28,0.65,2020-06-07
Slovenia,1.68,0.68,2020-03-20,0.86,2020-06-07
South Africa,1.70,1.19,2020-03-26,1.19,2020-06-07
South Korea,1.83,0.84,2020-02-22,0.94,2020-06-07
Spain,3.16,0.81,2020-03-06,0.97,2020-06-07
Sweden,1.89,0.91,2020-03-20,1.00,2020-06-07
Switzerland,2.07,0.74,2020-03-13,0.92,2020-06-07
Turkey,1.83,0.78,2020-03-22,0.92,2020-06-07
Ukraine,1.53,1.01,2020-03-24,1.09,2020-06-07
United Arab Emirates,1.21,0.86,2020-04-06,0.98,2020-06-07
United Kingdom,2.47,0.93,2020-03-15,0.93,2020-06-07
United States,2.27,0.91,2020-03-18,1.02,2020-06-07
