region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.26,2020-03-15,0.90,2020-05-11,1.27,2020-09-25,0.97
AK,1.98,2020-03-15,0.53,2020-04-24,1.37,2020-09-25,1.04
AL,1.52,2020-04-02,0.97,2020-05-11,1.26,2020-09-25,0.93
AR,1.50,2020-04-04,0.98,2020-05-11,1.31,2020-09-25,0.94
AZ,1.29,2020-04-13,0.99,2020-05-11,1.41,2020-09-25,0.93
CA,1.76,2020-03-22,0.97,2020-06-01,1.29,2020-09-25,0.97
CO,1.21,2020-04-02,0.83,2020-05-15,1.10,2020-09-25,0.99
CT,2.33,2020-03-18,0.79,2020-06-01,1.05,2020-09-25,0.98
DC,1.88,2020-03-27,0.89,2020-06-08,1.09,2020-09-25,0.92
DE,1.55,2020-04-06,0.86,2020-06-01,1.06,2020-09-25,0.96
FL,1.65,2020-03-19,0.92,2020-05-04,1.45,2020-09-25,0.94
GA,2.21,2020-03-16,0.92,2020-04-27,1.38,2020-09-25,0.93
GU,1.38,2020-03-20,0.54,2020-06-01,1.94,2020-09-25,0.92
HI,2.13,2020-03-17,0.59,2020-06-01,1.77,2020-09-25,0.99
IA,1.33,2020-04-23,0.81,2020-05-15,1.27,2020-09-25,0.96
ID,2.15,2020-03-21,0.74,2020-05-16,1.56,2020-09-25,0.94
IL,2.19,2020-03-23,0.92,2020-06-01,1.22,2020-09-25,0.97
IN,1.60,2020-03-30,0.89,2020-05-11,1.14,2020-09-25,0.98
KS,1.42,2020-03-26,0.82,2020-05-04,1.30,2020-09-25,1.00
KY,2.00,2020-03-17,0.92,2020-05-22,1.24,2020-09-25,1.00
LA,2.38,2020-03-12,0.79,2020-05-15,1.36,2020-09-25,0.91
MA,2.27,2020-03-22,0.88,2020-06-06,1.12,2020-09-25,0.94
MD,2.06,2020-03-25,0.92,2020-06-01,1.09,2020-09-25,0.96
ME,1.57,2020-03-25,0.84,2020-06-01,0.99,2020-09-25,1.02
MI,2.05,2020-03-14,0.78,2020-06-08,1.24,2020-09-25,0.99
MN,2.09,2020-04-01,0.92,2020-06-01,1.16,2020-09-25,0.98
MO,2.01,2020-03-19,0.86,2020-05-15,1.28,2020-09-25,1.00
MP,1.38,2020-03-20,0.50,2020-06-01,1.07,2020-09-25,1.04
MS,1.41,2020-04-10,0.93,2020-05-07,1.29,2020-09-25,0.90
MT,1.32,2020-03-27,0.55,2020-05-04,1.55,2020-09-25,1.03
NC,2.19,2020-03-25,0.95,2020-05-08,1.22,2020-09-25,0.98
ND,1.41,2020-03-28,0.86,2020-05-01,1.25,2020-09-25,0.95
NE,2.27,2020-03-23,0.98,2020-05-04,1.14,2020-09-25,1.00
NH,1.46,2020-04-14,0.85,2020-05-18,0.94,2020-09-25,0.98
NJ,2.62,2020-03-14,0.87,2020-06-15,1.07,2020-09-25,0.96
NM,1.41,2020-04-07,0.90,2020-06-01,1.18,2020-09-25,0.98
NV,1.96,2020-03-16,0.91,2020-05-15,1.39,2020-09-25,0.95
NY,3.86,2020-03-11,0.71,2020-06-01,1.21,2020-09-25,0.99
OH,1.60,2020-03-31,0.90,2020-05-21,1.16,2020-09-25,0.99
OK,2.00,2020-03-15,0.78,2020-05-01,1.33,2020-09-25,0.98
OR,1.60,2020-03-19,0.90,2020-05-25,1.39,2020-09-25,1.04
PA,1.89,2020-03-31,0.85,2020-06-05,1.14,2020-09-25,1.05
PR,2.36,2020-03-17,0.82,2020-06-01,1.55,2020-09-25,0.99
RI,1.65,2020-04-03,0.87,2020-05-25,1.13,2020-09-25,0.93
SC,1.97,2020-03-19,0.95,2020-05-11,1.51,2020-09-25,0.97
SD,1.20,2020-03-25,1.00,2020-05-01,1.20,2020-09-25,0.97
TN,2.01,2020-03-13,0.99,2020-05-01,1.28,2020-09-25,0.96
TX,1.97,2020-03-18,0.94,2020-05-01,1.52,2020-09-25,0.95
UT,1.64,2020-03-28,0.98,2020-05-16,1.21,2020-09-25,1.03
VA,1.59,2020-04-03,0.90,2020-06-01,1.28,2020-09-25,0.98
VI,2.02,2020-03-20,0.52,2020-06-01,1.61,2020-09-25,0.95
VT,1.43,2020-03-20,0.38,2020-06-01,0.78,2020-09-25,0.78
WA,1.70,2020-03-10,0.91,2020-06-01,1.17,2020-09-25,1.01
WI,2.20,2020-03-13,0.90,2020-05-14,1.21,2020-09-25,1.07
WV,1.48,2020-03-31,0.78,2020-05-04,1.49,2020-09-25,1.01
WY,1.59,2020-03-28,0.72,2020-05-01,1.12,2020-09-25,1.02
