region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.92,2020-03-18,1.10,2020-07-07
AK,1.92,0.59,2020-03-15,1.02,2020-07-07
AL,1.51,0.96,2020-04-03,1.11,2020-07-07
AR,1.36,1.02,2020-04-04,1.07,2020-07-07
AZ,1.27,0.99,2020-04-13,1.06,2020-07-07
CA,1.75,1.00,2020-03-23,1.10,2020-07-07
CO,1.29,0.88,2020-04-02,1.05,2020-07-07
CT,2.27,0.86,2020-03-24,0.94,2020-07-07
DC,1.68,0.90,2020-03-30,1.02,2020-07-07
DE,1.46,0.87,2020-04-09,1.03,2020-07-07
FL,1.84,0.96,2020-03-20,1.07,2020-07-07
GA,2.09,0.97,2020-03-17,1.12,2020-07-07
GU,0.79,0.45,2020-03-20,0.83,2020-07-07
HI,2.13,0.49,2020-03-17,1.03,2020-07-07
IA,1.32,0.87,2020-04-24,1.00,2020-07-07
ID,2.26,0.67,2020-03-21,1.20,2020-07-07
IL,2.22,0.94,2020-03-22,1.05,2020-07-07
IN,1.57,0.90,2020-04-02,1.07,2020-07-07
KS,1.26,0.85,2020-03-27,0.98,2020-07-07
KY,1.88,0.95,2020-03-17,1.09,2020-07-07
LA,2.10,0.87,2020-03-15,1.09,2020-07-07
MA,1.92,0.89,2020-03-28,0.96,2020-07-07
MD,2.01,0.93,2020-03-28,1.02,2020-07-07
ME,1.70,0.84,2020-03-25,1.06,2020-07-07
MI,1.99,0.84,2020-03-18,1.06,2020-07-07
MN,1.88,0.93,2020-04-02,1.09,2020-07-07
MO,1.90,0.90,2020-03-20,1.05,2020-07-07
MP,1.42,0.43,2020-03-20,0.85,2020-07-07
MS,1.45,0.93,2020-04-10,1.05,2020-07-07
MT,1.45,0.54,2020-03-27,1.04,2020-07-07
NC,2.03,0.97,2020-03-26,0.99,2020-07-07
ND,1.53,0.93,2020-03-28,0.92,2020-07-07
NE,1.97,1.02,2020-03-20,0.96,2020-07-07
NH,1.46,0.92,2020-04-13,1.09,2020-07-07
NJ,2.53,0.89,2020-03-19,1.01,2020-07-07
NM,1.42,0.93,2020-04-08,1.08,2020-07-07
NV,1.92,0.91,2020-03-17,1.17,2020-07-07
NY,3.63,0.82,2020-03-12,0.97,2020-07-07
OH,1.54,0.93,2020-04-03,1.09,2020-07-07
OK,1.82,0.78,2020-03-15,0.99,2020-07-07
OR,1.70,0.91,2020-03-19,1.12,2020-07-07
PA,1.80,0.87,2020-04-03,1.04,2020-07-07
PR,2.30,0.85,2020-03-17,1.07,2020-07-07
RI,1.59,0.93,2020-04-05,1.00,2020-07-07
SC,1.82,1.00,2020-03-19,1.09,2020-07-07
SD,1.20,0.99,2020-03-25,0.97,2020-07-07
TN,2.10,0.97,2020-03-13,1.08,2020-07-07
TX,1.95,0.96,2020-03-18,1.07,2020-07-07
UT,1.50,1.00,2020-03-28,1.04,2020-07-07
VA,1.56,0.92,2020-04-03,1.09,2020-07-07
VI,1.71,0.58,2020-03-20,1.11,2020-07-07
VT,1.36,0.57,2020-03-20,1.04,2020-07-07
WA,1.62,0.81,2020-03-13,1.10,2020-07-07
WI,2.09,0.95,2020-03-14,1.06,2020-07-07
WV,1.51,0.77,2020-03-31,0.94,2020-07-07
WY,1.59,0.74,2020-03-28,0.99,2020-07-07
