region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.92,2020-03-18,1.11,2020-06-30
AK,1.94,0.51,2020-03-15,0.96,2020-06-30
AL,1.48,0.96,2020-04-03,1.15,2020-06-30
AR,1.32,1.02,2020-04-04,1.10,2020-06-30
AZ,1.28,0.97,2020-04-13,1.09,2020-06-30
CA,1.71,1.00,2020-03-23,1.12,2020-06-30
CO,1.27,0.89,2020-04-02,1.06,2020-06-30
CT,2.18,0.86,2020-03-24,0.99,2020-06-30
DC,1.65,0.90,2020-03-30,1.03,2020-06-30
DE,1.43,0.87,2020-04-09,1.04,2020-06-30
FL,1.82,0.96,2020-03-20,1.06,2020-06-30
GA,2.05,0.97,2020-03-17,1.13,2020-06-30
GU,0.79,0.45,2020-03-20,0.81,2020-06-30
HI,2.14,0.50,2020-03-17,1.01,2020-06-30
IA,1.30,0.86,2020-04-24,0.98,2020-06-30
ID,2.21,0.66,2020-03-21,1.23,2020-06-30
IL,2.17,0.94,2020-03-21,1.07,2020-06-30
IN,1.56,0.90,2020-04-01,1.07,2020-06-30
KS,1.24,0.84,2020-03-27,1.00,2020-06-30
KY,1.86,0.94,2020-03-17,1.10,2020-06-30
LA,2.07,0.87,2020-03-15,1.11,2020-06-30
MA,1.90,0.87,2020-03-29,1.01,2020-06-30
MD,1.98,0.93,2020-03-27,1.06,2020-06-30
ME,1.69,0.84,2020-03-25,1.04,2020-06-30
MI,1.97,0.84,2020-03-18,1.06,2020-06-30
MN,1.86,0.93,2020-04-02,1.09,2020-06-30
MO,1.87,0.90,2020-03-20,1.06,2020-06-30
MP,1.42,0.43,2020-03-20,0.83,2020-06-30
MS,1.43,0.93,2020-04-10,1.09,2020-06-30
MT,1.43,0.54,2020-03-27,1.08,2020-06-30
NC,2.01,0.97,2020-03-26,1.07,2020-06-30
ND,1.37,0.90,2020-03-28,0.93,2020-06-30
NE,1.92,1.02,2020-03-20,0.99,2020-06-30
NH,1.44,0.92,2020-04-12,1.09,2020-06-30
NJ,2.54,0.89,2020-03-19,0.99,2020-06-30
NM,1.40,0.93,2020-04-08,1.08,2020-06-30
NV,1.89,0.90,2020-03-17,1.20,2020-06-30
NY,3.70,0.82,2020-03-13,0.98,2020-06-30
OH,1.52,0.93,2020-04-02,1.09,2020-06-30
OK,1.79,0.78,2020-03-15,1.01,2020-06-30
OR,1.66,0.90,2020-03-19,1.15,2020-06-30
PA,1.77,0.87,2020-04-03,1.04,2020-06-30
PR,2.29,0.85,2020-03-17,1.05,2020-06-30
RI,1.53,0.93,2020-04-05,1.05,2020-06-30
SC,1.82,0.98,2020-03-19,1.12,2020-06-30
SD,1.16,0.98,2020-03-25,1.00,2020-06-30
TN,2.07,0.97,2020-03-13,1.10,2020-06-30
TX,1.92,0.96,2020-03-18,1.08,2020-06-30
UT,1.49,1.00,2020-03-28,1.05,2020-06-30
VA,1.54,0.92,2020-04-03,1.08,2020-06-30
VI,1.67,0.57,2020-03-20,1.08,2020-06-30
VT,1.33,0.57,2020-03-20,1.01,2020-06-30
WA,1.59,0.81,2020-03-13,1.09,2020-06-30
WI,2.06,0.95,2020-03-14,1.09,2020-06-30
WV,1.48,0.77,2020-03-31,0.96,2020-06-30
WY,1.57,0.78,2020-03-28,0.97,2020-06-30
