combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.47,0.80,2020-03-22,0.99,2020-06-25
Canada-British Columbia,1.18,0.82,2020-03-23,1.03,2020-06-25
Canada-Ontario,1.74,0.86,2020-03-30,0.97,2020-06-25
Canada-Quebec,2.13,0.92,2020-03-29,0.97,2020-06-25
US-AZ-Maricopa,1.25,0.99,2020-03-21,1.07,2020-06-25
US-CA-Alameda,1.36,0.80,2020-03-23,1.07,2020-06-25
US-CA-Los Angeles,2.27,1.01,2020-03-13,1.09,2020-06-25
US-CA-Orange,1.28,1.05,2020-03-24,1.11,2020-06-25
US-CA-Riverside,1.40,0.97,2020-03-22,1.11,2020-06-25
US-CA-Sacramento,1.11,0.71,2020-03-24,1.02,2020-06-25
US-CA-San Bernardino,1.26,0.89,2020-03-23,1.08,2020-06-25
US-CA-San Diego,1.27,0.92,2020-03-22,1.07,2020-06-25
US-CA-Santa Clara,1.23,0.73,2020-03-09,0.98,2020-06-25
US-FL-Broward,1.31,0.86,2020-03-21,1.10,2020-06-25
US-FL-Hillsborough,1.32,1.04,2020-03-24,1.12,2020-06-25
US-FL-Miami-Dade,2.77,0.87,2020-03-14,1.11,2020-06-25
US-FL-Orange,1.43,0.81,2020-03-23,1.11,2020-06-25
US-FL-Palm Beach,1.83,0.92,2020-03-10,1.12,2020-06-25
US-IL-Cook,3.56,0.95,2020-03-13,0.96,2020-06-25
US-LA-Orleans,1.69,0.67,2020-03-12,0.92,2020-06-25
US-MA-Middlesex,2.33,0.81,2020-03-29,1.02,2020-06-25
US-MA-Suffolk,1.71,0.79,2020-03-31,0.99,2020-06-25
US-MI-Wayne,2.89,0.82,2020-03-11,0.98,2020-06-25
US-NJ-Bergen,2.90,0.84,2020-03-10,0.99,2020-06-25
US-NJ-Essex,3.75,0.81,2020-03-14,0.95,2020-06-25
US-NJ-Hudson,1.92,0.80,2020-03-24,0.95,2020-06-25
US-NV-Clark,1.53,0.87,2020-03-13,1.05,2020-06-25
US-NV-Washoe,2.78,0.84,2020-03-17,1.03,2020-06-25
US-NY-Nassau,3.98,0.74,2020-03-12,0.96,2020-06-25
US-NY-New York City,5.39,0.77,2020-03-09,0.92,2020-06-25
US-NY-Suffolk,3.35,0.80,2020-03-13,1.04,2020-06-25
US-NY-Westchester,4.41,0.69,2020-03-16,0.93,2020-06-25
US-PA-Philadelphia,3.78,0.87,2020-03-15,1.05,2020-06-25
US-TX-Bexar,1.29,0.88,2020-03-24,1.11,2020-06-25
US-TX-Dallas,1.31,0.96,2020-03-21,1.10,2020-06-25
US-TX-Harris,1.27,0.94,2020-03-22,1.11,2020-06-25
US-TX-Tarrant,1.15,0.94,2020-03-23,1.09,2020-06-25
US-WA-King,1.86,0.88,2020-03-05,1.06,2020-06-25
