country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.64,2020-03-14,0.83,2020-06-14,1.13,2020-08-01,0.99
Argentina,1.44,2020-03-17,1.13,2020-06-28,1.19,2020-08-01,1.07
Australia,1.20,2020-03-23,0.71,2020-06-01,1.49,2020-08-01,1.01
Austria,1.89,2020-03-13,0.65,2020-05-25,1.07,2020-08-01,0.98
Bangladesh,1.86,2020-03-27,1.10,2020-05-15,0.99,2020-08-01,0.96
Belarus,1.63,2020-04-06,0.97,2021-01-01,0.99,2020-08-01,0.96
Belgium,2.89,2020-03-15,0.71,2020-05-25,1.16,2020-08-01,1.02
Bolivia,1.67,2020-04-05,1.07,2020-06-01,1.16,2020-08-01,0.97
Brazil,1.58,2020-04-19,1.03,2020-06-15,1.13,2020-08-01,1.01
Bulgaria,1.62,2020-03-11,1.00,2020-05-25,1.23,2020-08-01,0.99
Canada,1.94,2020-03-27,0.84,2020-05-25,1.01,2020-08-01,0.98
Chile,1.40,2020-05-18,0.90,2020-07-15,1.11,2020-08-01,0.98
China,3.52,2020-01-20,0.63,2020-04-08,1.06,2020-08-01,0.99
Colombia,2.41,2020-03-19,1.17,2020-06-01,1.18,2020-08-01,0.97
Croatia,1.38,2020-03-20,0.70,2020-05-25,1.31,2020-08-01,0.99
Cuba,1.22,2020-04-08,0.66,2020-06-01,0.94,2020-08-01,0.92
Cyprus,1.57,2020-03-12,0.44,2020-05-25,0.96,2020-08-01,0.93
Czechia,2.19,2020-03-14,0.47,2020-05-25,1.32,2020-08-01,1.03
Denmark,2.43,2020-03-09,0.65,2020-05-25,1.07,2020-08-01,0.98
Dominican Republic,2.62,2020-03-15,0.89,2020-06-01,1.16,2020-08-01,0.99
Ecuador,1.84,2020-04-11,0.87,2020-06-01,1.06,2020-08-01,0.92
Egypt,1.90,2020-03-20,1.08,2020-06-15,0.90,2020-08-01,0.89
Estonia,2.45,2020-03-11,0.42,2020-05-25,0.87,2020-08-01,0.86
Finland,1.71,2020-03-27,0.64,2020-05-25,1.06,2020-08-01,0.99
France,1.71,2020-03-16,0.78,2020-05-25,1.04,2020-08-01,0.92
Germany,2.39,2020-03-15,0.77,2020-05-15,0.96,2020-08-01,0.92
Greece,1.57,2020-03-08,0.60,2020-05-25,1.03,2020-08-01,0.98
Honduras,1.45,2020-04-06,0.97,2020-06-01,1.25,2020-08-01,0.99
Hungary,1.91,2020-03-23,0.79,2020-05-25,1.06,2020-08-01,0.99
Iceland,1.40,2020-03-21,0.45,2020-05-15,1.00,2020-08-01,0.94
India,1.58,2020-04-19,1.08,2020-05-15,1.12,2020-08-01,1.05
Indonesia,1.62,2020-03-15,1.03,2020-06-15,1.11,2020-08-01,1.01
Iran,2.69,2020-02-25,0.88,2020-04-20,1.23,2020-08-01,0.94
Ireland,1.61,2020-03-29,0.69,2020-05-25,1.06,2020-08-01,0.95
Israel,2.85,2020-03-17,0.71,2020-05-15,1.47,2020-08-01,0.98
Italy,2.62,2020-02-29,0.86,2020-05-25,1.01,2020-08-01,0.91
Japan,1.37,2020-04-01,0.77,2020-06-01,1.13,2020-08-01,1.05
Kuwait,1.91,2020-04-16,0.90,2020-06-30,1.13,2020-08-01,1.05
Latvia,1.54,2020-03-30,0.48,2020-05-25,0.97,2020-08-01,0.94
Lithuania,1.88,2020-03-12,0.69,2020-05-25,0.96,2020-08-01,0.93
Luxembourg,1.61,2020-03-18,0.56,2020-05-25,1.35,2020-08-01,1.03
Malaysia,2.31,2020-03-08,0.50,2020-05-15,0.85,2020-08-01,0.85
Malta,1.61,2020-03-20,0.64,2020-05-25,0.97,2020-08-01,0.95
Mexico,2.41,2020-04-01,1.06,2020-06-01,1.09,2020-08-01,0.98
Moldova,1.93,2020-03-18,1.03,2020-05-15,1.14,2020-08-01,0.96
Morocco,2.20,2020-03-13,0.72,2020-06-01,1.43,2020-08-01,1.06
Netherlands,2.65,2020-03-09,0.78,2020-05-25,0.96,2020-08-01,0.92
Nigeria,1.64,2020-04-13,0.96,2020-05-15,0.94,2020-08-01,0.95
Norway,1.73,2020-03-17,0.54,2020-05-15,0.92,2020-08-01,0.90
Pakistan,1.60,2020-05-12,0.87,2020-05-20,0.86,2020-08-01,0.88
Panama,1.38,2020-03-18,1.00,2020-05-15,1.29,2020-08-01,0.95
Peru,2.25,2020-04-03,1.04,2020-06-01,1.05,2020-08-01,0.91
Philippines,1.17,2020-03-15,0.95,2020-06-01,1.17,2020-08-01,1.03
Poland,1.50,2020-03-19,0.96,2020-05-25,1.02,2020-08-01,0.98
Portugal,2.20,2020-03-11,0.77,2020-05-25,1.11,2020-08-01,0.98
Romania,1.81,2020-03-15,0.80,2020-05-25,1.29,2020-08-01,0.98
Russia,1.63,2020-04-19,0.94,2020-05-15,1.00,2020-08-01,0.95
Saudi Arabia,2.66,2020-03-23,1.08,2020-06-21,1.06,2020-08-01,0.96
Serbia,1.66,2020-03-24,0.78,2020-05-15,1.41,2020-08-01,0.97
Slovakia,1.58,2020-03-28,0.47,2020-05-25,1.07,2020-08-01,0.99
Slovenia,1.55,2020-03-20,0.62,2020-05-25,1.10,2020-08-01,1.00
South Africa,2.75,2020-03-29,1.14,2020-06-01,1.12,2020-08-01,1.01
South Korea,2.22,2020-02-22,0.82,2020-05-06,1.11,2020-08-01,1.00
Spain,3.52,2020-03-05,0.78,2020-05-25,1.06,2020-08-01,0.92
Sweden,2.00,2020-03-18,0.94,2021-01-01,1.00,2020-08-01,0.88
Switzerland,2.29,2020-03-10,0.67,2020-05-25,1.06,2020-08-01,0.95
Turkey,2.66,2020-03-20,0.75,2020-06-01,0.99,2020-08-01,0.95
Ukraine,1.96,2020-03-23,0.97,2020-05-15,1.13,2020-08-01,0.99
United Arab Emirates,1.71,2020-04-04,0.81,2020-06-01,1.05,2020-08-01,0.99
United Kingdom,2.80,2020-03-12,0.89,2020-06-01,1.10,2020-08-01,0.95
United States,2.28,2020-03-16,0.91,2020-05-10,1.26,2020-08-01,0.97
