region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.02,2020-06-05
AK,2.07,0.36,2020-03-15,0.49,2020-06-05
AL,1.97,0.97,2020-03-17,1.07,2020-06-05
AR,1.33,0.97,2020-03-18,1.08,2020-06-05
AZ,1.27,0.96,2020-04-13,1.07,2020-06-05
CA,1.64,0.99,2020-03-23,1.06,2020-06-05
CO,1.28,0.90,2020-04-02,1.03,2020-06-05
CT,2.32,0.89,2020-03-23,1.00,2020-06-05
DC,1.65,0.90,2020-03-30,0.93,2020-06-05
DE,1.36,0.89,2020-04-09,1.00,2020-06-05
FL,1.73,0.97,2020-03-20,1.07,2020-06-05
GA,2.03,0.96,2020-03-17,1.04,2020-06-05
GU,0.63,0.40,2020-03-20,0.52,2020-06-05
HI,2.16,0.34,2020-03-17,0.45,2020-06-05
IA,1.82,0.99,2020-03-21,1.04,2020-06-05
ID,1.92,0.64,2020-03-21,0.82,2020-06-05
IL,2.26,0.94,2020-03-20,1.03,2020-06-05
IN,1.89,0.93,2020-03-22,1.05,2020-06-05
KS,1.27,0.82,2020-03-27,0.98,2020-06-05
KY,1.78,0.96,2020-03-17,1.06,2020-06-05
LA,2.12,0.88,2020-03-15,1.03,2020-06-05
MA,1.95,0.89,2020-03-29,0.95,2020-06-05
MD,1.97,0.95,2020-03-27,1.06,2020-06-05
ME,1.35,0.82,2020-03-25,0.94,2020-06-05
MI,2.44,0.84,2020-03-18,0.96,2020-06-05
MN,1.78,1.02,2020-04-01,1.09,2020-06-05
MO,1.68,0.97,2020-03-19,1.07,2020-06-05
MP,0.86,0.36,2020-03-20,0.47,2020-06-05
MS,1.38,0.97,2020-04-10,1.07,2020-06-05
MT,1.38,0.53,2020-03-27,0.70,2020-06-05
NC,1.80,0.99,2020-03-26,1.08,2020-06-05
ND,1.14,0.95,2020-03-28,1.01,2020-06-05
NE,1.69,1.00,2020-03-20,1.04,2020-06-05
NH,1.39,0.94,2020-04-12,1.06,2020-06-05
NJ,2.57,0.92,2020-03-18,0.93,2020-06-05
NM,1.60,0.98,2020-03-28,1.05,2020-06-05
NV,1.82,0.92,2020-03-17,1.05,2020-06-05
NY,3.69,0.85,2020-03-14,0.97,2020-06-05
OH,1.68,0.98,2020-03-25,1.07,2020-06-05
OK,1.74,0.79,2020-03-15,0.93,2020-06-05
OR,1.55,0.85,2020-03-19,0.97,2020-06-05
PA,2.09,0.92,2020-03-28,0.98,2020-06-05
PR,2.11,0.81,2020-03-17,0.94,2020-06-05
RI,1.74,0.98,2020-03-27,1.07,2020-06-05
SC,1.61,1.00,2020-03-19,1.09,2020-06-05
SD,0.98,0.99,2020-03-25,1.03,2020-06-05
TN,2.00,0.91,2020-03-14,1.05,2020-06-05
TX,1.71,0.97,2020-03-18,1.05,2020-06-05
UT,1.14,0.97,2020-03-28,1.07,2020-06-05
VA,1.47,0.97,2020-03-31,1.05,2020-06-05
VI,1.41,0.32,2020-03-20,0.42,2020-06-05
VT,1.15,0.54,2020-03-20,0.68,2020-06-05
WA,1.55,0.87,2020-03-13,1.03,2020-06-05
WI,1.90,0.94,2020-03-14,1.06,2020-06-05
WV,1.39,0.77,2020-03-31,0.94,2020-06-05
WY,1.26,0.79,2020-03-28,0.90,2020-06-05
