combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.47,0.80,2020-03-22,0.99,2020-06-23
Canada-British Columbia,1.18,0.81,2020-03-23,1.02,2020-06-23
Canada-Ontario,1.74,0.86,2020-03-30,0.95,2020-06-23
Canada-Quebec,2.12,0.92,2020-03-29,0.96,2020-06-23
US-AZ-Maricopa,1.26,0.99,2020-03-21,1.07,2020-06-23
US-CA-Alameda,1.32,0.81,2020-03-23,1.01,2020-06-23
US-CA-Los Angeles,2.27,1.01,2020-03-13,1.08,2020-06-23
US-CA-Orange,1.25,1.05,2020-03-24,1.11,2020-06-23
US-CA-Riverside,1.40,0.98,2020-03-22,1.11,2020-06-23
US-CA-Sacramento,1.07,0.73,2020-03-24,1.01,2020-06-23
US-CA-San Bernardino,1.32,0.87,2020-03-23,1.06,2020-06-23
US-CA-San Diego,1.29,0.91,2020-03-22,1.06,2020-06-23
US-CA-Santa Clara,1.15,0.76,2020-03-09,0.94,2020-06-23
US-FL-Broward,1.31,0.86,2020-03-21,1.10,2020-06-23
US-FL-Hillsborough,1.38,1.00,2020-03-24,1.12,2020-06-23
US-FL-Miami-Dade,2.78,0.87,2020-03-14,1.09,2020-06-23
US-FL-Orange,1.47,0.80,2020-03-23,1.09,2020-06-23
US-FL-Palm Beach,1.83,0.92,2020-03-10,1.12,2020-06-23
US-IL-Cook,3.56,0.95,2020-03-13,0.95,2020-06-23
US-LA-Orleans,1.67,0.70,2020-03-12,0.95,2020-06-23
US-MA-Middlesex,2.31,0.86,2020-03-28,0.96,2020-06-23
US-MA-Suffolk,1.72,0.81,2020-03-30,0.93,2020-06-23
US-MI-Wayne,2.90,0.87,2020-03-11,0.92,2020-06-23
US-NJ-Bergen,2.88,0.88,2020-03-10,0.86,2020-06-23
US-NJ-Essex,3.74,0.86,2020-03-14,0.83,2020-06-23
US-NJ-Hudson,1.91,0.84,2020-03-24,0.96,2020-06-23
US-NV-Clark,1.53,0.87,2020-03-13,1.05,2020-06-23
US-NV-Washoe,2.78,0.84,2020-03-17,1.04,2020-06-23
US-NY-Nassau,3.96,0.78,2020-03-12,0.83,2020-06-23
US-NY-New York City,5.33,0.81,2020-03-09,0.80,2020-06-23
US-NY-Suffolk,3.33,0.85,2020-03-13,0.90,2020-06-23
US-NY-Westchester,4.38,0.72,2020-03-15,0.80,2020-06-23
US-PA-Philadelphia,3.77,0.91,2020-03-15,0.91,2020-06-23
US-TX-Bexar,1.36,0.85,2020-03-24,1.10,2020-06-23
US-TX-Dallas,1.31,0.97,2020-03-21,1.10,2020-06-23
US-TX-Harris,1.26,0.93,2020-03-22,1.12,2020-06-23
US-TX-Tarrant,1.15,0.94,2020-03-23,1.09,2020-06-23
US-WA-King,1.86,0.89,2020-03-05,0.99,2020-06-23
