region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.90,2020-03-18,1.02,2020-06-14
AK,2.00,0.40,2020-03-15,0.55,2020-06-14
AL,1.31,0.95,2020-04-03,1.04,2020-06-14
AR,1.21,0.98,2020-04-04,1.07,2020-06-14
AZ,1.27,0.96,2020-04-13,1.05,2020-06-14
CA,1.64,0.99,2020-03-23,1.07,2020-06-14
CO,1.29,0.88,2020-04-02,1.01,2020-06-14
CT,2.36,0.89,2020-03-23,0.95,2020-06-14
DC,1.64,0.90,2020-03-30,0.97,2020-06-14
DE,1.38,0.88,2020-04-09,1.00,2020-06-14
FL,1.74,0.97,2020-03-20,1.06,2020-06-14
GA,2.03,0.97,2020-03-17,1.01,2020-06-14
GU,0.71,0.37,2020-03-20,0.53,2020-06-14
HI,2.19,0.35,2020-03-17,0.52,2020-06-14
IA,1.22,0.87,2020-04-23,0.95,2020-06-14
ID,2.01,0.64,2020-03-21,0.82,2020-06-14
IL,2.21,0.94,2020-03-21,1.02,2020-06-14
IN,1.55,0.89,2020-04-02,0.97,2020-06-14
KS,1.26,0.82,2020-03-27,0.94,2020-06-14
KY,1.82,0.94,2020-03-17,1.05,2020-06-14
LA,2.12,0.87,2020-03-15,0.98,2020-06-14
MA,1.96,0.89,2020-03-29,0.95,2020-06-14
MD,1.99,0.93,2020-03-27,1.02,2020-06-14
ME,1.39,0.80,2020-03-25,0.96,2020-06-14
MI,2.45,0.83,2020-03-18,0.94,2020-06-14
MN,1.79,0.99,2020-04-02,1.02,2020-06-14
MO,1.70,0.96,2020-03-19,1.04,2020-06-14
MP,1.00,0.34,2020-03-20,0.50,2020-06-14
MS,1.41,0.93,2020-04-10,1.00,2020-06-14
MT,1.38,0.52,2020-03-27,0.70,2020-06-14
NC,1.83,0.98,2020-03-26,1.06,2020-06-14
ND,1.37,0.92,2020-03-28,0.95,2020-06-14
NE,1.72,0.99,2020-03-20,1.00,2020-06-14
NH,1.39,0.95,2020-04-12,1.04,2020-06-14
NJ,2.58,0.92,2020-03-18,0.89,2020-06-14
NM,1.38,0.94,2020-04-08,1.04,2020-06-14
NV,1.83,0.91,2020-03-17,1.03,2020-06-14
NY,3.71,0.85,2020-03-14,0.90,2020-06-14
OH,1.49,0.92,2020-04-03,1.01,2020-06-14
OK,1.73,0.78,2020-03-15,0.88,2020-06-14
OR,1.54,0.86,2020-03-19,1.01,2020-06-14
PA,1.85,0.89,2020-04-03,0.99,2020-06-14
PR,2.12,0.81,2020-03-17,0.97,2020-06-14
RI,1.48,0.92,2020-04-05,1.00,2020-06-14
SC,1.66,0.99,2020-03-19,1.05,2020-06-14
SD,1.11,0.96,2020-03-25,0.98,2020-06-14
TN,2.01,0.90,2020-03-14,1.00,2020-06-14
TX,1.74,0.96,2020-03-18,0.98,2020-06-14
UT,1.16,0.97,2020-03-28,1.07,2020-06-14
VA,1.49,0.94,2020-04-01,1.04,2020-06-14
VI,1.59,0.33,2020-03-20,0.48,2020-06-14
VT,1.20,0.55,2020-03-20,0.76,2020-06-14
WA,1.55,0.87,2020-03-13,1.06,2020-06-14
WI,1.96,0.94,2020-03-14,1.05,2020-06-14
WV,1.45,0.75,2020-03-31,0.89,2020-06-14
WY,1.47,0.73,2020-03-28,0.82,2020-06-14
