region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.02,2020-06-09
AK,2.09,0.38,2020-03-15,0.51,2020-06-09
AL,1.97,0.97,2020-03-17,1.08,2020-06-09
AR,1.49,0.96,2020-03-18,1.08,2020-06-09
AZ,1.27,0.95,2020-04-13,1.06,2020-06-09
CA,1.64,0.99,2020-03-23,1.07,2020-06-09
CO,1.29,0.88,2020-04-02,1.02,2020-06-09
CT,2.35,0.88,2020-03-23,1.02,2020-06-09
DC,1.65,0.90,2020-03-30,0.98,2020-06-09
DE,1.36,0.90,2020-04-09,1.02,2020-06-09
FL,1.75,0.97,2020-03-20,1.07,2020-06-09
GA,2.03,0.97,2020-03-17,1.02,2020-06-09
GU,0.63,0.40,2020-03-20,0.54,2020-06-09
HI,2.16,0.34,2020-03-17,0.47,2020-06-09
IA,1.82,0.99,2020-03-21,1.02,2020-06-09
ID,2.01,0.64,2020-03-21,0.82,2020-06-09
IL,2.22,0.94,2020-03-21,1.05,2020-06-09
IN,1.85,0.93,2020-03-23,1.05,2020-06-09
KS,1.26,0.82,2020-03-27,0.96,2020-06-09
KY,1.80,0.95,2020-03-17,1.06,2020-06-09
LA,2.12,0.88,2020-03-15,1.02,2020-06-09
MA,1.96,0.89,2020-03-29,0.99,2020-06-09
MD,1.97,0.95,2020-03-27,1.06,2020-06-09
ME,1.36,0.82,2020-03-25,0.96,2020-06-09
MI,2.44,0.84,2020-03-18,0.99,2020-06-09
MN,1.77,1.01,2020-04-01,1.06,2020-06-09
MO,1.68,0.97,2020-03-19,1.07,2020-06-09
MP,0.93,0.33,2020-03-20,0.46,2020-06-09
MS,1.41,0.94,2020-04-10,1.05,2020-06-09
MT,1.41,0.53,2020-03-27,0.70,2020-06-09
NC,1.81,0.98,2020-03-26,1.08,2020-06-09
ND,1.16,0.94,2020-03-28,0.99,2020-06-09
NE,1.76,0.97,2020-03-20,1.01,2020-06-09
NH,1.38,0.94,2020-04-12,1.05,2020-06-09
NJ,2.58,0.92,2020-03-18,0.93,2020-06-09
NM,1.61,0.97,2020-03-28,1.06,2020-06-09
NV,1.83,0.92,2020-03-17,1.04,2020-06-09
NY,3.69,0.85,2020-03-14,1.00,2020-06-09
OH,1.70,0.97,2020-03-25,1.07,2020-06-09
OK,1.74,0.79,2020-03-15,0.92,2020-06-09
OR,1.54,0.86,2020-03-19,1.00,2020-06-09
PA,2.10,0.91,2020-03-28,1.01,2020-06-09
PR,2.13,0.81,2020-03-17,0.96,2020-06-09
RI,1.75,0.98,2020-03-27,1.07,2020-06-09
SC,1.64,1.00,2020-03-19,1.08,2020-06-09
SD,0.98,0.98,2020-03-25,1.02,2020-06-09
TN,2.00,0.91,2020-03-14,1.05,2020-06-09
TX,1.73,0.96,2020-03-18,1.01,2020-06-09
UT,1.16,0.97,2020-03-28,1.07,2020-06-09
VA,1.48,0.96,2020-03-31,1.06,2020-06-09
VI,1.58,0.32,2020-03-20,0.45,2020-06-09
VT,1.16,0.54,2020-03-20,0.70,2020-06-09
WA,1.55,0.87,2020-03-13,1.05,2020-06-09
WI,1.96,0.94,2020-03-14,1.06,2020-06-09
WV,1.45,0.75,2020-03-31,0.90,2020-06-09
WY,1.52,0.74,2020-03-28,0.85,2020-06-09
