region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.08,2020-07-11
AK,1.91,0.54,2020-03-15,0.95,2020-07-11
AL,1.49,0.98,2020-04-03,1.10,2020-07-11
AR,1.36,1.02,2020-04-04,1.06,2020-07-11
AZ,1.29,1.00,2020-04-13,1.01,2020-07-11
CA,1.71,1.01,2020-03-23,1.07,2020-07-11
CO,1.29,0.89,2020-04-02,1.04,2020-07-11
CT,2.27,0.86,2020-03-24,0.94,2020-07-11
DC,1.67,0.91,2020-03-30,1.03,2020-07-11
DE,1.46,0.87,2020-04-09,1.03,2020-07-11
FL,1.82,0.97,2020-03-20,1.08,2020-07-11
GA,2.08,0.98,2020-03-17,1.10,2020-07-11
GU,0.79,0.45,2020-03-20,0.83,2020-07-11
HI,2.13,0.49,2020-03-17,1.03,2020-07-11
IA,1.32,0.87,2020-04-23,1.00,2020-07-11
ID,2.21,0.68,2020-03-21,1.10,2020-07-11
IL,2.12,0.94,2020-03-24,1.02,2020-07-11
IN,1.57,0.90,2020-04-02,1.06,2020-07-11
KS,1.26,0.86,2020-03-27,0.97,2020-07-11
KY,1.85,0.96,2020-03-17,1.08,2020-07-11
LA,2.10,0.88,2020-03-15,1.11,2020-07-11
MA,1.92,0.90,2020-03-28,0.97,2020-07-11
MD,2.01,0.93,2020-03-28,1.02,2020-07-11
ME,1.68,0.85,2020-03-25,1.07,2020-07-11
MI,1.98,0.85,2020-03-18,1.07,2020-07-11
MN,1.88,0.93,2020-04-02,1.04,2020-07-11
MO,1.89,0.91,2020-03-20,1.04,2020-07-11
MP,1.43,0.43,2020-03-20,0.85,2020-07-11
MS,1.45,0.94,2020-04-10,1.05,2020-07-11
MT,1.27,0.70,2020-03-27,1.15,2020-07-11
NC,2.01,0.99,2020-03-26,0.99,2020-07-11
ND,1.55,0.93,2020-03-28,0.90,2020-07-11
NE,1.99,1.02,2020-03-21,0.95,2020-07-11
NH,1.46,0.92,2020-04-13,1.00,2020-07-11
NJ,2.60,0.89,2020-03-19,1.01,2020-07-11
NM,1.41,0.94,2020-04-08,1.09,2020-07-11
NV,1.87,0.93,2020-03-17,1.17,2020-07-11
NY,3.64,0.83,2020-03-12,0.98,2020-07-11
OH,1.53,0.93,2020-04-02,1.09,2020-07-11
OK,1.81,0.79,2020-03-15,1.00,2020-07-11
OR,1.68,0.92,2020-03-19,1.12,2020-07-11
PA,1.80,0.88,2020-04-03,1.03,2020-07-11
PR,2.28,0.86,2020-03-17,1.08,2020-07-11
RI,1.59,0.93,2020-04-05,0.99,2020-07-11
SC,1.78,1.01,2020-03-19,1.08,2020-07-11
SD,1.20,1.00,2020-03-25,0.95,2020-07-11
TN,2.05,0.98,2020-03-13,1.08,2020-07-11
TX,1.90,0.97,2020-03-18,1.06,2020-07-11
UT,1.47,1.00,2020-03-28,1.04,2020-07-11
VA,1.56,0.93,2020-04-03,1.10,2020-07-11
VI,1.71,0.58,2020-03-20,1.13,2020-07-11
VT,1.36,0.59,2020-03-20,0.99,2020-07-11
WA,1.61,0.82,2020-03-13,1.10,2020-07-11
WI,2.07,0.95,2020-03-14,1.04,2020-07-11
WV,1.50,0.77,2020-03-31,0.93,2020-07-11
WY,1.60,0.74,2020-03-28,0.96,2020-07-11
