country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.45,0.81,2020-03-13,1.07,2020-06-18
Argentina,1.23,1.11,2020-03-16,1.10,2020-06-18
Australia,1.21,0.72,2020-03-23,0.85,2020-06-18
Austria,1.80,0.72,2020-03-15,0.90,2020-06-18
Bangladesh,1.45,1.13,2020-03-28,1.13,2020-06-18
Belarus,1.21,0.99,2020-04-06,0.99,2020-06-18
Belgium,2.66,0.83,2020-03-18,0.84,2020-06-18
Bolivia,1.26,1.12,2020-04-04,1.11,2020-06-18
Brazil,1.45,1.04,2020-04-20,0.99,2020-06-18
Bulgaria,1.47,1.03,2020-03-11,1.09,2020-06-18
Canada,1.92,0.90,2020-03-28,0.93,2020-06-18
Chile,1.97,1.19,2020-03-22,1.10,2020-06-18
China,2.95,0.67,2020-01-19,0.79,2020-06-18
Colombia,2.04,1.14,2020-03-18,1.13,2020-06-18
Croatia,1.47,0.74,2020-03-20,0.93,2020-06-18
Cuba,1.17,0.67,2020-04-08,0.77,2020-06-18
Cyprus,1.21,0.37,2020-03-12,0.51,2020-06-18
Czechia,2.17,0.58,2020-03-14,0.76,2020-06-18
Denmark,2.15,0.75,2020-03-11,0.94,2020-06-18
Dominican Republic,2.48,0.86,2020-03-15,1.00,2020-06-18
Ecuador,1.55,0.87,2020-04-12,0.93,2020-06-18
Egypt,1.55,1.09,2020-03-20,1.08,2020-06-18
Estonia,2.33,0.34,2020-03-11,0.48,2020-06-18
Finland,1.76,0.72,2020-03-28,0.91,2020-06-18
France,1.71,0.83,2020-03-18,0.85,2020-06-18
Germany,2.16,0.82,2020-03-18,1.01,2020-06-18
Greece,1.51,0.71,2020-03-08,0.90,2020-06-18
Honduras,1.13,1.01,2020-04-06,1.06,2020-06-18
Hungary,1.85,0.86,2020-03-25,1.02,2020-06-18
Iceland,1.20,0.36,2020-03-21,0.53,2020-06-18
India,1.33,1.15,2020-04-20,1.16,2020-06-18
Indonesia,1.56,1.03,2020-03-15,1.03,2020-06-18
Iran,2.41,0.90,2020-02-25,1.00,2020-06-18
Ireland,1.60,0.73,2020-04-01,0.88,2020-06-18
Israel,2.42,0.70,2020-03-16,0.92,2020-06-18
Italy,2.61,0.88,2020-03-03,0.91,2020-06-18
Japan,1.28,0.83,2020-04-01,0.93,2020-06-18
Kuwait,1.53,0.88,2020-04-16,0.89,2020-06-18
Latvia,1.12,0.45,2020-03-30,0.62,2020-06-18
Lithuania,1.77,0.81,2020-03-12,0.99,2020-06-18
Luxembourg,1.84,0.67,2020-03-18,0.85,2020-06-18
Malaysia,2.12,0.51,2020-03-07,0.72,2020-06-18
Malta,1.42,0.60,2020-03-20,0.77,2020-06-18
Mexico,2.12,1.09,2020-04-01,1.06,2020-06-18
Moldova,1.43,1.05,2020-03-17,1.08,2020-06-18
Morocco,2.07,0.66,2020-03-13,0.79,2020-06-18
Netherlands,2.46,0.85,2020-03-11,0.91,2020-06-18
Nigeria,1.29,1.01,2020-04-13,1.09,2020-06-18
Norway,1.69,0.64,2020-03-17,0.85,2020-06-18
Pakistan,1.47,1.16,2020-04-08,1.15,2020-06-18
Panama,1.43,0.96,2020-03-19,1.06,2020-06-18
Peru,1.87,1.07,2020-04-03,1.04,2020-06-18
Philippines,1.11,0.96,2020-03-15,1.04,2020-06-18
Poland,1.53,0.97,2020-03-20,1.07,2020-06-18
Portugal,2.16,0.82,2020-03-11,0.98,2020-06-18
Romania,1.75,0.88,2020-03-15,1.02,2020-06-18
Russia,1.47,1.00,2020-04-20,1.03,2020-06-18
Saudi Arabia,2.00,1.10,2020-03-19,1.11,2020-06-18
Serbia,1.45,0.73,2020-03-24,0.96,2020-06-18
Slovakia,1.72,0.52,2020-03-28,0.69,2020-06-18
Slovenia,1.72,0.68,2020-03-20,0.87,2020-06-18
South Africa,2.13,1.14,2020-03-26,1.13,2020-06-18
South Korea,1.87,0.86,2020-02-22,0.96,2020-06-18
Spain,3.20,0.82,2020-03-06,0.88,2020-06-18
Sweden,1.91,0.94,2020-03-20,0.91,2020-06-18
Switzerland,2.08,0.77,2020-03-13,0.92,2020-06-18
Turkey,2.14,0.77,2020-03-21,0.89,2020-06-18
Ukraine,1.54,1.03,2020-03-24,1.09,2020-06-18
United Arab Emirates,1.36,0.79,2020-04-06,0.89,2020-06-18
United Kingdom,2.62,0.93,2020-03-15,0.86,2020-06-18
United States,2.26,0.92,2020-03-18,1.04,2020-06-18
