country,initial_r_0,post_mitigation_r,inflection_date
Spain,3.1111178642832833,0.8206341192836297,2020-03-05
United Kingdom,2.3721317457750555,0.8535807352342599,2020-03-16
Portugal,2.3265389327964883,0.8766585979025044,2020-03-09
Italy,2.321095066890393,0.8920129800927106,2020-03-01
Iran,2.2647879922595657,0.8978283361250463,2020-02-25
Czechia,2.217649108274249,0.6907963630688769,2020-03-14
Netherlands,2.2124006613891547,0.8935593953569532,2020-03-10
Belgium,2.2048014817290444,0.8144526946747246,2020-03-19
Germany,2.1491341143371825,0.9167463110531281,2020-03-14
Denmark,2.142508901317096,0.7705622635755873,2020-03-12
Switzerland,2.0469760414444482,0.8061344423908079,2020-03-11
Mexico,2.02231375164902,0.8945898249417215,2020-03-28
Finland,1.9202088561262944,0.9180951328693383,2020-03-20
Canada,1.9158537015258184,0.9085896612733253,2020-03-23
Austria,1.9120802539879933,0.7951018767087265,2020-03-13
Slovakia,1.877033492822966,0.569677033492823,2020-03-28
Estonia,1.8477047704770473,0.598829882988299,2020-03-12
Indonesia,1.8186305283265818,0.85308209557895,2020-03-15
China,1.7833455583886861,0.6084762258577066,2020-01-23
Greece,1.7088385124756078,0.734633198948401,2020-03-07
France,1.6839559322697393,0.8176518861277404,2020-03-17
Turkey,1.6605436913827545,0.7689255722166551,2020-03-29
Sweden,1.651593956399201,0.9159337220255916,2020-03-23
Latvia,1.641626794258373,0.7552631578947369,2020-03-12
India,1.6356606340563222,0.8765626087972835,2020-03-25
Malta,1.568421052631579,0.4447368421052632,2020-03-07
Russia,1.5557838748770536,0.8519674847413575,2020-04-06
Norway,1.5218045716277269,0.7780102000691481,2020-03-16
Ireland,1.5103990400277933,0.8503573950007821,2020-03-27
Hungary,1.5010405123351003,0.8650793307558088,2020-03-25
Brazil,1.4960222529905414,0.9289144966300006,2020-04-06
Romania,1.431988807842506,0.8706985902215421,2020-03-15
Poland,1.4296590223602579,0.917442331123361,2020-03-20
Slovenia,1.4241404014152677,0.6868003627181137,2020-03-20
Luxembourg,1.4039603960396039,0.681998199819982,2020-03-16
Cyprus,1.358373205741627,0.4803827751196173,2020-03-12
Lithuania,1.3392344497607653,0.63122009569378,2020-03-12
Philippines,1.225912327520767,0.8174812028936936,2020-03-15
Croatia,1.1186278380477133,0.8253134393971927,2020-03-20
Bulgaria,1.116187641005356,0.8115506425769841,2020-03-12
