region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.92,2020-03-18,1.11,2020-07-01
AK,1.95,0.49,2020-03-15,0.91,2020-07-01
AL,1.51,0.97,2020-04-03,1.15,2020-07-01
AR,1.36,1.02,2020-04-04,1.10,2020-07-01
AZ,1.28,0.99,2020-04-13,1.09,2020-07-01
CA,1.75,1.00,2020-03-23,1.10,2020-07-01
CO,1.29,0.89,2020-04-02,1.06,2020-07-01
CT,2.25,0.87,2020-03-24,0.99,2020-07-01
DC,1.68,0.90,2020-03-30,1.02,2020-07-01
DE,1.45,0.87,2020-04-09,1.04,2020-07-01
FL,1.85,0.96,2020-03-20,1.06,2020-07-01
GA,2.09,0.97,2020-03-17,1.12,2020-07-01
GU,0.79,0.45,2020-03-20,0.82,2020-07-01
HI,2.13,0.49,2020-03-17,1.01,2020-07-01
IA,1.33,0.85,2020-04-24,0.98,2020-07-01
ID,2.25,0.67,2020-03-21,1.22,2020-07-01
IL,2.21,0.94,2020-03-21,1.07,2020-07-01
IN,1.58,0.90,2020-04-02,1.06,2020-07-01
KS,1.26,0.85,2020-03-27,1.00,2020-07-01
KY,1.89,0.95,2020-03-17,1.10,2020-07-01
LA,2.10,0.87,2020-03-15,1.12,2020-07-01
MA,1.94,0.87,2020-03-29,1.00,2020-07-01
MD,2.00,0.93,2020-03-28,1.06,2020-07-01
ME,1.72,0.84,2020-03-25,1.04,2020-07-01
MI,1.98,0.84,2020-03-18,1.06,2020-07-01
MN,1.88,0.93,2020-04-02,1.09,2020-07-01
MO,1.90,0.90,2020-03-20,1.06,2020-07-01
MP,1.42,0.43,2020-03-20,0.83,2020-07-01
MS,1.45,0.93,2020-04-10,1.08,2020-07-01
MT,1.44,0.54,2020-03-27,1.07,2020-07-01
NC,2.04,0.97,2020-03-26,1.05,2020-07-01
ND,1.38,0.91,2020-03-28,0.93,2020-07-01
NE,1.96,1.02,2020-03-20,0.99,2020-07-01
NH,1.46,0.92,2020-04-13,1.09,2020-07-01
NJ,2.54,0.89,2020-03-19,0.98,2020-07-01
NM,1.42,0.93,2020-04-08,1.08,2020-07-01
NV,1.93,0.90,2020-03-17,1.19,2020-07-01
NY,3.63,0.82,2020-03-12,0.97,2020-07-01
OH,1.53,0.93,2020-04-02,1.09,2020-07-01
OK,1.83,0.78,2020-03-15,1.02,2020-07-01
OR,1.72,0.90,2020-03-19,1.15,2020-07-01
PA,1.80,0.87,2020-04-03,1.05,2020-07-01
PR,2.30,0.85,2020-03-17,1.06,2020-07-01
RI,1.58,0.93,2020-04-05,1.05,2020-07-01
SC,1.83,0.99,2020-03-19,1.12,2020-07-01
SD,1.16,0.98,2020-03-25,0.99,2020-07-01
TN,2.10,0.97,2020-03-13,1.10,2020-07-01
TX,1.95,0.96,2020-03-18,1.08,2020-07-01
UT,1.51,0.99,2020-03-28,1.04,2020-07-01
VA,1.56,0.92,2020-04-03,1.08,2020-07-01
VI,1.70,0.59,2020-03-20,1.13,2020-07-01
VT,1.35,0.58,2020-03-20,1.03,2020-07-01
WA,1.62,0.81,2020-03-13,1.09,2020-07-01
WI,2.09,0.95,2020-03-14,1.08,2020-07-01
WV,1.51,0.77,2020-03-31,0.96,2020-07-01
WY,1.55,0.76,2020-03-28,0.93,2020-07-01
