region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.31,0.92,2020-03-16,0.99,2020-07-21
AK,1.95,0.45,2020-03-15,1.00,2020-07-21
AL,1.50,0.97,2020-04-03,0.95,2020-07-21
AR,1.56,1.01,2020-04-04,0.96,2020-07-21
AZ,1.25,1.00,2020-04-13,0.91,2020-07-21
CA,1.77,0.98,2020-03-21,0.96,2020-07-21
CO,1.30,0.83,2020-04-02,1.05,2020-07-21
CT,2.40,0.82,2020-03-22,1.01,2020-07-21
DC,1.73,0.88,2020-03-28,1.01,2020-07-21
DE,1.49,0.82,2020-04-07,1.01,2020-07-21
FL,1.79,0.94,2020-03-20,0.93,2020-07-21
GA,2.24,0.97,2020-03-16,0.98,2020-07-21
GU,1.18,0.47,2020-03-20,1.05,2020-07-21
HI,2.17,0.46,2020-03-17,1.06,2020-07-21
IA,1.34,0.78,2020-04-24,0.98,2020-07-21
ID,2.43,0.74,2020-03-21,1.00,2020-07-21
IL,2.10,0.94,2020-03-24,1.05,2020-07-21
IN,1.57,0.87,2020-04-01,1.06,2020-07-21
KS,1.36,0.79,2020-03-27,0.98,2020-07-21
KY,1.95,0.93,2020-03-17,1.07,2020-07-21
LA,2.44,0.85,2020-03-13,0.95,2020-07-21
MA,2.25,0.88,2020-03-24,0.99,2020-07-21
MD,1.97,0.91,2020-03-26,1.01,2020-07-21
ME,1.64,0.83,2020-03-25,1.07,2020-07-21
MI,2.01,0.81,2020-03-16,1.04,2020-07-21
MN,1.92,0.92,2020-04-02,1.08,2020-07-21
MO,1.97,0.87,2020-03-20,1.00,2020-07-21
MP,1.27,0.41,2020-03-20,0.97,2020-07-21
MS,1.47,0.93,2020-04-10,0.93,2020-07-21
MT,1.24,0.57,2020-03-27,0.99,2020-07-21
NC,2.19,0.96,2020-03-26,0.97,2020-07-21
ND,1.32,0.87,2020-03-28,1.00,2020-07-21
NE,2.32,1.01,2020-03-23,0.95,2020-07-21
NH,1.48,0.86,2020-04-14,0.97,2020-07-21
NJ,2.59,0.89,2020-03-17,0.98,2020-07-21
NM,1.43,0.92,2020-04-08,1.05,2020-07-21
NV,2.05,0.92,2020-03-17,0.98,2020-07-21
NY,3.89,0.78,2020-03-12,0.94,2020-07-21
OH,1.57,0.91,2020-04-01,1.03,2020-07-21
OK,2.05,0.77,2020-03-15,0.98,2020-07-21
OR,1.62,0.90,2020-03-19,1.00,2020-07-21
PA,1.84,0.85,2020-04-01,1.01,2020-07-21
PR,2.41,0.82,2020-03-17,1.11,2020-07-21
RI,1.65,0.87,2020-04-05,0.96,2020-07-21
SC,1.97,0.97,2020-03-19,0.93,2020-07-21
SD,1.22,1.00,2020-03-25,0.96,2020-07-21
TN,2.01,0.99,2020-03-13,0.97,2020-07-21
TX,2.01,0.93,2020-03-18,0.95,2020-07-21
UT,1.56,1.00,2020-03-28,0.98,2020-07-21
VA,1.56,0.92,2020-04-03,1.13,2020-07-21
VI,2.09,0.49,2020-03-20,1.21,2020-07-21
VT,1.41,0.47,2020-03-20,1.04,2020-07-21
WA,1.68,0.89,2020-03-11,1.02,2020-07-21
WI,2.19,0.93,2020-03-14,1.03,2020-07-21
WV,1.51,0.74,2020-03-31,1.00,2020-07-21
WY,1.56,0.71,2020-03-28,0.99,2020-07-21
