region,initial_r_0,post_mitigation_r,inflection_date
USA,2.2196450204589526,0.9002451070580526,2020-03-18
AK,1.8299840510366825,0.43568580542264757,2020-03-15
AL,1.9201168725307873,0.9591073687209046,2020-03-17
AR,0.9244019138755981,0.7625598086124402,2020-03-18
AZ,1.205345896811301,1.0081492926889446,2020-03-17
CA,1.5496629399683552,0.9578211936613319,2020-03-26
CO,1.604944879511538,0.9564262733243257,2020-03-17
CT,2.4419314079900927,0.8683986935539787,2020-03-22
DC,1.7231632160167853,0.9413566202654038,2020-03-26
DE,1.730416779889441,1.0035233435669995,2020-03-24
FL,1.5994329741444406,0.9335001491017626,2020-03-23
GA,1.9808536810272444,0.9134044649404169,2020-03-18
GU,0.7827751196172249,0.5553827751196172,2020-03-20
HI,2.3030303030303028,0.5427830940988836,2020-03-17
IA,1.0712546379985142,1.0195038145819852,2020-03-18
ID,1.7062200956937799,0.5485645933014355,2020-03-21
IL,2.099056500180045,1.017474683055933,2020-03-18
IN,1.7760707848674298,0.9771455599440474,2020-03-21
KS,1.2354125132157634,0.7932049858219794,2020-03-27
KY,1.6269338740381194,0.8902072081300008,2020-03-17
LA,2.1125034727894922,0.8495925809903243,2020-03-15
MA,1.9106916537278429,0.8694963818015127,2020-03-29
MD,1.9910194056663488,0.929960416122172,2020-03-26
ME,2.1698564593301435,0.7226076555023924,2020-03-15
MI,2.3715873626551662,0.8024654223614753,2020-03-18
MN,1.8096724529165802,0.9620900163692305,2020-04-01
MO,1.61820267727841,0.9629182997738738,2020-03-19
MP,0.9239234449760767,0.4326555023923445,2020-03-20
MS,1.481722310576298,1.015934322712187,2020-03-19
MT,1.2639553429027115,0.5612041467304626,2020-03-27
NC,1.8162188636269967,0.8806014668373681,2020-03-27
ND,0.9424242424242426,0.9196172248803829,2020-03-28
NE,1.122647527910686,0.8920653907496015,2020-03-20
NH,1.6907340266395119,1.0217741125181852,2020-03-20
NJ,2.5118336921120186,0.9163595299591502,2020-03-18
NM,1.5502201383265102,1.003435971580516,2020-03-28
NV,1.4364154610755104,0.8578729158983777,2020-03-17
NY,3.701776150688255,0.8380382334940973,2020-03-14
OH,1.6317762460855105,0.9666867430276173,2020-03-25
OK,1.7877631382795107,0.7600969650600269,2020-03-15
OR,1.5706539074960129,0.8120813397129187,2020-03-19
PA,2.4055908387282066,0.9476019713303085,2020-03-22
PR,2.11032863551023,0.775822834746485,2020-03-17
RI,1.7236493473351815,0.9307339170559986,2020-03-27
SC,1.6265620715478246,0.9705386706455406,2020-03-19
SD,0.8095693779904307,0.95311004784689,2020-03-25
TN,1.9181554830215526,0.8299709398466385,2020-03-14
TX,1.6653698343607757,0.9831742839798475,2020-03-18
UT,1.015470494417863,0.9481658692185009,2020-03-28
VA,1.4739535427057047,0.9313019124788557,2020-03-31
VI,1.3325358851674642,0.41937799043062207,2020-03-20
VT,1.3492822966507176,0.5515151515151515,2020-03-15
WA,1.419690075351703,0.8419249591277137,2020-03-16
WI,2.0322169858666754,0.826645766522228,2020-03-15
WV,1.3963317384370015,0.7539074960127592,2020-03-31
WY,1.333652312599681,0.5755980861244019,2020-03-28
