region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.92,2020-03-18,1.04,2020-06-23
AK,1.94,0.47,2020-03-15,0.86,2020-06-23
AL,1.34,0.95,2020-04-03,1.10,2020-06-23
AR,1.20,1.02,2020-04-04,1.10,2020-06-23
AZ,1.27,0.96,2020-04-13,1.08,2020-06-23
CA,1.62,1.00,2020-03-23,1.09,2020-06-23
CO,1.27,0.89,2020-04-02,1.04,2020-06-23
CT,2.30,0.87,2020-03-24,0.95,2020-06-23
DC,1.66,0.90,2020-03-30,0.93,2020-06-23
DE,1.41,0.88,2020-04-09,1.00,2020-06-23
FL,1.75,0.95,2020-03-20,1.08,2020-06-23
GA,2.05,0.98,2020-03-17,1.04,2020-06-23
GU,0.71,0.46,2020-03-20,0.76,2020-06-23
HI,2.14,0.50,2020-03-17,0.81,2020-06-23
IA,1.22,0.85,2020-04-24,0.98,2020-06-23
ID,2.07,0.63,2020-03-21,1.06,2020-06-23
IL,2.15,0.94,2020-03-22,1.02,2020-06-23
IN,1.56,0.89,2020-04-02,1.04,2020-06-23
KS,1.24,0.83,2020-03-27,1.02,2020-06-23
KY,1.86,0.94,2020-03-17,1.07,2020-06-23
LA,2.19,0.88,2020-03-15,1.04,2020-06-23
MA,2.00,0.90,2020-03-28,0.93,2020-06-23
MD,1.98,0.93,2020-03-27,1.02,2020-06-23
ME,1.51,0.80,2020-03-25,0.97,2020-06-23
MI,2.06,0.85,2020-03-18,0.91,2020-06-23
MN,1.81,0.97,2020-04-02,1.05,2020-06-23
MO,1.87,0.90,2020-03-20,1.05,2020-06-23
MP,1.03,0.43,2020-03-20,0.71,2020-06-23
MS,1.43,0.94,2020-04-10,1.04,2020-06-23
MT,1.41,0.54,2020-03-27,0.99,2020-06-23
NC,1.88,0.97,2020-03-26,1.06,2020-06-23
ND,1.36,0.89,2020-03-28,0.97,2020-06-23
NE,1.86,1.00,2020-03-20,1.04,2020-06-23
NH,1.43,0.91,2020-04-13,1.06,2020-06-23
NJ,2.54,0.88,2020-03-19,0.84,2020-06-23
NM,1.39,0.94,2020-04-08,1.04,2020-06-23
NV,1.88,0.91,2020-03-17,1.06,2020-06-23
NY,3.74,0.83,2020-03-13,0.83,2020-06-23
OH,1.51,0.92,2020-04-02,1.06,2020-06-23
OK,1.79,0.77,2020-03-15,1.01,2020-06-23
OR,1.58,0.87,2020-03-19,1.11,2020-06-23
PA,1.83,0.88,2020-04-03,0.97,2020-06-23
PR,2.17,0.81,2020-03-17,0.98,2020-06-23
RI,1.53,0.92,2020-04-05,1.02,2020-06-23
SC,1.70,0.98,2020-03-19,1.09,2020-06-23
SD,1.11,0.96,2020-03-25,1.03,2020-06-23
TN,1.96,0.94,2020-03-13,1.08,2020-06-23
TX,1.79,0.95,2020-03-18,1.09,2020-06-23
UT,1.17,0.99,2020-03-28,1.10,2020-06-23
VA,1.48,0.91,2020-04-03,1.03,2020-06-23
VI,1.60,0.43,2020-03-20,0.72,2020-06-23
VT,1.32,0.56,2020-03-20,0.90,2020-06-23
WA,1.60,0.81,2020-03-13,1.07,2020-06-23
WI,1.90,0.94,2020-03-13,1.07,2020-06-23
WV,1.49,0.75,2020-03-31,0.95,2020-06-23
WY,1.48,0.78,2020-03-28,1.00,2020-06-23
